CE15	CTS20001223.1300.0006-CE1
CE16	CTS20001223.1300.0006-CE2
CE17	CTS20001223.1300.0006-CE3
CE19	CTS20001223.1300.0006-CE4
CE20	CTS20001223.1300.0006-CE5
CE21	CTS20001223.1300.0006-CE6
CE22	CTS20001223.1300.0006-CE7
CE23	CTS20001223.1300.0006-CE8
CE25	CTS20001223.1300.0006-CE9
CE26	CTS20001223.1300.0006-CE10
CE27	CTS20001223.1300.0006-CE11
CE28	CTS20001223.1300.0006-CE12
CE3	CTS20001223.1300.0006-CE13
CE9	CTS20001223.1300.0006-CE14
CE24	CTS20001223.1300.0006-CE15
CE18	CTS20001223.1300.0006-CE16
CE1	CTS20001223.1300.0006-CE17
CE2	CTS20001223.1300.0006-CE18
CE4	CTS20001223.1300.0006-CE19
CE5	CTS20001223.1300.0006-CE20
CE6	CTS20001223.1300.0006-CE21
CE7	CTS20001223.1300.0006-CE22
CE8	CTS20001223.1300.0006-CE23
CE10	CTS20001223.1300.0006-CE24
CE11	CTS20001223.1300.0006-CE25
CE13	CTS20001223.1300.0006-CE26
CE12	CTS20001223.1300.0006-CE27
CE14	CTS20001223.1300.0006-CE28
E13	CTS20001223.1300.0006-E1
E14	CTS20001223.1300.0006-E2
E15	CTS20001223.1300.0006-E3
E16	CTS20001223.1300.0006-E4
E17	CTS20001223.1300.0006-E5
E18	CTS20001223.1300.0006-E6
E19	CTS20001223.1300.0006-E7
E20	CTS20001223.1300.0006-E8
E21	CTS20001223.1300.0006-E9
E22	CTS20001223.1300.0006-E10
E23	CTS20001223.1300.0006-E11
E24	CTS20001223.1300.0006-E12
E25	CTS20001223.1300.0006-E13
E26	CTS20001223.1300.0006-E14
E28	CTS20001223.1300.0006-E15
E29	CTS20001223.1300.0006-E16
E1	CTS20001223.1300.0006-E17
E2	CTS20001223.1300.0006-E18
E3	CTS20001223.1300.0006-E19
E4	CTS20001223.1300.0006-E20
E5	CTS20001223.1300.0006-E21
E6	CTS20001223.1300.0006-E22
E7	CTS20001223.1300.0006-E23
E8	CTS20001223.1300.0006-E24
E9	CTS20001223.1300.0006-E25
E10	CTS20001223.1300.0006-E26
E11	CTS20001223.1300.0006-E27
E12	CTS20001223.1300.0006-E28
EM20	CTS20001223.1300.0006-E2-1
EM21	CTS20001223.1300.0006-E2-2
EM22	CTS20001223.1300.0006-E3-3
EM24	CTS20001223.1300.0006-E2-4
EM4	CTS20001223.1300.0006-E13-5
EM25	CTS20001223.1300.0006-E4-6
EM26	CTS20001223.1300.0006-E26-7
EM27	CTS20001223.1300.0006-E26-8
EM31	CTS20001223.1300.0006-E26-9
EM35	CTS20001223.1300.0006-E26-10
EM38	CTS20001223.1300.0006-E26-11
EM48	CTS20001223.1300.0006-E26-12
EM28	CTS20001223.1300.0006-E2-13
EM29	CTS20001223.1300.0006-E23-14
EM32	CTS20001223.1300.0006-E5-15
EM33	CTS20001223.1300.0006-E6-16
EM34	CTS20001223.1300.0006-E5-17
EM36	CTS20001223.1300.0006-E4-18
EM37	CTS20001223.1300.0006-E7-19
EM39	CTS20001223.1300.0006-E8-20
EM41	CTS20001223.1300.0006-E2-21
EM42	CTS20001223.1300.0006-E2-22
EM43	CTS20001223.1300.0006-E9-23
EM44	CTS20001223.1300.0006-E10-24
EM45	CTS20001223.1300.0006-E11-25
EM46	CTS20001223.1300.0006-E24-26
EM47	CTS20001223.1300.0006-E12-27
EM13	CTS20001223.1300.0006-E14-28
EM30	CTS20001223.1300.0006-E14-29
EM1	CTS20001223.1300.0006-E17-30
EM40	CTS20001223.1300.0006-E15-31
EM23	CTS20001223.1300.0006-E16-32
EM2	CTS20001223.1300.0006-E18-33
EM3	CTS20001223.1300.0006-E18-34
EM5	CTS20001223.1300.0006-E19-35
EM6	CTS20001223.1300.0006-E19-36
EM7	CTS20001223.1300.0006-E20-37
EM8	CTS20001223.1300.0006-E18-38
EM9	CTS20001223.1300.0006-E21-39
EM10	CTS20001223.1300.0006-E22-40
EM11	CTS20001223.1300.0006-E22-41
EM12	CTS20001223.1300.0006-E23-42
EM14	CTS20001223.1300.0006-E24-43
EM15	CTS20001223.1300.0006-E25-44
EM16	CTS20001223.1300.0006-E26-45
EM17	CTS20001223.1300.0006-E27-46
EM18	CTS20001223.1300.0006-E28-47
EM19	CTS20001223.1300.0006-E1-48
R2	CTS20001223.1300.0006-R1
R3	CTS20001223.1300.0006-R2
R4	CTS20001223.1300.0006-R3
R6	CTS20001223.1300.0006-R4
R7	CTS20001223.1300.0006-R5
R1	CTS20001223.1300.0006-R6
R5	CTS20001223.1300.0006-R7
RM2	CTS20001223.1300.0006-R1-1
RM3	CTS20001223.1300.0006-R2-1
RM4	CTS20001223.1300.0006-R3-1
RM6	CTS20001223.1300.0006-R4-1
RM7	CTS20001223.1300.0006-R5-1
RM1	CTS20001223.1300.0006-R6-1
RM5	CTS20001223.1300.0006-R6-2
V1	CTS20001223.1300.0006-EV1
V2	CTS20001223.1300.0006-EV2
VM1	CTS20001223.1300.0006-EV1-1
VM2	CTS20001223.1300.0006-EV2-1
Q1	CTS20001223.1300.0006-T1
Q2	CTS20001223.1300.0006-T2
Q3	CTS20001223.1300.0006-T3
Q5	CTS20001223.1300.0006-T4
Q4	CTS20001223.1300.0006-T5
