CE10	CBS20001205.1000.0150-CE1
CE11	CBS20001205.1000.0150-CE2
CE12	CBS20001205.1000.0150-CE3
CE8	CBS20001205.1000.0150-CE4
CE16	CBS20001205.1000.0150-CE5
CE17	CBS20001205.1000.0150-CE6
CE13	CBS20001205.1000.0150-CE7
CE14	CBS20001205.1000.0150-CE8
CE15	CBS20001205.1000.0150-CE9
CE1	CBS20001205.1000.0150-CE10
CE2	CBS20001205.1000.0150-CE11
CE4	CBS20001205.1000.0150-CE12
CE3	CBS20001205.1000.0150-CE13
CE5	CBS20001205.1000.0150-CE14
CE6	CBS20001205.1000.0150-CE15
CE7	CBS20001205.1000.0150-CE16
CE9	CBS20001205.1000.0150-CE17
E10	CBS20001205.1000.0150-E1
E11	CBS20001205.1000.0150-E2
E13	CBS20001205.1000.0150-E3
E15	CBS20001205.1000.0150-E4
E21	CBS20001205.1000.0150-E5
E17	CBS20001205.1000.0150-E6
E18	CBS20001205.1000.0150-E7
E19	CBS20001205.1000.0150-E8
E24	CBS20001205.1000.0150-E9
E25	CBS20001205.1000.0150-E10
E1	CBS20001205.1000.0150-E11
E26	CBS20001205.1000.0150-E12
E2	CBS20001205.1000.0150-E13
E3	CBS20001205.1000.0150-E14
E4	CBS20001205.1000.0150-E15
E5	CBS20001205.1000.0150-E16
E7	CBS20001205.1000.0150-E17
E8	CBS20001205.1000.0150-E18
E9	CBS20001205.1000.0150-E19
EM1	CBS20001205.1000.0150-E11-1
EM14	CBS20001205.1000.0150-E11-2
EM19	CBS20001205.1000.0150-E13-3
EM20	CBS20001205.1000.0150-E2-4
EM13	CBS20001205.1000.0150-E5-5
EM21	CBS20001205.1000.0150-E3-6
EM22	CBS20001205.1000.0150-E14-7
EM23	CBS20001205.1000.0150-E15-8
EM25	CBS20001205.1000.0150-E4-9
EM27	CBS20001205.1000.0150-E15-10
EM24	CBS20001205.1000.0150-E13-11
EM34	CBS20001205.1000.0150-E13-12
EM35	CBS20001205.1000.0150-E13-13
EM36	CBS20001205.1000.0150-E19-14
EM37	CBS20001205.1000.0150-E13-15
EM38	CBS20001205.1000.0150-E16-16
EM39	CBS20001205.1000.0150-E17-17
EM42	CBS20001205.1000.0150-E17-18
EM40	CBS20001205.1000.0150-E6-19
EM41	CBS20001205.1000.0150-E7-20
EM43	CBS20001205.1000.0150-E8-21
EM26	CBS20001205.1000.0150-E13-22
EM28	CBS20001205.1000.0150-E9-23
EM31	CBS20001205.1000.0150-E10-24
EM33	CBS20001205.1000.0150-E12-25
EM29	CBS20001205.1000.0150-E13-26
EM30	CBS20001205.1000.0150-E13-27
EM2	CBS20001205.1000.0150-E13-28
EM3	CBS20001205.1000.0150-E11-29
EM4	CBS20001205.1000.0150-E13-30
EM5	CBS20001205.1000.0150-E14-31
EM6	CBS20001205.1000.0150-E15-32
EM7	CBS20001205.1000.0150-E13-33
EM8	CBS20001205.1000.0150-E16-34
EM9	CBS20001205.1000.0150-E17-35
EM10	CBS20001205.1000.0150-E13-36
EM11	CBS20001205.1000.0150-E18-37
EM12	CBS20001205.1000.0150-E18-38
EM15	CBS20001205.1000.0150-E19-39
EM17	CBS20001205.1000.0150-E19-40
EM18	CBS20001205.1000.0150-E19-41
EM16	CBS20001205.1000.0150-E1-42
R1	CBS20001205.1000.0150-R1
R4	CBS20001205.1000.0150-R2
R11	CBS20001205.1000.0150-R3
R2	CBS20001205.1000.0150-R4
R3	CBS20001205.1000.0150-R5
R6	CBS20001205.1000.0150-R6
R7	CBS20001205.1000.0150-R7
R5	CBS20001205.1000.0150-R8
R10	CBS20001205.1000.0150-R9
R9	CBS20001205.1000.0150-R10
R8	CBS20001205.1000.0150-R11
R12	CBS20001205.1000.0150-R12
R13	CBS20001205.1000.0150-R13
RM1	CBS20001205.1000.0150-R1-1
RM4	CBS20001205.1000.0150-R2-1
RM11	CBS20001205.1000.0150-R3-1
RM2	CBS20001205.1000.0150-R4-1
RM3	CBS20001205.1000.0150-R5-1
RM6	CBS20001205.1000.0150-R4-2
RM7	CBS20001205.1000.0150-R7-1
RM5	CBS20001205.1000.0150-R1-2
RM10	CBS20001205.1000.0150-R9-1
RM9	CBS20001205.1000.0150-R10-1
RM8	CBS20001205.1000.0150-R11-1
RM12	CBS20001205.1000.0150-R12-1
Q1	CBS20001205.1000.0150-T1
Q2	CBS20001205.1000.0150-T2
Q3	CBS20001205.1000.0150-T3
Q4	CBS20001205.1000.0150-T4
Q5	CBS20001205.1000.0150-T5
Q6	CBS20001205.1000.0150-T6
Q7	CBS20001205.1000.0150-T7
Q8	CBS20001205.1000.0150-T8
