CE11	CTV20001003.1330.0000-CE1
CE12	CTV20001003.1330.0000-CE2
CE13	CTV20001003.1330.0000-CE3
CE15	CTV20001003.1330.0000-CE4
CE14	CTV20001003.1330.0000-CE5
CE1	CTV20001003.1330.0000-CE6
CE2	CTV20001003.1330.0000-CE7
CE3	CTV20001003.1330.0000-CE8
CE4	CTV20001003.1330.0000-CE9
CE5	CTV20001003.1330.0000-CE10
CE6	CTV20001003.1330.0000-CE11
CE7	CTV20001003.1330.0000-CE12
CE8	CTV20001003.1330.0000-CE13
CE9	CTV20001003.1330.0000-CE14
CE10	CTV20001003.1330.0000-CE15
E12	CTV20001003.1330.0000-E1
E13	CTV20001003.1330.0000-E2
E14	CTV20001003.1330.0000-E3
E15	CTV20001003.1330.0000-E4
E16	CTV20001003.1330.0000-E5
E1	CTV20001003.1330.0000-E6
E2	CTV20001003.1330.0000-E7
E3	CTV20001003.1330.0000-E8
E6	CTV20001003.1330.0000-E9
E7	CTV20001003.1330.0000-E10
E8	CTV20001003.1330.0000-E11
E9	CTV20001003.1330.0000-E12
E10	CTV20001003.1330.0000-E13
E17	CTV20001003.1330.0000-E14
E11	CTV20001003.1330.0000-E15
EM1	CTV20001003.1330.0000-E6-1
EM20	CTV20001003.1330.0000-E2-2
EM5	CTV20001003.1330.0000-E8-3
EM6	CTV20001003.1330.0000-E8-4
EM16	CTV20001003.1330.0000-E8-5
EM21	CTV20001003.1330.0000-E3-6
EM23	CTV20001003.1330.0000-E4-7
EM22	CTV20001003.1330.0000-E5-8
EM2	CTV20001003.1330.0000-E6-9
EM3	CTV20001003.1330.0000-E7-10
EM4	CTV20001003.1330.0000-E8-11
EM7	CTV20001003.1330.0000-E9-12
EM8	CTV20001003.1330.0000-E10-13
EM9	CTV20001003.1330.0000-E8-14
EM10	CTV20001003.1330.0000-E11-15
EM11	CTV20001003.1330.0000-E8-16
EM12	CTV20001003.1330.0000-E12-17
EM13	CTV20001003.1330.0000-E8-18
EM14	CTV20001003.1330.0000-E13-19
EM15	CTV20001003.1330.0000-E14-20
EM17	CTV20001003.1330.0000-E15-21
EM18	CTV20001003.1330.0000-E8-22
EM19	CTV20001003.1330.0000-E1-23
R1	CTV20001003.1330.0000-R1
R2	CTV20001003.1330.0000-R2
R3	CTV20001003.1330.0000-R3
R4	CTV20001003.1330.0000-R4
R5	CTV20001003.1330.0000-R5
R6	CTV20001003.1330.0000-R6
R7	CTV20001003.1330.0000-R7
R8	CTV20001003.1330.0000-R8
RM1	CTV20001003.1330.0000-R1-1
RM2	CTV20001003.1330.0000-R2-1
RM3	CTV20001003.1330.0000-R3-1
RM4	CTV20001003.1330.0000-R4-1
RM5	CTV20001003.1330.0000-R5-1
RM6	CTV20001003.1330.0000-R6-1
RM7	CTV20001003.1330.0000-R7-1
RM8	CTV20001003.1330.0000-R8-1
V1	CTV20001003.1330.0000-EV1
V2	CTV20001003.1330.0000-EV2
V3	CTV20001003.1330.0000-EV3
VM1	CTV20001003.1330.0000-EV1-1
VM2	CTV20001003.1330.0000-EV2-1
VM3	CTV20001003.1330.0000-EV3-1
Q1	CTV20001003.1330.0000-T1
Q2	CTV20001003.1330.0000-T2
Q3	CTV20001003.1330.0000-T3
Q4	CTV20001003.1330.0000-T4
