CE11	CTV20001030.1330.0326-CE1
CE13	CTV20001030.1330.0326-CE2
CE12	CTV20001030.1330.0326-CE3
CE14	CTV20001030.1330.0326-CE4
CE15	CTV20001030.1330.0326-CE5
CE16	CTV20001030.1330.0326-CE6
CE17	CTV20001030.1330.0326-CE7
CE18	CTV20001030.1330.0326-CE8
CE19	CTV20001030.1330.0326-CE9
CE20	CTV20001030.1330.0326-CE10
CE21	CTV20001030.1330.0326-CE11
CE22	CTV20001030.1330.0326-CE12
CE23	CTV20001030.1330.0326-CE13
CE24	CTV20001030.1330.0326-CE14
CE25	CTV20001030.1330.0326-CE15
CE26	CTV20001030.1330.0326-CE16
CE27	CTV20001030.1330.0326-CE17
CE2	CTV20001030.1330.0326-CE18
CE1	CTV20001030.1330.0326-CE19
CE3	CTV20001030.1330.0326-CE20
CE4	CTV20001030.1330.0326-CE21
CE5	CTV20001030.1330.0326-CE22
CE7	CTV20001030.1330.0326-CE23
CE6	CTV20001030.1330.0326-CE24
CE8	CTV20001030.1330.0326-CE25
CE9	CTV20001030.1330.0326-CE26
CE10	CTV20001030.1330.0326-CE27
E15	CTV20001030.1330.0326-E1
E36	CTV20001030.1330.0326-E2
E17	CTV20001030.1330.0326-E3
E18	CTV20001030.1330.0326-E4
E19	CTV20001030.1330.0326-E5
E20	CTV20001030.1330.0326-E6
E21	CTV20001030.1330.0326-E7
E22	CTV20001030.1330.0326-E8
E23	CTV20001030.1330.0326-E9
E24	CTV20001030.1330.0326-E10
E25	CTV20001030.1330.0326-E11
E27	CTV20001030.1330.0326-E12
E28	CTV20001030.1330.0326-E13
E29	CTV20001030.1330.0326-E14
E30	CTV20001030.1330.0326-E15
E32	CTV20001030.1330.0326-E16
E33	CTV20001030.1330.0326-E17
E34	CTV20001030.1330.0326-E18
E1	CTV20001030.1330.0326-E19
E2	CTV20001030.1330.0326-E20
E3	CTV20001030.1330.0326-E21
E4	CTV20001030.1330.0326-E22
E5	CTV20001030.1330.0326-E23
E8	CTV20001030.1330.0326-E24
E9	CTV20001030.1330.0326-E25
E11	CTV20001030.1330.0326-E26
E12	CTV20001030.1330.0326-E27
E14	CTV20001030.1330.0326-E28
EM1	CTV20001030.1330.0326-E19-1
EM13	CTV20001030.1330.0326-E21-2
EM16	CTV20001030.1330.0326-E1-3
EM31	CTV20001030.1330.0326-E2-4
EM17	CTV20001030.1330.0326-E3-5
EM18	CTV20001030.1330.0326-E4-6
EM19	CTV20001030.1330.0326-E5-7
EM20	CTV20001030.1330.0326-E6-8
EM21	CTV20001030.1330.0326-E5-9
EM22	CTV20001030.1330.0326-E7-10
EM23	CTV20001030.1330.0326-E8-11
EM24	CTV20001030.1330.0326-E21-12
EM25	CTV20001030.1330.0326-E28-13
EM26	CTV20001030.1330.0326-E21-14
EM28	CTV20001030.1330.0326-E9-15
EM29	CTV20001030.1330.0326-E10-16
EM30	CTV20001030.1330.0326-E11-17
EM32	CTV20001030.1330.0326-E9-18
EM33	CTV20001030.1330.0326-E21-19
EM34	CTV20001030.1330.0326-E12-20
EM35	CTV20001030.1330.0326-E13-21
EM36	CTV20001030.1330.0326-E21-22
EM37	CTV20001030.1330.0326-E21-23
EM38	CTV20001030.1330.0326-E14-24
EM39	CTV20001030.1330.0326-E15-25
EM40	CTV20001030.1330.0326-E16-26
EM41	CTV20001030.1330.0326-E17-27
EM42	CTV20001030.1330.0326-E18-28
EM43	CTV20001030.1330.0326-E21-29
EM11	CTV20001030.1330.0326-E28-30
EM2	CTV20001030.1330.0326-E20-31
