CE10	CTV20001217.1430.0968-CE1
CE11	CTV20001217.1430.0968-CE2
CE12	CTV20001217.1430.0968-CE3
CE13	CTV20001217.1430.0968-CE4
CE14	CTV20001217.1430.0968-CE5
CE16	CTV20001217.1430.0968-CE6
CE17	CTV20001217.1430.0968-CE7
CE19	CTV20001217.1430.0968-CE8
CE20	CTV20001217.1430.0968-CE9
CE21	CTV20001217.1430.0968-CE10
CE18	CTV20001217.1430.0968-CE11
CE22	CTV20001217.1430.0968-CE12
CE23	CTV20001217.1430.0968-CE13
CE24	CTV20001217.1430.0968-CE14
CE2	CTV20001217.1430.0968-CE15
CE1	CTV20001217.1430.0968-CE16
CE4	CTV20001217.1430.0968-CE17
CE3	CTV20001217.1430.0968-CE18
CE8	CTV20001217.1430.0968-CE19
CE5	CTV20001217.1430.0968-CE20
CE7	CTV20001217.1430.0968-CE21
CE6	CTV20001217.1430.0968-CE22
CE9	CTV20001217.1430.0968-CE23
CE15	CTV20001217.1430.0968-CE24
E11	CTV20001217.1430.0968-E1
E12	CTV20001217.1430.0968-E2
E13	CTV20001217.1430.0968-E3
E14	CTV20001217.1430.0968-E4
E15	CTV20001217.1430.0968-E5
E16	CTV20001217.1430.0968-E6
E17	CTV20001217.1430.0968-E7
E18	CTV20001217.1430.0968-E8
E19	CTV20001217.1430.0968-E9
E20	CTV20001217.1430.0968-E10
E21	CTV20001217.1430.0968-E11
E33	CTV20001217.1430.0968-E12
E26	CTV20001217.1430.0968-E13
E28	CTV20001217.1430.0968-E14
E29	CTV20001217.1430.0968-E15
E30	CTV20001217.1430.0968-E16
E1	CTV20001217.1430.0968-E17
E2	CTV20001217.1430.0968-E18
E3	CTV20001217.1430.0968-E19
E4	CTV20001217.1430.0968-E20
E5	CTV20001217.1430.0968-E21
E6	CTV20001217.1430.0968-E22
E7	CTV20001217.1430.0968-E23
E8	CTV20001217.1430.0968-E24
E9	CTV20001217.1430.0968-E25
E10	CTV20001217.1430.0968-E26
E32	CTV20001217.1430.0968-E27
EM16	CTV20001217.1430.0968-E17-1
EM17	CTV20001217.1430.0968-E18-2
EM18	CTV20001217.1430.0968-E1-3
EM19	CTV20001217.1430.0968-E17-4
EM20	CTV20001217.1430.0968-E18-5
EM21	CTV20001217.1430.0968-E2-6
EM22	CTV20001217.1430.0968-E1-7
EM23	CTV20001217.1430.0968-E3-8
EM24	CTV20001217.1430.0968-E4-9
EM25	CTV20001217.1430.0968-E5-10
EM27	CTV20001217.1430.0968-E6-11
EM28	CTV20001217.1430.0968-E7-12
EM29	CTV20001217.1430.0968-E2-13
EM31	CTV20001217.1430.0968-E18-14
EM32	CTV20001217.1430.0968-E8-15
EM30	CTV20001217.1430.0968-E12-16
EM34	CTV20001217.1430.0968-E9-17
EM36	CTV20001217.1430.0968-E10-18
EM35	CTV20001217.1430.0968-E9-19
EM37	CTV20001217.1430.0968-E11-20
EM33	CTV20001217.1430.0968-E27-21
EM43	CTV20001217.1430.0968-E12-22
EM48	CTV20001217.1430.0968-E21-23
EM38	CTV20001217.1430.0968-E18-24
EM41	CTV20001217.1430.0968-E18-25
EM40	CTV20001217.1430.0968-E13-26
EM39	CTV20001217.1430.0968-E18-27
EM42	CTV20001217.1430.0968-E18-28
EM44	CTV20001217.1430.0968-E14-29
EM45	CTV20001217.1430.0968-E14-30
EM46	CTV20001217.1430.0968-E15-31
EM47	CTV20001217.1430.0968-E16-32
EM1	CTV20001217.1430.0968-E17-33
EM2	CTV20001217.1430.0968-E18-34
