CE5	CTS20001005.1800.1458-CE1
CE6	CTS20001005.1800.1458-CE2
CE8	CTS20001005.1800.1458-CE3
CE7	CTS20001005.1800.1458-CE4
CE9	CTS20001005.1800.1458-CE5
CE11	CTS20001005.1800.1458-CE6
CE10	CTS20001005.1800.1458-CE7
CE12	CTS20001005.1800.1458-CE8
CE1	CTS20001005.1800.1458-CE9
CE2	CTS20001005.1800.1458-CE10
CE3	CTS20001005.1800.1458-CE11
CE4	CTS20001005.1800.1458-CE12
E9	CTS20001005.1800.1458-E1
E10	CTS20001005.1800.1458-E2
E11	CTS20001005.1800.1458-E3
E12	CTS20001005.1800.1458-E4
E14	CTS20001005.1800.1458-E5
E15	CTS20001005.1800.1458-E6
E16	CTS20001005.1800.1458-E7
E17	CTS20001005.1800.1458-E8
E18	CTS20001005.1800.1458-E9
E19	CTS20001005.1800.1458-E10
E1	CTS20001005.1800.1458-E11
E2	CTS20001005.1800.1458-E12
E3	CTS20001005.1800.1458-E13
E4	CTS20001005.1800.1458-E14
E5	CTS20001005.1800.1458-E15
E6	CTS20001005.1800.1458-E16
E7	CTS20001005.1800.1458-E17
E20	CTS20001005.1800.1458-E18
EM1	CTS20001005.1800.1458-E11-1
EM21	CTS20001005.1800.1458-E11-2
EM22	CTS20001005.1800.1458-E11-3
EM23	CTS20001005.1800.1458-E11-4
EM24	CTS20001005.1800.1458-E11-5
EM25	CTS20001005.1800.1458-E1-6
EM26	CTS20001005.1800.1458-E2-7
EM27	CTS20001005.1800.1458-E11-8
EM28	CTS20001005.1800.1458-E11-9
EM29	CTS20001005.1800.1458-E3-10
EM30	CTS20001005.1800.1458-E4-11
EM31	CTS20001005.1800.1458-E2-12
EM32	CTS20001005.1800.1458-E11-13
EM34	CTS20001005.1800.1458-E4-14
EM35	CTS20001005.1800.1458-E11-15
EM36	CTS20001005.1800.1458-E5-16
EM37	CTS20001005.1800.1458-E6-17
EM38	CTS20001005.1800.1458-E14-18
EM39	CTS20001005.1800.1458-E7-19
EM40	CTS20001005.1800.1458-E14-20
EM41	CTS20001005.1800.1458-E8-21
EM42	CTS20001005.1800.1458-E11-22
EM43	CTS20001005.1800.1458-E9-23
EM44	CTS20001005.1800.1458-E11-24
EM45	CTS20001005.1800.1458-E11-25
EM47	CTS20001005.1800.1458-E11-26
EM46	CTS20001005.1800.1458-E10-27
EM48	CTS20001005.1800.1458-E11-28
EM3	CTS20001005.1800.1458-E11-29
EM2	CTS20001005.1800.1458-E12-30
EM4	CTS20001005.1800.1458-E11-31
EM5	CTS20001005.1800.1458-E13-32
EM6	CTS20001005.1800.1458-E14-33
EM7	CTS20001005.1800.1458-E11-34
EM9	CTS20001005.1800.1458-E11-35
EM8	CTS20001005.1800.1458-E15-36
EM10	CTS20001005.1800.1458-E13-37
EM11	CTS20001005.1800.1458-E11-38
EM12	CTS20001005.1800.1458-E16-39
EM13	CTS20001005.1800.1458-E17-40
EM33	CTS20001005.1800.1458-E18-41
EM16	CTS20001005.1800.1458-E14-42
EM17	CTS20001005.1800.1458-E11-43
EM18	CTS20001005.1800.1458-E11-44
EM19	CTS20001005.1800.1458-E16-45
EM14	CTS20001005.1800.1458-E16-46
EM15	CTS20001005.1800.1458-E16-47
EM20	CTS20001005.1800.1458-E16-48
R1	CTS20001005.1800.1458-R1
R2	CTS20001005.1800.1458-R2
R4	CTS20001005.1800.1458-R3
R5	CTS20001005.1800.1458-R4
R3	CTS20001005.1800.1458-R5
R6	CTS20001005.1800.1458-R6
RM1	CTS20001005.1800.1458-R1-1
RM2	CTS20001005.1800.1458-R1-2
RM4	CTS20001005.1800.1458-R3-1
RM5	CTS20001005.1800.1458-R4-1
RM3	CTS20001005.1800.1458-R5-1
RM6	CTS20001005.1800.1458-R6-1
V3	CTS20001005.1800.1458-EV1
V4	CTS20001005.1800.1458-EV2
V1	CTS20001005.1800.1458-EV3
V2	CTS20001005.1800.1458-EV4
VM3	CTS20001005.1800.1458-EV1-1
VM4	CTS20001005.1800.1458-EV1-2
VM5	CTS20001005.1800.1458-EV2-1
VM1	CTS20001005.1800.1458-EV3-1
VM2	CTS20001005.1800.1458-EV4-1
Q2	CTS20001005.1800.1458-V1
Q1	CTS20001005.1800.1458-T1
Q3	CTS20001005.1800.1458-T2
Q4	CTS20001005.1800.1458-T3
Q6	CTS20001005.1800.1458-T4
Q7	CTS20001005.1800.1458-T5
Q5	CTS20001005.1800.1458-T6
Q8	CTS20001005.1800.1458-T7
QM2	CTS20001005.1800.1458-V1-1
