CE13	CBS20001021.1000.0347-CE1
CE7	CBS20001021.1000.0347-CE2
CE8	CBS20001021.1000.0347-CE3
CE15	CBS20001021.1000.0347-CE4
CE14	CBS20001021.1000.0347-CE5
CE16	CBS20001021.1000.0347-CE6
CE17	CBS20001021.1000.0347-CE7
CE18	CBS20001021.1000.0347-CE8
CE2	CBS20001021.1000.0347-CE9
CE1	CBS20001021.1000.0347-CE10
CE3	CBS20001021.1000.0347-CE11
CE4	CBS20001021.1000.0347-CE12
CE5	CBS20001021.1000.0347-CE13
CE6	CBS20001021.1000.0347-CE14
CE9	CBS20001021.1000.0347-CE15
CE10	CBS20001021.1000.0347-CE16
CE11	CBS20001021.1000.0347-CE17
CE12	CBS20001021.1000.0347-CE18
E12	CBS20001021.1000.0347-E1
E13	CBS20001021.1000.0347-E2
E14	CBS20001021.1000.0347-E3
E15	CBS20001021.1000.0347-E4
E16	CBS20001021.1000.0347-E5
E17	CBS20001021.1000.0347-E6
E18	CBS20001021.1000.0347-E7
E19	CBS20001021.1000.0347-E8
E20	CBS20001021.1000.0347-E9
E21	CBS20001021.1000.0347-E10
E1	CBS20001021.1000.0347-E11
E2	CBS20001021.1000.0347-E12
E3	CBS20001021.1000.0347-E13
E4	CBS20001021.1000.0347-E14
E5	CBS20001021.1000.0347-E15
E6	CBS20001021.1000.0347-E16
E7	CBS20001021.1000.0347-E17
E8	CBS20001021.1000.0347-E18
E9	CBS20001021.1000.0347-E19
E10	CBS20001021.1000.0347-E20
E11	CBS20001021.1000.0347-E21
EM1	CBS20001021.1000.0347-E11-1
EM22	CBS20001021.1000.0347-E1-2
EM7	CBS20001021.1000.0347-E2-3
EM23	CBS20001021.1000.0347-E2-4
EM24	CBS20001021.1000.0347-E16-5
EM25	CBS20001021.1000.0347-E15-6
EM26	CBS20001021.1000.0347-E2-7
EM27	CBS20001021.1000.0347-E17-8
EM28	CBS20001021.1000.0347-E3-9
EM31	CBS20001021.1000.0347-E17-10
EM32	CBS20001021.1000.0347-E17-11
EM29	CBS20001021.1000.0347-E4-12
EM30	CBS20001021.1000.0347-E2-13
EM8	CBS20001021.1000.0347-E4-14
EM33	CBS20001021.1000.0347-E15-15
EM34	CBS20001021.1000.0347-E15-16
EM35	CBS20001021.1000.0347-E20-17
EM36	CBS20001021.1000.0347-E5-18
EM37	CBS20001021.1000.0347-E6-19
EM40	CBS20001021.1000.0347-E5-20
EM41	CBS20001021.1000.0347-E5-21
EM38	CBS20001021.1000.0347-E7-22
EM39	CBS20001021.1000.0347-E2-23
EM42	CBS20001021.1000.0347-E8-24
EM43	CBS20001021.1000.0347-E9-25
EM44	CBS20001021.1000.0347-E11-26
EM48	CBS20001021.1000.0347-E15-27
EM49	CBS20001021.1000.0347-E15-28
EM50	CBS20001021.1000.0347-E16-29
EM51	CBS20001021.1000.0347-E2-30
EM47	CBS20001021.1000.0347-E10-31
EM45	CBS20001021.1000.0347-E11-32
EM46	CBS20001021.1000.0347-E7-33
EM2	CBS20001021.1000.0347-E12-34
EM3	CBS20001021.1000.0347-E13-35
EM4	CBS20001021.1000.0347-E14-36
EM5	CBS20001021.1000.0347-E15-37
EM6	CBS20001021.1000.0347-E16-38
EM9	CBS20001021.1000.0347-E17-39
EM10	CBS20001021.1000.0347-E18-40
EM11	CBS20001021.1000.0347-E17-41
EM12	CBS20001021.1000.0347-E17-42
EM13	CBS20001021.1000.0347-E19-43
EM14	CBS20001021.1000.0347-E20-44
EM15	CBS20001021.1000.0347-E21-45
EM16	CBS20001021.1000.0347-E12-46
EM17	CBS20001021.1000.0347-E11-47
EM18	CBS20001021.1000.0347-E13-48
EM19	CBS20001021.1000.0347-E14-49
EM20	CBS20001021.1000.0347-E14-50
EM21	CBS20001021.1000.0347-E1-51
R19	CBS20001021.1000.0347-R1
R1	CBS20001021.1000.0347-R2
R2	CBS20001021.1000.0347-R3
R4	CBS20001021.1000.0347-R4
R5	CBS20001021.1000.0347-R5
R6	CBS20001021.1000.0347-R6
R20	CBS20001021.1000.0347-R7
R11	CBS20001021.1000.0347-R8
R12	CBS20001021.1000.0347-R9
R13	CBS20001021.1000.0347-R10
R14	CBS20001021.1000.0347-R11
R15	CBS20001021.1000.0347-R12
R16	CBS20001021.1000.0347-R13
R17	CBS20001021.1000.0347-R14
R3	CBS20001021.1000.0347-R15
R7	CBS20001021.1000.0347-R16
R8	CBS20001021.1000.0347-R17
R9	CBS20001021.1000.0347-R18
R10	CBS20001021.1000.0347-R19
R18	CBS20001021.1000.0347-R20
RM19	CBS20001021.1000.0347-R1-1
RM1	CBS20001021.1000.0347-R2-1
RM2	CBS20001021.1000.0347-R3-1
RM3	CBS20001021.1000.0347-R15-1
RM5	CBS20001021.1000.0347-R4-1
RM4	CBS20001021.1000.0347-R1-2
RM6	CBS20001021.1000.0347-R6-1
RM20	CBS20001021.1000.0347-R7-1
RM12	CBS20001021.1000.0347-R4-2
RM11	CBS20001021.1000.0347-R1-3
RM13	CBS20001021.1000.0347-R10-1
RM14	CBS20001021.1000.0347-R11-1
RM15	CBS20001021.1000.0347-R12-1
RM16	CBS20001021.1000.0347-R13-1
RM18	CBS20001021.1000.0347-R14-1
