CE11	MARKETVIEW_20050208.2033-CE1
CE12	MARKETVIEW_20050208.2033-CE2
CE13	MARKETVIEW_20050208.2033-CE3
CE15	MARKETVIEW_20050208.2033-CE4
CE14	MARKETVIEW_20050208.2033-CE5
CE2	MARKETVIEW_20050208.2033-CE6
CE3	MARKETVIEW_20050208.2033-CE7
CE4	MARKETVIEW_20050208.2033-CE8
CE5	MARKETVIEW_20050208.2033-CE9
CE16	MARKETVIEW_20050208.2033-CE10
CE6	MARKETVIEW_20050208.2033-CE11
CE7	MARKETVIEW_20050208.2033-CE12
CE8	MARKETVIEW_20050208.2033-CE13
CE9	MARKETVIEW_20050208.2033-CE14
CE10	MARKETVIEW_20050208.2033-CE15
CE1	MARKETVIEW_20050208.2033-CE16
E12	MARKETVIEW_20050208.2033-E1
E13	MARKETVIEW_20050208.2033-E2
E14	MARKETVIEW_20050208.2033-E3
E15	MARKETVIEW_20050208.2033-E4
E16	MARKETVIEW_20050208.2033-E5
E21	MARKETVIEW_20050208.2033-E6
E23	MARKETVIEW_20050208.2033-E7
E1	MARKETVIEW_20050208.2033-E8
E2	MARKETVIEW_20050208.2033-E9
E3	MARKETVIEW_20050208.2033-E10
E4	MARKETVIEW_20050208.2033-E11
E5	MARKETVIEW_20050208.2033-E12
E6	MARKETVIEW_20050208.2033-E13
E24	MARKETVIEW_20050208.2033-E14
E7	MARKETVIEW_20050208.2033-E15
E8	MARKETVIEW_20050208.2033-E16
E9	MARKETVIEW_20050208.2033-E17
E11	MARKETVIEW_20050208.2033-E18
EM1	MARKETVIEW_20050208.2033-E8-1
EM22	MARKETVIEW_20050208.2033-E2-2
EM23	MARKETVIEW_20050208.2033-E3-3
EM24	MARKETVIEW_20050208.2033-E17-4
EM27	MARKETVIEW_20050208.2033-E17-5
EM28	MARKETVIEW_20050208.2033-E4-6
EM29	MARKETVIEW_20050208.2033-E14-7
EM30	MARKETVIEW_20050208.2033-E17-8
EM25	MARKETVIEW_20050208.2033-E5-9
EM26	MARKETVIEW_20050208.2033-E6-10
EM15	MARKETVIEW_20050208.2033-E10-11
EM16	MARKETVIEW_20050208.2033-E7-12
EM2	MARKETVIEW_20050208.2033-E9-13
EM3	MARKETVIEW_20050208.2033-E9-14
EM4	MARKETVIEW_20050208.2033-E10-15
EM5	MARKETVIEW_20050208.2033-E11-16
EM6	MARKETVIEW_20050208.2033-E12-17
EM7	MARKETVIEW_20050208.2033-E8-18
EM8	MARKETVIEW_20050208.2033-E8-19
EM9	MARKETVIEW_20050208.2033-E13-20
EM10	MARKETVIEW_20050208.2033-E11-21
EM11	MARKETVIEW_20050208.2033-E11-22
EM12	MARKETVIEW_20050208.2033-E15-23
EM13	MARKETVIEW_20050208.2033-E16-24
EM14	MARKETVIEW_20050208.2033-E17-25
EM17	MARKETVIEW_20050208.2033-E18-26
EM18	MARKETVIEW_20050208.2033-E17-27
EM20	MARKETVIEW_20050208.2033-E17-28
EM19	MARKETVIEW_20050208.2033-E10-29
EM21	MARKETVIEW_20050208.2033-E1-30
V1	MARKETVIEW_20050208.2033-EV1
VM1	MARKETVIEW_20050208.2033-EV1-1
Q1	MARKETVIEW_20050208.2033-T1
Q2	MARKETVIEW_20050208.2033-T2
Q3	MARKETVIEW_20050208.2033-T3
Q4	MARKETVIEW_20050208.2033-T4
Q5	MARKETVIEW_20050208.2033-T5
Q6	MARKETVIEW_20050208.2033-T6
Q8	MARKETVIEW_20050208.2033-T7
Q10	MARKETVIEW_20050208.2033-T8
Q11	MARKETVIEW_20050208.2033-T9
Q7	MARKETVIEW_20050208.2033-T10
