CE8	AGGRESSIVEVOICEDAILY_20050114.1922-CE1
CE9	AGGRESSIVEVOICEDAILY_20050114.1922-CE2
CE10	AGGRESSIVEVOICEDAILY_20050114.1922-CE3
CE11	AGGRESSIVEVOICEDAILY_20050114.1922-CE4
CE12	AGGRESSIVEVOICEDAILY_20050114.1922-CE5
CE1	AGGRESSIVEVOICEDAILY_20050114.1922-CE6
CE2	AGGRESSIVEVOICEDAILY_20050114.1922-CE7
CE3	AGGRESSIVEVOICEDAILY_20050114.1922-CE8
CE4	AGGRESSIVEVOICEDAILY_20050114.1922-CE9
CE13	AGGRESSIVEVOICEDAILY_20050114.1922-CE10
CE5	AGGRESSIVEVOICEDAILY_20050114.1922-CE11
CE6	AGGRESSIVEVOICEDAILY_20050114.1922-CE12
CE7	AGGRESSIVEVOICEDAILY_20050114.1922-CE13
E15	AGGRESSIVEVOICEDAILY_20050114.1922-E1
E16	AGGRESSIVEVOICEDAILY_20050114.1922-E2
E17	AGGRESSIVEVOICEDAILY_20050114.1922-E3
E18	AGGRESSIVEVOICEDAILY_20050114.1922-E4
E19	AGGRESSIVEVOICEDAILY_20050114.1922-E5
E1	AGGRESSIVEVOICEDAILY_20050114.1922-E6
E2	AGGRESSIVEVOICEDAILY_20050114.1922-E7
E3	AGGRESSIVEVOICEDAILY_20050114.1922-E8
E6	AGGRESSIVEVOICEDAILY_20050114.1922-E9
E7	AGGRESSIVEVOICEDAILY_20050114.1922-E10
E20	AGGRESSIVEVOICEDAILY_20050114.1922-E11
E12	AGGRESSIVEVOICEDAILY_20050114.1922-E12
E13	AGGRESSIVEVOICEDAILY_20050114.1922-E13
E14	AGGRESSIVEVOICEDAILY_20050114.1922-E14
EM1	AGGRESSIVEVOICEDAILY_20050114.1922-E6-1
EM16	AGGRESSIVEVOICEDAILY_20050114.1922-E7-2
EM17	AGGRESSIVEVOICEDAILY_20050114.1922-E2-3
EM18	AGGRESSIVEVOICEDAILY_20050114.1922-E3-4
EM19	AGGRESSIVEVOICEDAILY_20050114.1922-E3-5
EM20	AGGRESSIVEVOICEDAILY_20050114.1922-E4-6
EM21	AGGRESSIVEVOICEDAILY_20050114.1922-E5-7
EM2	AGGRESSIVEVOICEDAILY_20050114.1922-E7-8
EM3	AGGRESSIVEVOICEDAILY_20050114.1922-E7-9
EM4	AGGRESSIVEVOICEDAILY_20050114.1922-E8-10
EM5	AGGRESSIVEVOICEDAILY_20050114.1922-E9-11
EM6	AGGRESSIVEVOICEDAILY_20050114.1922-E10-12
EM7	AGGRESSIVEVOICEDAILY_20050114.1922-E7-13
EM22	AGGRESSIVEVOICEDAILY_20050114.1922-E11-14
EM8	AGGRESSIVEVOICEDAILY_20050114.1922-E7-15
EM9	AGGRESSIVEVOICEDAILY_20050114.1922-E12-16
EM10	AGGRESSIVEVOICEDAILY_20050114.1922-E9-17
EM11	AGGRESSIVEVOICEDAILY_20050114.1922-E13-18
EM12	AGGRESSIVEVOICEDAILY_20050114.1922-E9-19
EM13	AGGRESSIVEVOICEDAILY_20050114.1922-E9-20
EM14	AGGRESSIVEVOICEDAILY_20050114.1922-E14-21
EM15	AGGRESSIVEVOICEDAILY_20050114.1922-E1-22
R1	AGGRESSIVEVOICEDAILY_20050114.1922-R1
R2	AGGRESSIVEVOICEDAILY_20050114.1922-R2
RM1	AGGRESSIVEVOICEDAILY_20050114.1922-R1-1
RM2	AGGRESSIVEVOICEDAILY_20050114.1922-R2-1
Q1	AGGRESSIVEVOICEDAILY_20050114.1922-T1
Q2	AGGRESSIVEVOICEDAILY_20050114.1922-T2
Q3	AGGRESSIVEVOICEDAILY_20050114.1922-T3
Q4	AGGRESSIVEVOICEDAILY_20050114.1922-T4
Q5	AGGRESSIVEVOICEDAILY_20050114.1922-T5
