CE10	AGGRESSIVEVOICEDAILY_20050208.1142-CE1
CE7	AGGRESSIVEVOICEDAILY_20050208.1142-CE2
CE12	AGGRESSIVEVOICEDAILY_20050208.1142-CE3
CE1	AGGRESSIVEVOICEDAILY_20050208.1142-CE4
CE2	AGGRESSIVEVOICEDAILY_20050208.1142-CE5
CE3	AGGRESSIVEVOICEDAILY_20050208.1142-CE6
CE6	AGGRESSIVEVOICEDAILY_20050208.1142-CE7
CE4	AGGRESSIVEVOICEDAILY_20050208.1142-CE8
CE5	AGGRESSIVEVOICEDAILY_20050208.1142-CE9
CE8	AGGRESSIVEVOICEDAILY_20050208.1142-CE10
CE11	AGGRESSIVEVOICEDAILY_20050208.1142-CE11
CE9	AGGRESSIVEVOICEDAILY_20050208.1142-CE12
E13	AGGRESSIVEVOICEDAILY_20050208.1142-E1
E21	AGGRESSIVEVOICEDAILY_20050208.1142-E2
E14	AGGRESSIVEVOICEDAILY_20050208.1142-E3
E15	AGGRESSIVEVOICEDAILY_20050208.1142-E4
E19	AGGRESSIVEVOICEDAILY_20050208.1142-E5
E1	AGGRESSIVEVOICEDAILY_20050208.1142-E6
E2	AGGRESSIVEVOICEDAILY_20050208.1142-E7
E3	AGGRESSIVEVOICEDAILY_20050208.1142-E8
E4	AGGRESSIVEVOICEDAILY_20050208.1142-E9
E16	AGGRESSIVEVOICEDAILY_20050208.1142-E10
E6	AGGRESSIVEVOICEDAILY_20050208.1142-E11
E7	AGGRESSIVEVOICEDAILY_20050208.1142-E12
E8	AGGRESSIVEVOICEDAILY_20050208.1142-E13
E10	AGGRESSIVEVOICEDAILY_20050208.1142-E14
E20	AGGRESSIVEVOICEDAILY_20050208.1142-E15
E12	AGGRESSIVEVOICEDAILY_20050208.1142-E16
EM1	AGGRESSIVEVOICEDAILY_20050208.1142-E6-1
EM20	AGGRESSIVEVOICEDAILY_20050208.1142-E1-2
EM22	AGGRESSIVEVOICEDAILY_20050208.1142-E4-3
EM23	AGGRESSIVEVOICEDAILY_20050208.1142-E9-4
EM24	AGGRESSIVEVOICEDAILY_20050208.1142-E9-5
EM26	AGGRESSIVEVOICEDAILY_20050208.1142-E12-6
EM25	AGGRESSIVEVOICEDAILY_20050208.1142-E6-7
EM11	AGGRESSIVEVOICEDAILY_20050208.1142-E5-8
EM27	AGGRESSIVEVOICEDAILY_20050208.1142-E9-9
EM2	AGGRESSIVEVOICEDAILY_20050208.1142-E7-10
EM3	AGGRESSIVEVOICEDAILY_20050208.1142-E7-11
EM4	AGGRESSIVEVOICEDAILY_20050208.1142-E8-12
EM5	AGGRESSIVEVOICEDAILY_20050208.1142-E9-13
EM9	AGGRESSIVEVOICEDAILY_20050208.1142-E10-14
EM6	AGGRESSIVEVOICEDAILY_20050208.1142-E11-15
EM7	AGGRESSIVEVOICEDAILY_20050208.1142-E12-16
EM8	AGGRESSIVEVOICEDAILY_20050208.1142-E12-17
EM10	AGGRESSIVEVOICEDAILY_20050208.1142-E12-18
EM12	AGGRESSIVEVOICEDAILY_20050208.1142-E7-19
EM13	AGGRESSIVEVOICEDAILY_20050208.1142-E13-20
EM14	AGGRESSIVEVOICEDAILY_20050208.1142-E15-21
EM28	AGGRESSIVEVOICEDAILY_20050208.1142-E9-22
EM15	AGGRESSIVEVOICEDAILY_20050208.1142-E14-23
EM21	AGGRESSIVEVOICEDAILY_20050208.1142-E2-24
EM16	AGGRESSIVEVOICEDAILY_20050208.1142-E16-25
EM17	AGGRESSIVEVOICEDAILY_20050208.1142-E11-26
EM18	AGGRESSIVEVOICEDAILY_20050208.1142-E3-27
EM19	AGGRESSIVEVOICEDAILY_20050208.1142-E16-28
R1	AGGRESSIVEVOICEDAILY_20050208.1142-R1
RM1	AGGRESSIVEVOICEDAILY_20050208.1142-R1-1
V2	AGGRESSIVEVOICEDAILY_20050208.1142-EV1
V1	AGGRESSIVEVOICEDAILY_20050208.1142-EV2
VM2	AGGRESSIVEVOICEDAILY_20050208.1142-EV1-1
VM1	AGGRESSIVEVOICEDAILY_20050208.1142-EV2-1
Q1	AGGRESSIVEVOICEDAILY_20050208.1142-T1
Q2	AGGRESSIVEVOICEDAILY_20050208.1142-T2
Q4	AGGRESSIVEVOICEDAILY_20050208.1142-T3
Q5	AGGRESSIVEVOICEDAILY_20050208.1142-T4
