CE11	MARKBACKER_20041220.0919-CE1
CE12	MARKBACKER_20041220.0919-CE2
CE13	MARKBACKER_20041220.0919-CE3
CE14	MARKBACKER_20041220.0919-CE4
CE9	MARKBACKER_20041220.0919-CE5
CE16	MARKBACKER_20041220.0919-CE6
CE19	MARKBACKER_20041220.0919-CE7
CE20	MARKBACKER_20041220.0919-CE8
CE21	MARKBACKER_20041220.0919-CE9
CE1	MARKBACKER_20041220.0919-CE10
CE10	MARKBACKER_20041220.0919-CE11
CE15	MARKBACKER_20041220.0919-CE12
CE17	MARKBACKER_20041220.0919-CE13
CE18	MARKBACKER_20041220.0919-CE14
CE2	MARKBACKER_20041220.0919-CE15
CE3	MARKBACKER_20041220.0919-CE16
CE4	MARKBACKER_20041220.0919-CE17
CE6	MARKBACKER_20041220.0919-CE18
CE5	MARKBACKER_20041220.0919-CE19
CE7	MARKBACKER_20041220.0919-CE20
CE8	MARKBACKER_20041220.0919-CE21
E11	MARKBACKER_20041220.0919-E1
E13	MARKBACKER_20041220.0919-E2
E14	MARKBACKER_20041220.0919-E3
E15	MARKBACKER_20041220.0919-E4
E18	MARKBACKER_20041220.0919-E5
E19	MARKBACKER_20041220.0919-E6
E20	MARKBACKER_20041220.0919-E7
E22	MARKBACKER_20041220.0919-E8
E26	MARKBACKER_20041220.0919-E9
E1	MARKBACKER_20041220.0919-E10
E27	MARKBACKER_20041220.0919-E11
E28	MARKBACKER_20041220.0919-E12
E34	MARKBACKER_20041220.0919-E13
E38	MARKBACKER_20041220.0919-E14
E39	MARKBACKER_20041220.0919-E15
E40	MARKBACKER_20041220.0919-E16
E42	MARKBACKER_20041220.0919-E17
E43	MARKBACKER_20041220.0919-E18
E44	MARKBACKER_20041220.0919-E19
E2	MARKBACKER_20041220.0919-E20
E3	MARKBACKER_20041220.0919-E21
E4	MARKBACKER_20041220.0919-E22
E5	MARKBACKER_20041220.0919-E23
E6	MARKBACKER_20041220.0919-E24
E7	MARKBACKER_20041220.0919-E25
E8	MARKBACKER_20041220.0919-E26
E10	MARKBACKER_20041220.0919-E27
EM1	MARKBACKER_20041220.0919-E10-1
EM22	MARKBACKER_20041220.0919-E27-2
EM23	MARKBACKER_20041220.0919-E27-3
EM24	MARKBACKER_20041220.0919-E23-4
EM25	MARKBACKER_20041220.0919-E23-5
EM26	MARKBACKER_20041220.0919-E26-6
EM27	MARKBACKER_20041220.0919-E23-7
EM28	MARKBACKER_20041220.0919-E23-8
EM29	MARKBACKER_20041220.0919-E27-9
EM30	MARKBACKER_20041220.0919-E1-10
EM66	MARKBACKER_20041220.0919-E20-11
EM32	MARKBACKER_20041220.0919-E27-12
EM35	MARKBACKER_20041220.0919-E10-13
EM37	MARKBACKER_20041220.0919-E3-14
EM38	MARKBACKER_20041220.0919-E3-15
EM39	MARKBACKER_20041220.0919-E4-16
EM41	MARKBACKER_20041220.0919-E5-17
EM43	MARKBACKER_20041220.0919-E6-18
EM44	MARKBACKER_20041220.0919-E23-19
EM45	MARKBACKER_20041220.0919-E10-20
EM46	MARKBACKER_20041220.0919-E7-21
EM47	MARKBACKER_20041220.0919-E7-22
EM48	MARKBACKER_20041220.0919-E23-23
EM49	MARKBACKER_20041220.0919-E22-24
EM50	MARKBACKER_20041220.0919-E10-25
EM51	MARKBACKER_20041220.0919-E10-26
EM53	MARKBACKER_20041220.0919-E10-27
EM65	MARKBACKER_20041220.0919-E10-28
EM52	MARKBACKER_20041220.0919-E2-29
EM55	MARKBACKER_20041220.0919-E22-30
EM56	MARKBACKER_20041220.0919-E8-31
EM59	MARKBACKER_20041220.0919-E8-32
EM60	MARKBACKER_20041220.0919-E24-33
EM61	MARKBACKER_20041220.0919-E23-34
EM67	MARKBACKER_20041220.0919-E9-35
EM63	MARKBACKER_20041220.0919-E23-36
EM64	MARKBACKER_20041220.0919-E2-37
EM68	MARKBACKER_20041220.0919-E26-38
EM69	MARKBACKER_20041220.0919-E23-39
EM71	MARKBACKER_20041220.0919-E11-40
EM72	MARKBACKER_20041220.0919-E12-41
EM42	MARKBACKER_20041220.0919-E23-42
EM31	MARKBACKER_20041220.0919-E13-43
EM54	MARKBACKER_20041220.0919-E14-44
EM57	MARKBACKER_20041220.0919-E15-45
EM62	MARKBACKER_20041220.0919-E16-46
EM33	MARKBACKER_20041220.0919-E27-47
EM34	MARKBACKER_20041220.0919-E27-48
EM10	MARKBACKER_20041220.0919-E17-49
EM70	MARKBACKER_20041220.0919-E18-50
EM36	MARKBACKER_20041220.0919-E2-51
EM13	MARKBACKER_20041220.0919-E22-52
EM19	MARKBACKER_20041220.0919-E22-53
EM20	MARKBACKER_20041220.0919-E22-54
EM2	MARKBACKER_20041220.0919-E10-55
EM18	MARKBACKER_20041220.0919-E7-56
EM40	MARKBACKER_20041220.0919-E19-57
EM58	MARKBACKER_20041220.0919-E15-58
EM3	MARKBACKER_20041220.0919-E10-59
EM4	MARKBACKER_20041220.0919-E10-60
EM5	MARKBACKER_20041220.0919-E20-61
EM6	MARKBACKER_20041220.0919-E21-62
EM7	MARKBACKER_20041220.0919-E22-63
EM8	MARKBACKER_20041220.0919-E23-64
EM9	MARKBACKER_20041220.0919-E25-65
EM11	MARKBACKER_20041220.0919-E22-66
EM12	MARKBACKER_20041220.0919-E22-67
EM14	MARKBACKER_20041220.0919-E26-68
EM15	MARKBACKER_20041220.0919-E22-69
EM73	MARKBACKER_20041220.0919-E10-70
EM16	MARKBACKER_20041220.0919-E27-71
EM17	MARKBACKER_20041220.0919-E20-72
EM21	MARKBACKER_20041220.0919-E23-73
R1	MARKBACKER_20041220.0919-R1
R3	MARKBACKER_20041220.0919-R2
R4	MARKBACKER_20041220.0919-R3
R2	MARKBACKER_20041220.0919-R4
RM1	MARKBACKER_20041220.0919-R1-1
RM3	MARKBACKER_20041220.0919-R2-1
RM4	MARKBACKER_20041220.0919-R3-1
RM2	MARKBACKER_20041220.0919-R4-1
V10	MARKBACKER_20041220.0919-EV1
V2	MARKBACKER_20041220.0919-EV2
V1	MARKBACKER_20041220.0919-EV3
V3	MARKBACKER_20041220.0919-EV4
V4	MARKBACKER_20041220.0919-EV5
V5	MARKBACKER_20041220.0919-EV6
V6	MARKBACKER_20041220.0919-EV7
V7	MARKBACKER_20041220.0919-EV8
V8	MARKBACKER_20041220.0919-EV9
V9	MARKBACKER_20041220.0919-EV10
VM8	MARKBACKER_20041220.0919-EV1-1
VM2	MARKBACKER_20041220.0919-EV2-1
VM1	MARKBACKER_20041220.0919-EV3-1
VM3	MARKBACKER_20041220.0919-EV3-2
VM4	MARKBACKER_20041220.0919-EV3-3
VM5	MARKBACKER_20041220.0919-EV4-1
VM6	MARKBACKER_20041220.0919-EV5-1
VM7	MARKBACKER_20041220.0919-EV6-1
VM9	MARKBACKER_20041220.0919-EV7-1
VM10	MARKBACKER_20041220.0919-EV8-1
VM11	MARKBACKER_20041220.0919-EV9-1
VM12	MARKBACKER_20041220.0919-EV3-4
VM13	MARKBACKER_20041220.0919-EV10-1
Q1	MARKBACKER_20041220.0919-T1
Q3	MARKBACKER_20041220.0919-T2
Q6	MARKBACKER_20041220.0919-T3
Q8	MARKBACKER_20041220.0919-T4
Q2	MARKBACKER_20041220.0919-T5
Q4	MARKBACKER_20041220.0919-T6
Q9	MARKBACKER_20041220.0919-T7
Q10	MARKBACKER_20041220.0919-T8
Q12	MARKBACKER_20041220.0919-T9
