CE12	MARKBACKER_20041112.0707-CE1
CE13	MARKBACKER_20041112.0707-CE2
CE4	MARKBACKER_20041112.0707-CE3
CE14	MARKBACKER_20041112.0707-CE4
CE15	MARKBACKER_20041112.0707-CE5
CE16	MARKBACKER_20041112.0707-CE6
CE17	MARKBACKER_20041112.0707-CE7
CE18	MARKBACKER_20041112.0707-CE8
CE19	MARKBACKER_20041112.0707-CE9
CE20	MARKBACKER_20041112.0707-CE10
CE21	MARKBACKER_20041112.0707-CE11
CE6	MARKBACKER_20041112.0707-CE12
CE22	MARKBACKER_20041112.0707-CE13
CE23	MARKBACKER_20041112.0707-CE14
CE24	MARKBACKER_20041112.0707-CE15
CE25	MARKBACKER_20041112.0707-CE16
CE26	MARKBACKER_20041112.0707-CE17
CE27	MARKBACKER_20041112.0707-CE18
CE28	MARKBACKER_20041112.0707-CE19
CE29	MARKBACKER_20041112.0707-CE20
CE30	MARKBACKER_20041112.0707-CE21
CE31	MARKBACKER_20041112.0707-CE22
CE32	MARKBACKER_20041112.0707-CE23
CE33	MARKBACKER_20041112.0707-CE24
CE34	MARKBACKER_20041112.0707-CE25
CE35	MARKBACKER_20041112.0707-CE26
CE36	MARKBACKER_20041112.0707-CE27
CE37	MARKBACKER_20041112.0707-CE28
CE38	MARKBACKER_20041112.0707-CE29
CE39	MARKBACKER_20041112.0707-CE30
CE1	MARKBACKER_20041112.0707-CE31
CE40	MARKBACKER_20041112.0707-CE32
CE41	MARKBACKER_20041112.0707-CE33
CE2	MARKBACKER_20041112.0707-CE34
CE3	MARKBACKER_20041112.0707-CE35
CE42	MARKBACKER_20041112.0707-CE36
CE43	MARKBACKER_20041112.0707-CE37
CE45	MARKBACKER_20041112.0707-CE38
CE44	MARKBACKER_20041112.0707-CE39
CE5	MARKBACKER_20041112.0707-CE40
CE47	MARKBACKER_20041112.0707-CE41
CE7	MARKBACKER_20041112.0707-CE42
CE8	MARKBACKER_20041112.0707-CE43
CE9	MARKBACKER_20041112.0707-CE44
CE10	MARKBACKER_20041112.0707-CE45
CE11	MARKBACKER_20041112.0707-CE46
E7	MARKBACKER_20041112.0707-E1
E8	MARKBACKER_20041112.0707-E2
E10	MARKBACKER_20041112.0707-E3
E11	MARKBACKER_20041112.0707-E4
E12	MARKBACKER_20041112.0707-E5
E13	MARKBACKER_20041112.0707-E6
E14	MARKBACKER_20041112.0707-E7
E15	MARKBACKER_20041112.0707-E8
E16	MARKBACKER_20041112.0707-E9
E17	MARKBACKER_20041112.0707-E10
E18	MARKBACKER_20041112.0707-E11
E19	MARKBACKER_20041112.0707-E12
E21	MARKBACKER_20041112.0707-E13
E22	MARKBACKER_20041112.0707-E14
E23	MARKBACKER_20041112.0707-E15
E24	MARKBACKER_20041112.0707-E16
E25	MARKBACKER_20041112.0707-E17
E26	MARKBACKER_20041112.0707-E18
E27	MARKBACKER_20041112.0707-E19
E28	MARKBACKER_20041112.0707-E20
E29	MARKBACKER_20041112.0707-E21
E30	MARKBACKER_20041112.0707-E22
E31	MARKBACKER_20041112.0707-E23
E32	MARKBACKER_20041112.0707-E24
E33	MARKBACKER_20041112.0707-E25
E34	MARKBACKER_20041112.0707-E26
E35	MARKBACKER_20041112.0707-E27
E36	MARKBACKER_20041112.0707-E28
E37	MARKBACKER_20041112.0707-E29
E38	MARKBACKER_20041112.0707-E30
E39	MARKBACKER_20041112.0707-E31
E40	MARKBACKER_20041112.0707-E32
E41	MARKBACKER_20041112.0707-E33
E42	MARKBACKER_20041112.0707-E34
E44	MARKBACKER_20041112.0707-E35
E45	MARKBACKER_20041112.0707-E36
