CE11	OIADVANTAGE_20041224.1007-CE1
CE12	OIADVANTAGE_20041224.1007-CE2
CE13	OIADVANTAGE_20041224.1007-CE3
CE14	OIADVANTAGE_20041224.1007-CE4
CE15	OIADVANTAGE_20041224.1007-CE5
CE16	OIADVANTAGE_20041224.1007-CE6
CE17	OIADVANTAGE_20041224.1007-CE7
CE19	OIADVANTAGE_20041224.1007-CE8
CE20	OIADVANTAGE_20041224.1007-CE9
CE21	OIADVANTAGE_20041224.1007-CE10
CE22	OIADVANTAGE_20041224.1007-CE11
CE23	OIADVANTAGE_20041224.1007-CE12
CE24	OIADVANTAGE_20041224.1007-CE13
CE25	OIADVANTAGE_20041224.1007-CE14
CE26	OIADVANTAGE_20041224.1007-CE15
CE27	OIADVANTAGE_20041224.1007-CE16
CE28	OIADVANTAGE_20041224.1007-CE17
CE29	OIADVANTAGE_20041224.1007-CE18
CE34	OIADVANTAGE_20041224.1007-CE19
CE31	OIADVANTAGE_20041224.1007-CE20
CE32	OIADVANTAGE_20041224.1007-CE21
CE33	OIADVANTAGE_20041224.1007-CE22
CE3	OIADVANTAGE_20041224.1007-CE23
CE36	OIADVANTAGE_20041224.1007-CE24
CE37	OIADVANTAGE_20041224.1007-CE25
CE18	OIADVANTAGE_20041224.1007-CE26
CE10	OIADVANTAGE_20041224.1007-CE27
CE1	OIADVANTAGE_20041224.1007-CE28
CE8	OIADVANTAGE_20041224.1007-CE29
CE30	OIADVANTAGE_20041224.1007-CE30
CE35	OIADVANTAGE_20041224.1007-CE31
CE2	OIADVANTAGE_20041224.1007-CE32
CE4	OIADVANTAGE_20041224.1007-CE33
CE5	OIADVANTAGE_20041224.1007-CE34
CE6	OIADVANTAGE_20041224.1007-CE35
CE7	OIADVANTAGE_20041224.1007-CE36
CE9	OIADVANTAGE_20041224.1007-CE37
E8	OIADVANTAGE_20041224.1007-E1
E9	OIADVANTAGE_20041224.1007-E2
E10	OIADVANTAGE_20041224.1007-E3
E11	OIADVANTAGE_20041224.1007-E4
E12	OIADVANTAGE_20041224.1007-E5
E13	OIADVANTAGE_20041224.1007-E6
E14	OIADVANTAGE_20041224.1007-E7
E16	OIADVANTAGE_20041224.1007-E8
E18	OIADVANTAGE_20041224.1007-E9
E19	OIADVANTAGE_20041224.1007-E10
E21	OIADVANTAGE_20041224.1007-E11
E22	OIADVANTAGE_20041224.1007-E12
E23	OIADVANTAGE_20041224.1007-E13
E24	OIADVANTAGE_20041224.1007-E14
E26	OIADVANTAGE_20041224.1007-E15
E1	OIADVANTAGE_20041224.1007-E16
E27	OIADVANTAGE_20041224.1007-E17
E29	OIADVANTAGE_20041224.1007-E18
E30	OIADVANTAGE_20041224.1007-E19
E31	OIADVANTAGE_20041224.1007-E20
E32	OIADVANTAGE_20041224.1007-E21
E33	OIADVANTAGE_20041224.1007-E22
E34	OIADVANTAGE_20041224.1007-E23
E36	OIADVANTAGE_20041224.1007-E24
E37	OIADVANTAGE_20041224.1007-E25
E38	OIADVANTAGE_20041224.1007-E26
E39	OIADVANTAGE_20041224.1007-E27
E40	OIADVANTAGE_20041224.1007-E28
E41	OIADVANTAGE_20041224.1007-E29
E42	OIADVANTAGE_20041224.1007-E30
E45	OIADVANTAGE_20041224.1007-E31
E47	OIADVANTAGE_20041224.1007-E32
E48	OIADVANTAGE_20041224.1007-E33
E49	OIADVANTAGE_20041224.1007-E34
E50	OIADVANTAGE_20041224.1007-E35
E51	OIADVANTAGE_20041224.1007-E36
E53	OIADVANTAGE_20041224.1007-E37
E2	OIADVANTAGE_20041224.1007-E38
E3	OIADVANTAGE_20041224.1007-E39
E4	OIADVANTAGE_20041224.1007-E40
E5	OIADVANTAGE_20041224.1007-E41
E6	OIADVANTAGE_20041224.1007-E42
E7	OIADVANTAGE_20041224.1007-E43
EM1	OIADVANTAGE_20041224.1007-E16-1
EM22	OIADVANTAGE_20041224.1007-E41-2
EM23	OIADVANTAGE_20041224.1007-E1-3
EM24	OIADVANTAGE_20041224.1007-E16-4
EM25	OIADVANTAGE_20041224.1007-E41-5
EM26	OIADVANTAGE_20041224.1007-E2-6
EM28	OIADVANTAGE_20041224.1007-E41-7
EM29	OIADVANTAGE_20041224.1007-E3-8
EM30	OIADVANTAGE_20041224.1007-E4-9
EM31	OIADVANTAGE_20041224.1007-E5-10
EM32	OIADVANTAGE_20041224.1007-E16-11
EM33	OIADVANTAGE_20041224.1007-E6-12
EM34	OIADVANTAGE_20041224.1007-E6-13
EM35	OIADVANTAGE_20041224.1007-E7-14
EM37	OIADVANTAGE_20041224.1007-E7-15
EM38	OIADVANTAGE_20041224.1007-E8-16
EM39	OIADVANTAGE_20041224.1007-E8-17
EM43	OIADVANTAGE_20041224.1007-E16-18
EM44	OIADVANTAGE_20041224.1007-E9-19
EM45	OIADVANTAGE_20041224.1007-E16-20
EM46	OIADVANTAGE_20041224.1007-E8-21
EM47	OIADVANTAGE_20041224.1007-E10-22
EM49	OIADVANTAGE_20041224.1007-E11-23
EM50	OIADVANTAGE_20041224.1007-E12-24
EM51	OIADVANTAGE_20041224.1007-E13-25
EM52	OIADVANTAGE_20041224.1007-E14-26
EM53	OIADVANTAGE_20041224.1007-E8-27
EM54	OIADVANTAGE_20041224.1007-E14-28
EM55	OIADVANTAGE_20041224.1007-E14-29
EM56	OIADVANTAGE_20041224.1007-E14-30
EM57	OIADVANTAGE_20041224.1007-E14-31
EM58	OIADVANTAGE_20041224.1007-E15-32
EM59	OIADVANTAGE_20041224.1007-E14-33
EM60	OIADVANTAGE_20041224.1007-E14-34
EM61	OIADVANTAGE_20041224.1007-E8-35
EM62	OIADVANTAGE_20041224.1007-E17-36
EM63	OIADVANTAGE_20041224.1007-E18-37
EM64	OIADVANTAGE_20041224.1007-E19-38
EM65	OIADVANTAGE_20041224.1007-E20-39
EM66	OIADVANTAGE_20041224.1007-E41-40
EM67	OIADVANTAGE_20041224.1007-E16-41
EM68	OIADVANTAGE_20041224.1007-E21-42
EM70	OIADVANTAGE_20041224.1007-E23-43
EM71	OIADVANTAGE_20041224.1007-E16-44
EM72	OIADVANTAGE_20041224.1007-E21-45
EM73	OIADVANTAGE_20041224.1007-E23-46
