CE1	MARKETVIEW_20050222.0729-CE1
CE6	MARKETVIEW_20050222.0729-CE2
CE10	MARKETVIEW_20050222.0729-CE3
CE3	MARKETVIEW_20050222.0729-CE4
CE4	MARKETVIEW_20050222.0729-CE5
CE5	MARKETVIEW_20050222.0729-CE6
CE7	MARKETVIEW_20050222.0729-CE7
CE8	MARKETVIEW_20050222.0729-CE8
CE9	MARKETVIEW_20050222.0729-CE9
CE2	MARKETVIEW_20050222.0729-CE10
E12	MARKETVIEW_20050222.0729-E1
E14	MARKETVIEW_20050222.0729-E2
E18	MARKETVIEW_20050222.0729-E3
E15	MARKETVIEW_20050222.0729-E4
E19	MARKETVIEW_20050222.0729-E5
E2	MARKETVIEW_20050222.0729-E6
E3	MARKETVIEW_20050222.0729-E7
E4	MARKETVIEW_20050222.0729-E8
E5	MARKETVIEW_20050222.0729-E9
E6	MARKETVIEW_20050222.0729-E10
E8	MARKETVIEW_20050222.0729-E11
E10	MARKETVIEW_20050222.0729-E12
E11	MARKETVIEW_20050222.0729-E13
EM14	MARKETVIEW_20050222.0729-E2-1
EM17	MARKETVIEW_20050222.0729-E3-2
EM10	MARKETVIEW_20050222.0729-E4-3
EM4	MARKETVIEW_20050222.0729-E6-4
EM5	MARKETVIEW_20050222.0729-E6-5
EM20	MARKETVIEW_20050222.0729-E5-6
EM6	MARKETVIEW_20050222.0729-E6-7
EM7	MARKETVIEW_20050222.0729-E7-8
EM8	MARKETVIEW_20050222.0729-E6-9
EM9	MARKETVIEW_20050222.0729-E8-10
EM11	MARKETVIEW_20050222.0729-E6-11
EM12	MARKETVIEW_20050222.0729-E9-12
EM13	MARKETVIEW_20050222.0729-E10-13
EM16	MARKETVIEW_20050222.0729-E11-14
EM15	MARKETVIEW_20050222.0729-E11-15
EM18	MARKETVIEW_20050222.0729-E6-16
EM19	MARKETVIEW_20050222.0729-E6-17
EM1	MARKETVIEW_20050222.0729-E12-18
EM2	MARKETVIEW_20050222.0729-E13-19
EM3	MARKETVIEW_20050222.0729-E1-20
Q1	MARKETVIEW_20050222.0729-T1
Q2	MARKETVIEW_20050222.0729-T2
