CE27	FLOPPINGACES_20041230.1844.003-CE1
CE28	FLOPPINGACES_20041230.1844.003-CE2
CE29	FLOPPINGACES_20041230.1844.003-CE3
CE30	FLOPPINGACES_20041230.1844.003-CE4
CE85	FLOPPINGACES_20041230.1844.003-CE5
CE31	FLOPPINGACES_20041230.1844.003-CE6
CE32	FLOPPINGACES_20041230.1844.003-CE7
CE33	FLOPPINGACES_20041230.1844.003-CE8
CE34	FLOPPINGACES_20041230.1844.003-CE9
CE35	FLOPPINGACES_20041230.1844.003-CE10
CE36	FLOPPINGACES_20041230.1844.003-CE11
CE37	FLOPPINGACES_20041230.1844.003-CE12
CE38	FLOPPINGACES_20041230.1844.003-CE13
CE39	FLOPPINGACES_20041230.1844.003-CE14
CE40	FLOPPINGACES_20041230.1844.003-CE15
CE41	FLOPPINGACES_20041230.1844.003-CE16
CE42	FLOPPINGACES_20041230.1844.003-CE17
CE13	FLOPPINGACES_20041230.1844.003-CE18
CE43	FLOPPINGACES_20041230.1844.003-CE19
CE86	FLOPPINGACES_20041230.1844.003-CE20
CE87	FLOPPINGACES_20041230.1844.003-CE21
CE14	FLOPPINGACES_20041230.1844.003-CE22
CE44	FLOPPINGACES_20041230.1844.003-CE23
CE45	FLOPPINGACES_20041230.1844.003-CE24
CE46	FLOPPINGACES_20041230.1844.003-CE25
CE47	FLOPPINGACES_20041230.1844.003-CE26
CE48	FLOPPINGACES_20041230.1844.003-CE27
CE49	FLOPPINGACES_20041230.1844.003-CE28
CE50	FLOPPINGACES_20041230.1844.003-CE29
CE51	FLOPPINGACES_20041230.1844.003-CE30
CE52	FLOPPINGACES_20041230.1844.003-CE31
CE53	FLOPPINGACES_20041230.1844.003-CE32
CE54	FLOPPINGACES_20041230.1844.003-CE33
CE19	FLOPPINGACES_20041230.1844.003-CE34
CE55	FLOPPINGACES_20041230.1844.003-CE35
CE56	FLOPPINGACES_20041230.1844.003-CE36
CE58	FLOPPINGACES_20041230.1844.003-CE37
CE59	FLOPPINGACES_20041230.1844.003-CE38
CE60	FLOPPINGACES_20041230.1844.003-CE39
CE61	FLOPPINGACES_20041230.1844.003-CE40
CE62	FLOPPINGACES_20041230.1844.003-CE41
CE63	FLOPPINGACES_20041230.1844.003-CE42
CE64	FLOPPINGACES_20041230.1844.003-CE43
CE65	FLOPPINGACES_20041230.1844.003-CE44
CE4	FLOPPINGACES_20041230.1844.003-CE45
CE66	FLOPPINGACES_20041230.1844.003-CE46
CE9	FLOPPINGACES_20041230.1844.003-CE47
CE2	FLOPPINGACES_20041230.1844.003-CE48
CE3	FLOPPINGACES_20041230.1844.003-CE49
CE69	FLOPPINGACES_20041230.1844.003-CE50
CE70	FLOPPINGACES_20041230.1844.003-CE51
CE20	FLOPPINGACES_20041230.1844.003-CE52
CE71	FLOPPINGACES_20041230.1844.003-CE53
CE72	FLOPPINGACES_20041230.1844.003-CE54
CE73	FLOPPINGACES_20041230.1844.003-CE55
CE74	FLOPPINGACES_20041230.1844.003-CE56
CE75	FLOPPINGACES_20041230.1844.003-CE57
CE76	FLOPPINGACES_20041230.1844.003-CE58
CE77	FLOPPINGACES_20041230.1844.003-CE59
CE78	FLOPPINGACES_20041230.1844.003-CE60
CE80	FLOPPINGACES_20041230.1844.003-CE61
CE81	FLOPPINGACES_20041230.1844.003-CE62
CE12	FLOPPINGACES_20041230.1844.003-CE63
CE82	FLOPPINGACES_20041230.1844.003-CE64
CE11	FLOPPINGACES_20041230.1844.003-CE65
CE10	FLOPPINGACES_20041230.1844.003-CE66
CE83	FLOPPINGACES_20041230.1844.003-CE67
CE84	FLOPPINGACES_20041230.1844.003-CE68
CE7	FLOPPINGACES_20041230.1844.003-CE69
CE57	FLOPPINGACES_20041230.1844.003-CE70
CE67	FLOPPINGACES_20041230.1844.003-CE71
CE8	FLOPPINGACES_20041230.1844.003-CE72
CE68	FLOPPINGACES_20041230.1844.003-CE73
CE18	FLOPPINGACES_20041230.1844.003-CE74
CE17	FLOPPINGACES_20041230.1844.003-CE75
CE16	FLOPPINGACES_20041230.1844.003-CE76
CE79	FLOPPINGACES_20041230.1844.003-CE77
CE15	FLOPPINGACES_20041230.1844.003-CE78
CE88	FLOPPINGACES_20041230.1844.003-CE79
CE89	FLOPPINGACES_20041230.1844.003-CE80
CE5	FLOPPINGACES_20041230.1844.003-CE81
CE6	FLOPPINGACES_20041230.1844.003-CE82
CE1	FLOPPINGACES_20041230.1844.003-CE83
CE21	FLOPPINGACES_20041230.1844.003-CE84
CE22	FLOPPINGACES_20041230.1844.003-CE85
CE23	FLOPPINGACES_20041230.1844.003-CE86
CE24	FLOPPINGACES_20041230.1844.003-CE87
CE25	FLOPPINGACES_20041230.1844.003-CE88
CE26	FLOPPINGACES_20041230.1844.003-CE89
E9	FLOPPINGACES_20041230.1844.003-E1
E10	FLOPPINGACES_20041230.1844.003-E2
E12	FLOPPINGACES_20041230.1844.003-E3
E13	FLOPPINGACES_20041230.1844.003-E4
E109	FLOPPINGACES_20041230.1844.003-E5
E15	FLOPPINGACES_20041230.1844.003-E6
E110	FLOPPINGACES_20041230.1844.003-E7
E17	FLOPPINGACES_20041230.1844.003-E8
E18	FLOPPINGACES_20041230.1844.003-E9
E19	FLOPPINGACES_20041230.1844.003-E10
E20	FLOPPINGACES_20041230.1844.003-E11
E21	FLOPPINGACES_20041230.1844.003-E12
E22	FLOPPINGACES_20041230.1844.003-E13
E23	FLOPPINGACES_20041230.1844.003-E14
E24	FLOPPINGACES_20041230.1844.003-E15
E25	FLOPPINGACES_20041230.1844.003-E16
E26	FLOPPINGACES_20041230.1844.003-E17
E27	FLOPPINGACES_20041230.1844.003-E18
E30	FLOPPINGACES_20041230.1844.003-E19
E111	FLOPPINGACES_20041230.1844.003-E20
E112	FLOPPINGACES_20041230.1844.003-E21
E34	FLOPPINGACES_20041230.1844.003-E22
E113	FLOPPINGACES_20041230.1844.003-E23
E35	FLOPPINGACES_20041230.1844.003-E24
E36	FLOPPINGACES_20041230.1844.003-E25
E114	FLOPPINGACES_20041230.1844.003-E26
E38	FLOPPINGACES_20041230.1844.003-E27
E39	FLOPPINGACES_20041230.1844.003-E28
E40	FLOPPINGACES_20041230.1844.003-E29
E41	FLOPPINGACES_20041230.1844.003-E30
E42	FLOPPINGACES_20041230.1844.003-E31
E43	FLOPPINGACES_20041230.1844.003-E32
E44	FLOPPINGACES_20041230.1844.003-E33
E45	FLOPPINGACES_20041230.1844.003-E34
E46	FLOPPINGACES_20041230.1844.003-E35
E47	FLOPPINGACES_20041230.1844.003-E36
E49	FLOPPINGACES_20041230.1844.003-E37
E50	FLOPPINGACES_20041230.1844.003-E38
E51	FLOPPINGACES_20041230.1844.003-E39
E52	FLOPPINGACES_20041230.1844.003-E40
E53	FLOPPINGACES_20041230.1844.003-E41
E54	FLOPPINGACES_20041230.1844.003-E42
E55	FLOPPINGACES_20041230.1844.003-E43
E56	FLOPPINGACES_20041230.1844.003-E44
E115	FLOPPINGACES_20041230.1844.003-E45
E58	FLOPPINGACES_20041230.1844.003-E46
E59	FLOPPINGACES_20041230.1844.003-E47
E60	FLOPPINGACES_20041230.1844.003-E48
E61	FLOPPINGACES_20041230.1844.003-E49
E64	FLOPPINGACES_20041230.1844.003-E50
E65	FLOPPINGACES_20041230.1844.003-E51
E68	FLOPPINGACES_20041230.1844.003-E52
