CE19	FLOPPINGACES_20041113.1528.042-CE1
CE20	FLOPPINGACES_20041113.1528.042-CE2
CE21	FLOPPINGACES_20041113.1528.042-CE3
CE6	FLOPPINGACES_20041113.1528.042-CE4
CE26	FLOPPINGACES_20041113.1528.042-CE5
CE23	FLOPPINGACES_20041113.1528.042-CE6
CE27	FLOPPINGACES_20041113.1528.042-CE7
CE28	FLOPPINGACES_20041113.1528.042-CE8
CE29	FLOPPINGACES_20041113.1528.042-CE9
CE3	FLOPPINGACES_20041113.1528.042-CE10
CE30	FLOPPINGACES_20041113.1528.042-CE11
CE31	FLOPPINGACES_20041113.1528.042-CE12
CE11	FLOPPINGACES_20041113.1528.042-CE13
CE13	FLOPPINGACES_20041113.1528.042-CE14
CE33	FLOPPINGACES_20041113.1528.042-CE15
CE32	FLOPPINGACES_20041113.1528.042-CE16
CE7	FLOPPINGACES_20041113.1528.042-CE17
CE35	FLOPPINGACES_20041113.1528.042-CE18
CE34	FLOPPINGACES_20041113.1528.042-CE19
CE36	FLOPPINGACES_20041113.1528.042-CE20
CE37	FLOPPINGACES_20041113.1528.042-CE21
CE5	FLOPPINGACES_20041113.1528.042-CE22
CE38	FLOPPINGACES_20041113.1528.042-CE23
CE39	FLOPPINGACES_20041113.1528.042-CE24
CE41	FLOPPINGACES_20041113.1528.042-CE25
CE22	FLOPPINGACES_20041113.1528.042-CE26
CE4	FLOPPINGACES_20041113.1528.042-CE27
CE24	FLOPPINGACES_20041113.1528.042-CE28
CE43	FLOPPINGACES_20041113.1528.042-CE29
CE44	FLOPPINGACES_20041113.1528.042-CE30
CE46	FLOPPINGACES_20041113.1528.042-CE31
CE47	FLOPPINGACES_20041113.1528.042-CE32
CE49	FLOPPINGACES_20041113.1528.042-CE33
CE42	FLOPPINGACES_20041113.1528.042-CE34
CE10	FLOPPINGACES_20041113.1528.042-CE35
CE12	FLOPPINGACES_20041113.1528.042-CE36
CE50	FLOPPINGACES_20041113.1528.042-CE37
CE52	FLOPPINGACES_20041113.1528.042-CE38
CE51	FLOPPINGACES_20041113.1528.042-CE39
CE53	FLOPPINGACES_20041113.1528.042-CE40
CE54	FLOPPINGACES_20041113.1528.042-CE41
CE2	FLOPPINGACES_20041113.1528.042-CE42
CE1	FLOPPINGACES_20041113.1528.042-CE43
CE55	FLOPPINGACES_20041113.1528.042-CE44
CE9	FLOPPINGACES_20041113.1528.042-CE45
CE56	FLOPPINGACES_20041113.1528.042-CE46
CE57	FLOPPINGACES_20041113.1528.042-CE47
CE58	FLOPPINGACES_20041113.1528.042-CE48
CE59	FLOPPINGACES_20041113.1528.042-CE49
CE60	FLOPPINGACES_20041113.1528.042-CE50
CE8	FLOPPINGACES_20041113.1528.042-CE51
CE25	FLOPPINGACES_20041113.1528.042-CE52
CE40	FLOPPINGACES_20041113.1528.042-CE53
CE48	FLOPPINGACES_20041113.1528.042-CE54
CE45	FLOPPINGACES_20041113.1528.042-CE55
CE14	FLOPPINGACES_20041113.1528.042-CE56
CE15	FLOPPINGACES_20041113.1528.042-CE57
CE16	FLOPPINGACES_20041113.1528.042-CE58
CE17	FLOPPINGACES_20041113.1528.042-CE59
CE18	FLOPPINGACES_20041113.1528.042-CE60
E12	FLOPPINGACES_20041113.1528.042-E1
E13	FLOPPINGACES_20041113.1528.042-E2
E14	FLOPPINGACES_20041113.1528.042-E3
E16	FLOPPINGACES_20041113.1528.042-E4
E17	FLOPPINGACES_20041113.1528.042-E5
E19	FLOPPINGACES_20041113.1528.042-E6
E21	FLOPPINGACES_20041113.1528.042-E7
E22	FLOPPINGACES_20041113.1528.042-E8
E23	FLOPPINGACES_20041113.1528.042-E9
E24	FLOPPINGACES_20041113.1528.042-E10
E26	FLOPPINGACES_20041113.1528.042-E11
E28	FLOPPINGACES_20041113.1528.042-E12
E29	FLOPPINGACES_20041113.1528.042-E13
E30	FLOPPINGACES_20041113.1528.042-E14
E31	FLOPPINGACES_20041113.1528.042-E15
E33	FLOPPINGACES_20041113.1528.042-E16
E95	FLOPPINGACES_20041113.1528.042-E17
E36	FLOPPINGACES_20041113.1528.042-E18
E37	FLOPPINGACES_20041113.1528.042-E19
E38	FLOPPINGACES_20041113.1528.042-E20
E40	FLOPPINGACES_20041113.1528.042-E21
E41	FLOPPINGACES_20041113.1528.042-E22
E42	FLOPPINGACES_20041113.1528.042-E23
E43	FLOPPINGACES_20041113.1528.042-E24
E44	FLOPPINGACES_20041113.1528.042-E25
E45	FLOPPINGACES_20041113.1528.042-E26
E46	FLOPPINGACES_20041113.1528.042-E27
E48	FLOPPINGACES_20041113.1528.042-E28
E49	FLOPPINGACES_20041113.1528.042-E29
E50	FLOPPINGACES_20041113.1528.042-E30
E97	FLOPPINGACES_20041113.1528.042-E31
E52	FLOPPINGACES_20041113.1528.042-E32
E98	FLOPPINGACES_20041113.1528.042-E33
E54	FLOPPINGACES_20041113.1528.042-E34
E56	FLOPPINGACES_20041113.1528.042-E35
E57	FLOPPINGACES_20041113.1528.042-E36
E1	FLOPPINGACES_20041113.1528.042-E37
E58	FLOPPINGACES_20041113.1528.042-E38
E59	FLOPPINGACES_20041113.1528.042-E39
E60	FLOPPINGACES_20041113.1528.042-E40
E61	FLOPPINGACES_20041113.1528.042-E41
E62	FLOPPINGACES_20041113.1528.042-E42
E63	FLOPPINGACES_20041113.1528.042-E43
E64	FLOPPINGACES_20041113.1528.042-E44
E100	FLOPPINGACES_20041113.1528.042-E45
E66	FLOPPINGACES_20041113.1528.042-E46
E67	FLOPPINGACES_20041113.1528.042-E47
E69	FLOPPINGACES_20041113.1528.042-E48
E70	FLOPPINGACES_20041113.1528.042-E49
E101	FLOPPINGACES_20041113.1528.042-E50
E72	FLOPPINGACES_20041113.1528.042-E51
E73	FLOPPINGACES_20041113.1528.042-E52
E74	FLOPPINGACES_20041113.1528.042-E53
E75	FLOPPINGACES_20041113.1528.042-E54
E77	FLOPPINGACES_20041113.1528.042-E55
E79	FLOPPINGACES_20041113.1528.042-E56
E80	FLOPPINGACES_20041113.1528.042-E57
E82	FLOPPINGACES_20041113.1528.042-E58
E83	FLOPPINGACES_20041113.1528.042-E59
E84	FLOPPINGACES_20041113.1528.042-E60
E85	FLOPPINGACES_20041113.1528.042-E61
E86	FLOPPINGACES_20041113.1528.042-E62
E87	FLOPPINGACES_20041113.1528.042-E63
E88	FLOPPINGACES_20041113.1528.042-E64
E89	FLOPPINGACES_20041113.1528.042-E65
E90	FLOPPINGACES_20041113.1528.042-E66
E103	FLOPPINGACES_20041113.1528.042-E67
E104	FLOPPINGACES_20041113.1528.042-E68
E92	FLOPPINGACES_20041113.1528.042-E69
E93	FLOPPINGACES_20041113.1528.042-E70
E105	FLOPPINGACES_20041113.1528.042-E71
E106	FLOPPINGACES_20041113.1528.042-E72
E107	FLOPPINGACES_20041113.1528.042-E73
E108	FLOPPINGACES_20041113.1528.042-E74
E109	FLOPPINGACES_20041113.1528.042-E75
E2	FLOPPINGACES_20041113.1528.042-E76
E4	FLOPPINGACES_20041113.1528.042-E77
