CE9	BACONSREBELLION_20050222.1348-CE1
CE12	BACONSREBELLION_20050222.1348-CE2
CE25	BACONSREBELLION_20050222.1348-CE3
CE14	BACONSREBELLION_20050222.1348-CE4
CE15	BACONSREBELLION_20050222.1348-CE5
CE16	BACONSREBELLION_20050222.1348-CE6
CE3	BACONSREBELLION_20050222.1348-CE7
CE17	BACONSREBELLION_20050222.1348-CE8
CE19	BACONSREBELLION_20050222.1348-CE9
CE21	BACONSREBELLION_20050222.1348-CE10
CE22	BACONSREBELLION_20050222.1348-CE11
CE20	BACONSREBELLION_20050222.1348-CE12
CE23	BACONSREBELLION_20050222.1348-CE13
CE24	BACONSREBELLION_20050222.1348-CE14
CE2	BACONSREBELLION_20050222.1348-CE15
CE7	BACONSREBELLION_20050222.1348-CE16
CE26	BACONSREBELLION_20050222.1348-CE17
CE27	BACONSREBELLION_20050222.1348-CE18
CE18	BACONSREBELLION_20050222.1348-CE19
CE4	BACONSREBELLION_20050222.1348-CE20
CE5	BACONSREBELLION_20050222.1348-CE21
CE6	BACONSREBELLION_20050222.1348-CE22
CE8	BACONSREBELLION_20050222.1348-CE23
CE1	BACONSREBELLION_20050222.1348-CE24
CE11	BACONSREBELLION_20050222.1348-CE25
CE10	BACONSREBELLION_20050222.1348-CE26
CE13	BACONSREBELLION_20050222.1348-CE27
E17	BACONSREBELLION_20050222.1348-E1
E50	BACONSREBELLION_20050222.1348-E2
E19	BACONSREBELLION_20050222.1348-E3
E20	BACONSREBELLION_20050222.1348-E4
E21	BACONSREBELLION_20050222.1348-E5
E23	BACONSREBELLION_20050222.1348-E6
E44	BACONSREBELLION_20050222.1348-E7
E25	BACONSREBELLION_20050222.1348-E8
E51	BACONSREBELLION_20050222.1348-E9
E28	BACONSREBELLION_20050222.1348-E10
E29	BACONSREBELLION_20050222.1348-E11
E30	BACONSREBELLION_20050222.1348-E12
E32	BACONSREBELLION_20050222.1348-E13
E33	BACONSREBELLION_20050222.1348-E14
E34	BACONSREBELLION_20050222.1348-E15
E36	BACONSREBELLION_20050222.1348-E16
E52	BACONSREBELLION_20050222.1348-E17
E37	BACONSREBELLION_20050222.1348-E18
E45	BACONSREBELLION_20050222.1348-E19
E38	BACONSREBELLION_20050222.1348-E20
E39	BACONSREBELLION_20050222.1348-E21
E53	BACONSREBELLION_20050222.1348-E22
E2	BACONSREBELLION_20050222.1348-E23
E5	BACONSREBELLION_20050222.1348-E24
E48	BACONSREBELLION_20050222.1348-E25
E49	BACONSREBELLION_20050222.1348-E26
E8	BACONSREBELLION_20050222.1348-E27
E9	BACONSREBELLION_20050222.1348-E28
E42	BACONSREBELLION_20050222.1348-E29
E12	BACONSREBELLION_20050222.1348-E30
E13	BACONSREBELLION_20050222.1348-E31
E14	BACONSREBELLION_20050222.1348-E32
E15	BACONSREBELLION_20050222.1348-E33
E16	BACONSREBELLION_20050222.1348-E34
EM1	BACONSREBELLION_20050222.1348-E21-1
EM17	BACONSREBELLION_20050222.1348-E24-2
EM18	BACONSREBELLION_20050222.1348-E1-3
EM54	BACONSREBELLION_20050222.1348-E2-4
EM20	BACONSREBELLION_20050222.1348-E3-5
EM21	BACONSREBELLION_20050222.1348-E24-6
EM22	BACONSREBELLION_20050222.1348-E4-7
EM23	BACONSREBELLION_20050222.1348-E3-8
