CE13	MARKETVIEW_20050204.1322-CE1
CE2	MARKETVIEW_20050204.1322-CE2
CE3	MARKETVIEW_20050204.1322-CE3
CE1	MARKETVIEW_20050204.1322-CE4
CE4	MARKETVIEW_20050204.1322-CE5
CE14	MARKETVIEW_20050204.1322-CE6
CE5	MARKETVIEW_20050204.1322-CE7
CE6	MARKETVIEW_20050204.1322-CE8
CE7	MARKETVIEW_20050204.1322-CE9
CE8	MARKETVIEW_20050204.1322-CE10
CE9	MARKETVIEW_20050204.1322-CE11
CE10	MARKETVIEW_20050204.1322-CE12
CE11	MARKETVIEW_20050204.1322-CE13
CE12	MARKETVIEW_20050204.1322-CE14
E14	MARKETVIEW_20050204.1322-E1
E16	MARKETVIEW_20050204.1322-E2
E20	MARKETVIEW_20050204.1322-E3
E2	MARKETVIEW_20050204.1322-E4
E3	MARKETVIEW_20050204.1322-E5
E21	MARKETVIEW_20050204.1322-E6
E5	MARKETVIEW_20050204.1322-E7
E6	MARKETVIEW_20050204.1322-E8
E7	MARKETVIEW_20050204.1322-E9
E8	MARKETVIEW_20050204.1322-E10
E9	MARKETVIEW_20050204.1322-E11
E18	MARKETVIEW_20050204.1322-E12
E11	MARKETVIEW_20050204.1322-E13
E12	MARKETVIEW_20050204.1322-E14
E13	MARKETVIEW_20050204.1322-E15
EM1	MARKETVIEW_20050204.1322-E12-1
EM18	MARKETVIEW_20050204.1322-E1-2
EM11	MARKETVIEW_20050204.1322-E2-3
EM2	MARKETVIEW_20050204.1322-E5-4
EM19	MARKETVIEW_20050204.1322-E6-5
EM4	MARKETVIEW_20050204.1322-E7-6
EM5	MARKETVIEW_20050204.1322-E8-7
EM6	MARKETVIEW_20050204.1322-E4-8
EM7	MARKETVIEW_20050204.1322-E9-9
EM8	MARKETVIEW_20050204.1322-E10-10
EM9	MARKETVIEW_20050204.1322-E9-11
EM10	MARKETVIEW_20050204.1322-E11-12
EM3	MARKETVIEW_20050204.1322-E3-13
EM12	MARKETVIEW_20050204.1322-E8-14
EM13	MARKETVIEW_20050204.1322-E4-15
EM14	MARKETVIEW_20050204.1322-E4-16
EM15	MARKETVIEW_20050204.1322-E13-17
EM16	MARKETVIEW_20050204.1322-E14-18
EM17	MARKETVIEW_20050204.1322-E15-19
R3	MARKETVIEW_20050204.1322-R1
R4	MARKETVIEW_20050204.1322-R2
R5	MARKETVIEW_20050204.1322-R3
R1	MARKETVIEW_20050204.1322-R4
R2	MARKETVIEW_20050204.1322-R5
RM3	MARKETVIEW_20050204.1322-R1-1
RM4	MARKETVIEW_20050204.1322-R2-1
RM5	MARKETVIEW_20050204.1322-R3-1
RM1	MARKETVIEW_20050204.1322-R4-1
RM2	MARKETVIEW_20050204.1322-R3-2
Q1	MARKETVIEW_20050204.1322-T1
Q2	MARKETVIEW_20050204.1322-T2
Q3	MARKETVIEW_20050204.1322-T3
Q5	MARKETVIEW_20050204.1322-V1
Q7	MARKETVIEW_20050204.1322-T4
Q6	MARKETVIEW_20050204.1322-T5
QM5	MARKETVIEW_20050204.1322-V1-1
