CE13	NTV20001023.1530.0870-CE1
CE14	NTV20001023.1530.0870-CE2
CE15	NTV20001023.1530.0870-CE3
CE41	NTV20001023.1530.0870-CE4
CE16	NTV20001023.1530.0870-CE5
CE17	NTV20001023.1530.0870-CE6
CE18	NTV20001023.1530.0870-CE7
CE19	NTV20001023.1530.0870-CE8
CE20	NTV20001023.1530.0870-CE9
CE21	NTV20001023.1530.0870-CE10
CE22	NTV20001023.1530.0870-CE11
CE23	NTV20001023.1530.0870-CE12
CE24	NTV20001023.1530.0870-CE13
CE25	NTV20001023.1530.0870-CE14
CE26	NTV20001023.1530.0870-CE15
CE27	NTV20001023.1530.0870-CE16
CE28	NTV20001023.1530.0870-CE17
CE29	NTV20001023.1530.0870-CE18
CE30	NTV20001023.1530.0870-CE19
CE31	NTV20001023.1530.0870-CE20
CE32	NTV20001023.1530.0870-CE21
CE33	NTV20001023.1530.0870-CE22
CE34	NTV20001023.1530.0870-CE23
CE35	NTV20001023.1530.0870-CE24
CE36	NTV20001023.1530.0870-CE25
CE37	NTV20001023.1530.0870-CE26
CE38	NTV20001023.1530.0870-CE27
CE39	NTV20001023.1530.0870-CE28
CE40	NTV20001023.1530.0870-CE29
CE1	NTV20001023.1530.0870-CE30
CE2	NTV20001023.1530.0870-CE31
CE3	NTV20001023.1530.0870-CE32
CE4	NTV20001023.1530.0870-CE33
CE5	NTV20001023.1530.0870-CE34
CE6	NTV20001023.1530.0870-CE35
CE7	NTV20001023.1530.0870-CE36
CE8	NTV20001023.1530.0870-CE37
CE11	NTV20001023.1530.0870-CE38
CE12	NTV20001023.1530.0870-CE39
E16	NTV20001023.1530.0870-E1
E17	NTV20001023.1530.0870-E2
E18	NTV20001023.1530.0870-E3
E19	NTV20001023.1530.0870-E4
E20	NTV20001023.1530.0870-E5
E21	NTV20001023.1530.0870-E6
E60	NTV20001023.1530.0870-E7
E23	NTV20001023.1530.0870-E8
E24	NTV20001023.1530.0870-E9
E25	NTV20001023.1530.0870-E10
E27	NTV20001023.1530.0870-E11
E28	NTV20001023.1530.0870-E12
E29	NTV20001023.1530.0870-E13
E30	NTV20001023.1530.0870-E14
E31	NTV20001023.1530.0870-E15
E32	NTV20001023.1530.0870-E16
E33	NTV20001023.1530.0870-E17
E34	NTV20001023.1530.0870-E18
E35	NTV20001023.1530.0870-E19
E36	NTV20001023.1530.0870-E20
E37	NTV20001023.1530.0870-E21
E38	NTV20001023.1530.0870-E22
E39	NTV20001023.1530.0870-E23
E40	NTV20001023.1530.0870-E24
E41	NTV20001023.1530.0870-E25
E43	NTV20001023.1530.0870-E26
E44	NTV20001023.1530.0870-E27
E45	NTV20001023.1530.0870-E28
E46	NTV20001023.1530.0870-E29
E47	NTV20001023.1530.0870-E30
E48	NTV20001023.1530.0870-E31
E49	NTV20001023.1530.0870-E32
E51	NTV20001023.1530.0870-E33
E53	NTV20001023.1530.0870-E34
E54	NTV20001023.1530.0870-E35
E55	NTV20001023.1530.0870-E36
E56	NTV20001023.1530.0870-E37
E57	NTV20001023.1530.0870-E38
E58	NTV20001023.1530.0870-E39
E59	NTV20001023.1530.0870-E40
E1	NTV20001023.1530.0870-E41
E2	NTV20001023.1530.0870-E42
E3	NTV20001023.1530.0870-E43
E4	NTV20001023.1530.0870-E44
E5	NTV20001023.1530.0870-E45
E6	NTV20001023.1530.0870-E46
E7	NTV20001023.1530.0870-E47
E8	NTV20001023.1530.0870-E48
E9	NTV20001023.1530.0870-E49
E10	NTV20001023.1530.0870-E50
E11	NTV20001023.1530.0870-E51
E14	NTV20001023.1530.0870-E52
E15	NTV20001023.1530.0870-E53
EM17	NTV20001023.1530.0870-E41-1
EM18	NTV20001023.1530.0870-E1-2
EM19	NTV20001023.1530.0870-E2-3
EM20	NTV20001023.1530.0870-E3-4
EM21	NTV20001023.1530.0870-E4-5
EM22	NTV20001023.1530.0870-E5-6
EM23	NTV20001023.1530.0870-E6-7
EM24	NTV20001023.1530.0870-E5-8
EM25	NTV20001023.1530.0870-E52-9
EM27	NTV20001023.1530.0870-E53-10
EM26	NTV20001023.1530.0870-E53-11
EM28	NTV20001023.1530.0870-E8-12
EM29	NTV20001023.1530.0870-E9-13
EM30	NTV20001023.1530.0870-E50-14
EM31	NTV20001023.1530.0870-E50-15
EM32	NTV20001023.1530.0870-E50-16
EM33	NTV20001023.1530.0870-E10-17
EM35	NTV20001023.1530.0870-E11-18
EM36	NTV20001023.1530.0870-E12-19
EM37	NTV20001023.1530.0870-E13-20
EM38	NTV20001023.1530.0870-E14-21
EM39	NTV20001023.1530.0870-E15-22
EM40	NTV20001023.1530.0870-E15-23
EM41	NTV20001023.1530.0870-E16-24
EM42	NTV20001023.1530.0870-E17-25
EM43	NTV20001023.1530.0870-E18-26
EM44	NTV20001023.1530.0870-E19-27
EM45	NTV20001023.1530.0870-E41-28
EM46	NTV20001023.1530.0870-E20-29
EM47	NTV20001023.1530.0870-E21-30
EM48	NTV20001023.1530.0870-E16-31
EM49	NTV20001023.1530.0870-E20-32
EM50	NTV20001023.1530.0870-E41-33
EM51	NTV20001023.1530.0870-E22-34
EM52	NTV20001023.1530.0870-E50-35
EM53	NTV20001023.1530.0870-E23-36
EM54	NTV20001023.1530.0870-E24-37
EM55	NTV20001023.1530.0870-E25-38
EM1	NTV20001023.1530.0870-E41-39
EM56	NTV20001023.1530.0870-E24-40
EM57	NTV20001023.1530.0870-E26-41
EM58	NTV20001023.1530.0870-E27-42
EM59	NTV20001023.1530.0870-E28-43
EM60	NTV20001023.1530.0870-E29-44
EM61	NTV20001023.1530.0870-E29-45
EM62	NTV20001023.1530.0870-E22-46
EM63	NTV20001023.1530.0870-E30-47
EM64	NTV20001023.1530.0870-E31-48
EM65	NTV20001023.1530.0870-E31-49
EM66	NTV20001023.1530.0870-E15-50
EM67	NTV20001023.1530.0870-E15-51
EM68	NTV20001023.1530.0870-E15-52
EM69	NTV20001023.1530.0870-E32-53
EM70	NTV20001023.1530.0870-E33-54
EM71	NTV20001023.1530.0870-E34-55
EM72	NTV20001023.1530.0870-E53-56
EM73	NTV20001023.1530.0870-E5-57
EM74	NTV20001023.1530.0870-E35-58
EM75	NTV20001023.1530.0870-E36-59
EM76	NTV20001023.1530.0870-E50-60
EM77	NTV20001023.1530.0870-E50-61
EM78	NTV20001023.1530.0870-E50-62
EM79	NTV20001023.1530.0870-E50-63
EM80	NTV20001023.1530.0870-E17-64
EM81	NTV20001023.1530.0870-E15-65
EM82	NTV20001023.1530.0870-E37-66
EM83	NTV20001023.1530.0870-E38-67
EM84	NTV20001023.1530.0870-E39-68
EM85	NTV20001023.1530.0870-E40-69
EM87	NTV20001023.1530.0870-E53-70
EM88	NTV20001023.1530.0870-E41-71
EM90	NTV20001023.1530.0870-E17-72
EM2	NTV20001023.1530.0870-E42-73
EM3	NTV20001023.1530.0870-E43-74
EM4	NTV20001023.1530.0870-E44-75
EM5	NTV20001023.1530.0870-E45-76
EM6	NTV20001023.1530.0870-E46-77
EM7	NTV20001023.1530.0870-E47-78
EM8	NTV20001023.1530.0870-E48-79
EM9	NTV20001023.1530.0870-E49-80
EM10	NTV20001023.1530.0870-E49-81
EM11	NTV20001023.1530.0870-E49-82
EM12	NTV20001023.1530.0870-E51-83
EM89	NTV20001023.1530.0870-E7-84
EM15	NTV20001023.1530.0870-E52-85
EM16	NTV20001023.1530.0870-E53-86
R1	NTV20001023.1530.0870-R1
R2	NTV20001023.1530.0870-R2
R3	NTV20001023.1530.0870-R3
R4	NTV20001023.1530.0870-R4
R6	NTV20001023.1530.0870-R5
R7	NTV20001023.1530.0870-R6
R8	NTV20001023.1530.0870-R7
R9	NTV20001023.1530.0870-R8
R11	NTV20001023.1530.0870-R9
R12	NTV20001023.1530.0870-R10
R13	NTV20001023.1530.0870-R11
R14	NTV20001023.1530.0870-R12
R15	NTV20001023.1530.0870-R13
R16	NTV20001023.1530.0870-R14
R17	NTV20001023.1530.0870-R15
RM1	NTV20001023.1530.0870-R1-1
RM2	NTV20001023.1530.0870-R2-1
RM3	NTV20001023.1530.0870-R3-1
RM4	NTV20001023.1530.0870-R4-1
RM6	NTV20001023.1530.0870-R5-1
RM7	NTV20001023.1530.0870-R6-1
RM8	NTV20001023.1530.0870-R7-1
RM9	NTV20001023.1530.0870-R8-1
RM11	NTV20001023.1530.0870-R9-1
RM12	NTV20001023.1530.0870-R10-1
RM13	NTV20001023.1530.0870-R11-1
RM14	NTV20001023.1530.0870-R12-1
RM15	NTV20001023.1530.0870-R13-1
RM16	NTV20001023.1530.0870-R14-1
RM17	NTV20001023.1530.0870-R15-1
V3	NTV20001023.1530.0870-EV1
V4	NTV20001023.1530.0870-EV2
V5	NTV20001023.1530.0870-EV3
V1	NTV20001023.1530.0870-EV4
V2	NTV20001023.1530.0870-EV5
V6	NTV20001023.1530.0870-EV6
VM3	NTV20001023.1530.0870-EV1-1
VM4	NTV20001023.1530.0870-EV2-1
VM5	NTV20001023.1530.0870-EV3-1
VM6	NTV20001023.1530.0870-EV6-1
VM1	NTV20001023.1530.0870-EV4-1
VM2	NTV20001023.1530.0870-EV5-1
Q1	NTV20001023.1530.0870-T1
Q2	NTV20001023.1530.0870-T2
