CE11	VAR20001126.1100.1489-CE1
CE12	VAR20001126.1100.1489-CE2
CE13	VAR20001126.1100.1489-CE3
CE14	VAR20001126.1100.1489-CE4
CE15	VAR20001126.1100.1489-CE5
CE16	VAR20001126.1100.1489-CE6
CE17	VAR20001126.1100.1489-CE7
CE18	VAR20001126.1100.1489-CE8
CE19	VAR20001126.1100.1489-CE9
CE20	VAR20001126.1100.1489-CE10
CE21	VAR20001126.1100.1489-CE11
CE22	VAR20001126.1100.1489-CE12
CE23	VAR20001126.1100.1489-CE13
CE24	VAR20001126.1100.1489-CE14
CE25	VAR20001126.1100.1489-CE15
CE26	VAR20001126.1100.1489-CE16
CE27	VAR20001126.1100.1489-CE17
CE28	VAR20001126.1100.1489-CE18
CE38	VAR20001126.1100.1489-CE19
CE29	VAR20001126.1100.1489-CE20
CE30	VAR20001126.1100.1489-CE21
CE31	VAR20001126.1100.1489-CE22
CE32	VAR20001126.1100.1489-CE23
CE33	VAR20001126.1100.1489-CE24
CE34	VAR20001126.1100.1489-CE25
CE35	VAR20001126.1100.1489-CE26
CE36	VAR20001126.1100.1489-CE27
CE1	VAR20001126.1100.1489-CE28
CE37	VAR20001126.1100.1489-CE29
CE39	VAR20001126.1100.1489-CE30
CE2	VAR20001126.1100.1489-CE31
CE3	VAR20001126.1100.1489-CE32
CE4	VAR20001126.1100.1489-CE33
CE5	VAR20001126.1100.1489-CE34
CE6	VAR20001126.1100.1489-CE35
CE7	VAR20001126.1100.1489-CE36
CE8	VAR20001126.1100.1489-CE37
CE9	VAR20001126.1100.1489-CE38
CE10	VAR20001126.1100.1489-CE39
E12	VAR20001126.1100.1489-E1
E13	VAR20001126.1100.1489-E2
E14	VAR20001126.1100.1489-E3
E15	VAR20001126.1100.1489-E4
E16	VAR20001126.1100.1489-E5
E17	VAR20001126.1100.1489-E6
E18	VAR20001126.1100.1489-E7
E19	VAR20001126.1100.1489-E8
E20	VAR20001126.1100.1489-E9
E21	VAR20001126.1100.1489-E10
E22	VAR20001126.1100.1489-E11
E23	VAR20001126.1100.1489-E12
E24	VAR20001126.1100.1489-E13
E25	VAR20001126.1100.1489-E14
E26	VAR20001126.1100.1489-E15
E27	VAR20001126.1100.1489-E16
E28	VAR20001126.1100.1489-E17
E29	VAR20001126.1100.1489-E18
E30	VAR20001126.1100.1489-E19
E31	VAR20001126.1100.1489-E20
E51	VAR20001126.1100.1489-E21
E32	VAR20001126.1100.1489-E22
E1	VAR20001126.1100.1489-E23
E34	VAR20001126.1100.1489-E24
E35	VAR20001126.1100.1489-E25
E36	VAR20001126.1100.1489-E26
E37	VAR20001126.1100.1489-E27
E38	VAR20001126.1100.1489-E28
E39	VAR20001126.1100.1489-E29
E40	VAR20001126.1100.1489-E30
E41	VAR20001126.1100.1489-E31
E42	VAR20001126.1100.1489-E32
E43	VAR20001126.1100.1489-E33
E44	VAR20001126.1100.1489-E34
E45	VAR20001126.1100.1489-E35
E46	VAR20001126.1100.1489-E36
E47	VAR20001126.1100.1489-E37
E48	VAR20001126.1100.1489-E38
E49	VAR20001126.1100.1489-E39
E50	VAR20001126.1100.1489-E40
E52	VAR20001126.1100.1489-E41
E2	VAR20001126.1100.1489-E42
E3	VAR20001126.1100.1489-E43
E4	VAR20001126.1100.1489-E44
E5	VAR20001126.1100.1489-E45
E6	VAR20001126.1100.1489-E46
