CE11	VAR20001007.1300.1893-CE1
CE12	VAR20001007.1300.1893-CE2
CE13	VAR20001007.1300.1893-CE3
CE14	VAR20001007.1300.1893-CE4
CE15	VAR20001007.1300.1893-CE5
CE16	VAR20001007.1300.1893-CE6
CE17	VAR20001007.1300.1893-CE7
CE18	VAR20001007.1300.1893-CE8
CE49	VAR20001007.1300.1893-CE9
CE20	VAR20001007.1300.1893-CE10
CE21	VAR20001007.1300.1893-CE11
CE22	VAR20001007.1300.1893-CE12
CE23	VAR20001007.1300.1893-CE13
CE24	VAR20001007.1300.1893-CE14
CE25	VAR20001007.1300.1893-CE15
CE26	VAR20001007.1300.1893-CE16
CE27	VAR20001007.1300.1893-CE17
CE28	VAR20001007.1300.1893-CE18
CE29	VAR20001007.1300.1893-CE19
CE30	VAR20001007.1300.1893-CE20
CE31	VAR20001007.1300.1893-CE21
CE32	VAR20001007.1300.1893-CE22
CE33	VAR20001007.1300.1893-CE23
CE34	VAR20001007.1300.1893-CE24
CE35	VAR20001007.1300.1893-CE25
CE36	VAR20001007.1300.1893-CE26
CE37	VAR20001007.1300.1893-CE27
CE38	VAR20001007.1300.1893-CE28
CE39	VAR20001007.1300.1893-CE29
CE1	VAR20001007.1300.1893-CE30
CE40	VAR20001007.1300.1893-CE31
CE41	VAR20001007.1300.1893-CE32
CE42	VAR20001007.1300.1893-CE33
CE43	VAR20001007.1300.1893-CE34
CE44	VAR20001007.1300.1893-CE35
CE50	VAR20001007.1300.1893-CE36
CE46	VAR20001007.1300.1893-CE37
CE47	VAR20001007.1300.1893-CE38
CE51	VAR20001007.1300.1893-CE39
CE52	VAR20001007.1300.1893-CE40
CE53	VAR20001007.1300.1893-CE41
CE54	VAR20001007.1300.1893-CE42
CE55	VAR20001007.1300.1893-CE43
CE56	VAR20001007.1300.1893-CE44
CE58	VAR20001007.1300.1893-CE45
CE59	VAR20001007.1300.1893-CE46
CE60	VAR20001007.1300.1893-CE47
CE61	VAR20001007.1300.1893-CE48
CE62	VAR20001007.1300.1893-CE49
CE63	VAR20001007.1300.1893-CE50
CE64	VAR20001007.1300.1893-CE51
CE65	VAR20001007.1300.1893-CE52
CE66	VAR20001007.1300.1893-CE53
CE67	VAR20001007.1300.1893-CE54
CE68	VAR20001007.1300.1893-CE55
CE69	VAR20001007.1300.1893-CE56
CE70	VAR20001007.1300.1893-CE57
CE71	VAR20001007.1300.1893-CE58
CE72	VAR20001007.1300.1893-CE59
CE73	VAR20001007.1300.1893-CE60
CE74	VAR20001007.1300.1893-CE61
CE75	VAR20001007.1300.1893-CE62
CE76	VAR20001007.1300.1893-CE63
CE77	VAR20001007.1300.1893-CE64
CE78	VAR20001007.1300.1893-CE65
CE79	VAR20001007.1300.1893-CE66
CE80	VAR20001007.1300.1893-CE67
CE81	VAR20001007.1300.1893-CE68
CE82	VAR20001007.1300.1893-CE69
CE2	VAR20001007.1300.1893-CE70
CE3	VAR20001007.1300.1893-CE71
CE4	VAR20001007.1300.1893-CE72
CE5	VAR20001007.1300.1893-CE73
CE6	VAR20001007.1300.1893-CE74
CE7	VAR20001007.1300.1893-CE75
CE8	VAR20001007.1300.1893-CE76
CE9	VAR20001007.1300.1893-CE77
CE48	VAR20001007.1300.1893-CE78
CE10	VAR20001007.1300.1893-CE79
E13	VAR20001007.1300.1893-E1
E14	VAR20001007.1300.1893-E2
E15	VAR20001007.1300.1893-E3
E16	VAR20001007.1300.1893-E4
E17	VAR20001007.1300.1893-E5
E18	VAR20001007.1300.1893-E6
E19	VAR20001007.1300.1893-E7
E20	VAR20001007.1300.1893-E8
E21	VAR20001007.1300.1893-E9
E22	VAR20001007.1300.1893-E10
E61	VAR20001007.1300.1893-E11
E24	VAR20001007.1300.1893-E12
E25	VAR20001007.1300.1893-E13
E26	VAR20001007.1300.1893-E14
E27	VAR20001007.1300.1893-E15
E29	VAR20001007.1300.1893-E16
E30	VAR20001007.1300.1893-E17
E31	VAR20001007.1300.1893-E18
E32	VAR20001007.1300.1893-E19
E33	VAR20001007.1300.1893-E20
E34	VAR20001007.1300.1893-E21
E35	VAR20001007.1300.1893-E22
