CE7	NTV20001129.1530.0307-CE1
CE8	NTV20001129.1530.0307-CE2
CE9	NTV20001129.1530.0307-CE3
CE10	NTV20001129.1530.0307-CE4
CE11	NTV20001129.1530.0307-CE5
CE13	NTV20001129.1530.0307-CE6
CE14	NTV20001129.1530.0307-CE7
CE15	NTV20001129.1530.0307-CE8
CE16	NTV20001129.1530.0307-CE9
CE17	NTV20001129.1530.0307-CE10
CE18	NTV20001129.1530.0307-CE11
CE20	NTV20001129.1530.0307-CE12
CE1	NTV20001129.1530.0307-CE13
CE2	NTV20001129.1530.0307-CE14
CE3	NTV20001129.1530.0307-CE15
CE4	NTV20001129.1530.0307-CE16
CE5	NTV20001129.1530.0307-CE17
E9	NTV20001129.1530.0307-E1
E10	NTV20001129.1530.0307-E2
E11	NTV20001129.1530.0307-E3
E12	NTV20001129.1530.0307-E4
E13	NTV20001129.1530.0307-E5
E14	NTV20001129.1530.0307-E6
E16	NTV20001129.1530.0307-E7
E17	NTV20001129.1530.0307-E8
E19	NTV20001129.1530.0307-E9
E20	NTV20001129.1530.0307-E10
E21	NTV20001129.1530.0307-E11
E22	NTV20001129.1530.0307-E12
E24	NTV20001129.1530.0307-E13
E1	NTV20001129.1530.0307-E14
E2	NTV20001129.1530.0307-E15
E3	NTV20001129.1530.0307-E16
E4	NTV20001129.1530.0307-E17
E5	NTV20001129.1530.0307-E18
E7	NTV20001129.1530.0307-E19
EM1	NTV20001129.1530.0307-E14-1
EM23	NTV20001129.1530.0307-E17-2
EM24	NTV20001129.1530.0307-E1-3
EM25	NTV20001129.1530.0307-E1-4
EM26	NTV20001129.1530.0307-E2-5
EM27	NTV20001129.1530.0307-E3-6
EM28	NTV20001129.1530.0307-E17-7
EM29	NTV20001129.1530.0307-E17-8
EM30	NTV20001129.1530.0307-E4-9
EM31	NTV20001129.1530.0307-E4-10
EM32	NTV20001129.1530.0307-E4-11
EM33	NTV20001129.1530.0307-E4-12
EM34	NTV20001129.1530.0307-E5-13
EM35	NTV20001129.1530.0307-E16-14
EM36	NTV20001129.1530.0307-E16-15
EM18	NTV20001129.1530.0307-E16-16
EM37	NTV20001129.1530.0307-E6-17
EM38	NTV20001129.1530.0307-E17-18
EM39	NTV20001129.1530.0307-E17-19
EM40	NTV20001129.1530.0307-E4-20
EM41	NTV20001129.1530.0307-E4-21
EM42	NTV20001129.1530.0307-E5-22
EM44	NTV20001129.1530.0307-E7-23
EM45	NTV20001129.1530.0307-E8-24
EM46	NTV20001129.1530.0307-E1-25
EM47	NTV20001129.1530.0307-E9-26
EM48	NTV20001129.1530.0307-E10-27
EM49	NTV20001129.1530.0307-E16-28
EM50	NTV20001129.1530.0307-E10-29
EM51	NTV20001129.1530.0307-E10-30
EM52	NTV20001129.1530.0307-E17-31
EM53	NTV20001129.1530.0307-E14-32
EM54	NTV20001129.1530.0307-E11-33
EM55	NTV20001129.1530.0307-E12-34
EM56	NTV20001129.1530.0307-E12-35
EM58	NTV20001129.1530.0307-E13-36
EM59	NTV20001129.1530.0307-E11-37
EM60	NTV20001129.1530.0307-E16-38
EM2	NTV20001129.1530.0307-E15-39
EM3	NTV20001129.1530.0307-E14-40
EM4	NTV20001129.1530.0307-E14-41
EM5	NTV20001129.1530.0307-E14-42
EM6	NTV20001129.1530.0307-E14-43
EM7	NTV20001129.1530.0307-E16-44
EM8	NTV20001129.1530.0307-E17-45
EM9	NTV20001129.1530.0307-E17-46
EM10	NTV20001129.1530.0307-E14-47
EM11	NTV20001129.1530.0307-E18-48
EM12	NTV20001129.1530.0307-E19-49
EM13	NTV20001129.1530.0307-E17-50
EM14	NTV20001129.1530.0307-E17-51
EM15	NTV20001129.1530.0307-E15-52
EM16	NTV20001129.1530.0307-E14-53
EM17	NTV20001129.1530.0307-E14-54
EM19	NTV20001129.1530.0307-E14-55
EM20	NTV20001129.1530.0307-E14-56
EM21	NTV20001129.1530.0307-E14-57
EM22	NTV20001129.1530.0307-E17-58
R1	NTV20001129.1530.0307-R1
R3	NTV20001129.1530.0307-R2
RM1	NTV20001129.1530.0307-R1-1
RM3	NTV20001129.1530.0307-R2-1
V1	NTV20001129.1530.0307-EV1
V2	NTV20001129.1530.0307-EV2
V3	NTV20001129.1530.0307-EV3
V4	NTV20001129.1530.0307-EV4
V5	NTV20001129.1530.0307-EV5
V6	NTV20001129.1530.0307-EV6
V7	NTV20001129.1530.0307-EV7
V8	NTV20001129.1530.0307-EV8
VM1	NTV20001129.1530.0307-EV1-1
VM2	NTV20001129.1530.0307-EV2-1
VM3	NTV20001129.1530.0307-EV3-1
VM4	NTV20001129.1530.0307-EV4-1
VM5	NTV20001129.1530.0307-EV5-1
VM6	NTV20001129.1530.0307-EV6-1
VM7	NTV20001129.1530.0307-EV7-1
VM8	NTV20001129.1530.0307-EV8-1
Q1	NTV20001129.1530.0307-T1
Q2	NTV20001129.1530.0307-T2
Q3	NTV20001129.1530.0307-T3
Q4	NTV20001129.1530.0307-T4
Q5	NTV20001129.1530.0307-T5
