CE11	VAR20001118.1100.0389-CE1
CE12	VAR20001118.1100.0389-CE2
CE13	VAR20001118.1100.0389-CE3
CE14	VAR20001118.1100.0389-CE4
CE15	VAR20001118.1100.0389-CE5
CE16	VAR20001118.1100.0389-CE6
CE17	VAR20001118.1100.0389-CE7
CE18	VAR20001118.1100.0389-CE8
CE19	VAR20001118.1100.0389-CE9
CE20	VAR20001118.1100.0389-CE10
CE1	VAR20001118.1100.0389-CE11
CE2	VAR20001118.1100.0389-CE12
CE3	VAR20001118.1100.0389-CE13
CE4	VAR20001118.1100.0389-CE14
CE5	VAR20001118.1100.0389-CE15
CE6	VAR20001118.1100.0389-CE16
CE7	VAR20001118.1100.0389-CE17
CE8	VAR20001118.1100.0389-CE18
CE9	VAR20001118.1100.0389-CE19
CE10	VAR20001118.1100.0389-CE20
E13	VAR20001118.1100.0389-E1
E14	VAR20001118.1100.0389-E2
E15	VAR20001118.1100.0389-E3
E16	VAR20001118.1100.0389-E4
E17	VAR20001118.1100.0389-E5
E18	VAR20001118.1100.0389-E6
E19	VAR20001118.1100.0389-E7
E20	VAR20001118.1100.0389-E8
E21	VAR20001118.1100.0389-E9
E22	VAR20001118.1100.0389-E10
E23	VAR20001118.1100.0389-E11
E24	VAR20001118.1100.0389-E12
E25	VAR20001118.1100.0389-E13
E26	VAR20001118.1100.0389-E14
E1	VAR20001118.1100.0389-E15
E2	VAR20001118.1100.0389-E16
E4	VAR20001118.1100.0389-E17
E5	VAR20001118.1100.0389-E18
E6	VAR20001118.1100.0389-E19
E7	VAR20001118.1100.0389-E20
E8	VAR20001118.1100.0389-E21
E9	VAR20001118.1100.0389-E22
E10	VAR20001118.1100.0389-E23
E11	VAR20001118.1100.0389-E24
E12	VAR20001118.1100.0389-E25
EM1	VAR20001118.1100.0389-E15-1
EM19	VAR20001118.1100.0389-E2-2
EM20	VAR20001118.1100.0389-E3-3
EM21	VAR20001118.1100.0389-E4-4
EM22	VAR20001118.1100.0389-E4-5
EM23	VAR20001118.1100.0389-E5-6
EM24	VAR20001118.1100.0389-E20-7
EM25	VAR20001118.1100.0389-E6-8
EM26	VAR20001118.1100.0389-E7-9
EM27	VAR20001118.1100.0389-E15-10
EM28	VAR20001118.1100.0389-E8-11
EM29	VAR20001118.1100.0389-E9-12
EM30	VAR20001118.1100.0389-E10-13
EM31	VAR20001118.1100.0389-E11-14
EM32	VAR20001118.1100.0389-E18-15
EM33	VAR20001118.1100.0389-E12-16
EM34	VAR20001118.1100.0389-E13-17
EM35	VAR20001118.1100.0389-E14-18
EM36	VAR20001118.1100.0389-E21-19
EM2	VAR20001118.1100.0389-E15-20
EM3	VAR20001118.1100.0389-E15-21
EM4	VAR20001118.1100.0389-E16-22
EM5	VAR20001118.1100.0389-E17-23
EM6	VAR20001118.1100.0389-E18-24
EM7	VAR20001118.1100.0389-E19-25
EM8	VAR20001118.1100.0389-E20-26
EM9	VAR20001118.1100.0389-E21-27
EM10	VAR20001118.1100.0389-E21-28
EM11	VAR20001118.1100.0389-E15-29
EM12	VAR20001118.1100.0389-E15-30
EM13	VAR20001118.1100.0389-E22-31
EM14	VAR20001118.1100.0389-E15-32
EM15	VAR20001118.1100.0389-E23-33
EM16	VAR20001118.1100.0389-E24-34
EM17	VAR20001118.1100.0389-E25-35
EM18	VAR20001118.1100.0389-E1-36
R1	VAR20001118.1100.0389-R1
R2	VAR20001118.1100.0389-R2
R3	VAR20001118.1100.0389-R3
R7	VAR20001118.1100.0389-R4
R8	VAR20001118.1100.0389-R5
R9	VAR20001118.1100.0389-R6
R10	VAR20001118.1100.0389-R7
R11	VAR20001118.1100.0389-R8
R12	VAR20001118.1100.0389-R9
R13	VAR20001118.1100.0389-R10
RM1	VAR20001118.1100.0389-R1-1
RM2	VAR20001118.1100.0389-R2-1
RM3	VAR20001118.1100.0389-R3-1
RM7	VAR20001118.1100.0389-R4-1
RM8	VAR20001118.1100.0389-R5-1
RM9	VAR20001118.1100.0389-R6-1
RM10	VAR20001118.1100.0389-R7-1
RM11	VAR20001118.1100.0389-R8-1
RM12	VAR20001118.1100.0389-R9-1
RM13	VAR20001118.1100.0389-R10-1
V1	VAR20001118.1100.0389-EV1
V2	VAR20001118.1100.0389-EV2
V4	VAR20001118.1100.0389-EV3
V5	VAR20001118.1100.0389-EV4
VM1	VAR20001118.1100.0389-EV1-1
VM2	VAR20001118.1100.0389-EV2-1
VM4	VAR20001118.1100.0389-EV3-1
VM5	VAR20001118.1100.0389-EV4-1
Q1	VAR20001118.1100.0389-T1
Q3	VAR20001118.1100.0389-T2
Q4	VAR20001118.1100.0389-T3
