CE11	VAR20001219.1100.0510-CE1
CE14	VAR20001219.1100.0510-CE2
CE15	VAR20001219.1100.0510-CE3
CE16	VAR20001219.1100.0510-CE4
CE17	VAR20001219.1100.0510-CE5
CE18	VAR20001219.1100.0510-CE6
CE19	VAR20001219.1100.0510-CE7
CE20	VAR20001219.1100.0510-CE8
CE21	VAR20001219.1100.0510-CE9
CE22	VAR20001219.1100.0510-CE10
CE23	VAR20001219.1100.0510-CE11
CE27	VAR20001219.1100.0510-CE12
CE30	VAR20001219.1100.0510-CE13
CE29	VAR20001219.1100.0510-CE14
CE32	VAR20001219.1100.0510-CE15
CE1	VAR20001219.1100.0510-CE16
CE33	VAR20001219.1100.0510-CE17
CE34	VAR20001219.1100.0510-CE18
CE2	VAR20001219.1100.0510-CE19
CE3	VAR20001219.1100.0510-CE20
CE26	VAR20001219.1100.0510-CE21
CE5	VAR20001219.1100.0510-CE22
CE6	VAR20001219.1100.0510-CE23
CE7	VAR20001219.1100.0510-CE24
CE8	VAR20001219.1100.0510-CE25
CE9	VAR20001219.1100.0510-CE26
CE10	VAR20001219.1100.0510-CE27
E16	VAR20001219.1100.0510-E1
E17	VAR20001219.1100.0510-E2
E18	VAR20001219.1100.0510-E3
E19	VAR20001219.1100.0510-E4
E21	VAR20001219.1100.0510-E5
E23	VAR20001219.1100.0510-E6
E24	VAR20001219.1100.0510-E7
E25	VAR20001219.1100.0510-E8
E26	VAR20001219.1100.0510-E9
E27	VAR20001219.1100.0510-E10
E28	VAR20001219.1100.0510-E11
E29	VAR20001219.1100.0510-E12
E31	VAR20001219.1100.0510-E13
E32	VAR20001219.1100.0510-E14
E33	VAR20001219.1100.0510-E15
E34	VAR20001219.1100.0510-E16
E35	VAR20001219.1100.0510-E17
E36	VAR20001219.1100.0510-E18
E1	VAR20001219.1100.0510-E19
E40	VAR20001219.1100.0510-E20
E43	VAR20001219.1100.0510-E21
E42	VAR20001219.1100.0510-E22
E45	VAR20001219.1100.0510-E23
E46	VAR20001219.1100.0510-E24
E47	VAR20001219.1100.0510-E25
E2	VAR20001219.1100.0510-E26
E4	VAR20001219.1100.0510-E27
E5	VAR20001219.1100.0510-E28
E39	VAR20001219.1100.0510-E29
E8	VAR20001219.1100.0510-E30
E9	VAR20001219.1100.0510-E31
E11	VAR20001219.1100.0510-E32
E12	VAR20001219.1100.0510-E33
E13	VAR20001219.1100.0510-E34
E14	VAR20001219.1100.0510-E35
E15	VAR20001219.1100.0510-E36
EM1	VAR20001219.1100.0510-E19-1
EM19	VAR20001219.1100.0510-E1-2
EM20	VAR20001219.1100.0510-E19-3
EM21	VAR20001219.1100.0510-E19-4
EM22	VAR20001219.1100.0510-E2-5
EM23	VAR20001219.1100.0510-E3-6
EM24	VAR20001219.1100.0510-E19-7
EM25	VAR20001219.1100.0510-E28-8
EM65	VAR20001219.1100.0510-E19-9
EM27	VAR20001219.1100.0510-E28-10
EM28	VAR20001219.1100.0510-E4-11
EM66	VAR20001219.1100.0510-E29-12
EM30	VAR20001219.1100.0510-E5-13
EM31	VAR20001219.1100.0510-E19-14
EM67	VAR20001219.1100.0510-E29-15
EM68	VAR20001219.1100.0510-E34-16
EM33	VAR20001219.1100.0510-E6-17
EM34	VAR20001219.1100.0510-E28-18
EM35	VAR20001219.1100.0510-E28-19
EM36	VAR20001219.1100.0510-E19-20
EM37	VAR20001219.1100.0510-E7-21
EM38	VAR20001219.1100.0510-E7-22
EM39	VAR20001219.1100.0510-E8-23
EM40	VAR20001219.1100.0510-E9-24
EM41	VAR20001219.1100.0510-E10-25
EM42	VAR20001219.1100.0510-E11-26
EM43	VAR20001219.1100.0510-E12-27
EM44	VAR20001219.1100.0510-E8-28
EM45	VAR20001219.1100.0510-E8-29
EM46	VAR20001219.1100.0510-E8-30
EM69	VAR20001219.1100.0510-E29-31
EM48	VAR20001219.1100.0510-E19-32
EM49	VAR20001219.1100.0510-E13-33
EM50	VAR20001219.1100.0510-E31-34
EM51	VAR20001219.1100.0510-E14-35
EM53	VAR20001219.1100.0510-E33-36
EM54	VAR20001219.1100.0510-E33-37
EM55	VAR20001219.1100.0510-E34-38
EM56	VAR20001219.1100.0510-E15-39
EM57	VAR20001219.1100.0510-E19-40
