CE11	alt.vacation.las-vegas_20050109.0133-CE1
CE12	alt.vacation.las-vegas_20050109.0133-CE2
CE13	alt.vacation.las-vegas_20050109.0133-CE3
CE14	alt.vacation.las-vegas_20050109.0133-CE4
CE15	alt.vacation.las-vegas_20050109.0133-CE5
CE16	alt.vacation.las-vegas_20050109.0133-CE6
CE17	alt.vacation.las-vegas_20050109.0133-CE7
CE18	alt.vacation.las-vegas_20050109.0133-CE8
CE19	alt.vacation.las-vegas_20050109.0133-CE9
CE20	alt.vacation.las-vegas_20050109.0133-CE10
CE21	alt.vacation.las-vegas_20050109.0133-CE11
CE22	alt.vacation.las-vegas_20050109.0133-CE12
CE23	alt.vacation.las-vegas_20050109.0133-CE13
CE25	alt.vacation.las-vegas_20050109.0133-CE14
CE26	alt.vacation.las-vegas_20050109.0133-CE15
CE27	alt.vacation.las-vegas_20050109.0133-CE16
CE29	alt.vacation.las-vegas_20050109.0133-CE17
CE30	alt.vacation.las-vegas_20050109.0133-CE18
CE31	alt.vacation.las-vegas_20050109.0133-CE19
CE32	alt.vacation.las-vegas_20050109.0133-CE20
CE33	alt.vacation.las-vegas_20050109.0133-CE21
CE34	alt.vacation.las-vegas_20050109.0133-CE22
CE35	alt.vacation.las-vegas_20050109.0133-CE23
CE36	alt.vacation.las-vegas_20050109.0133-CE24
CE38	alt.vacation.las-vegas_20050109.0133-CE25
CE39	alt.vacation.las-vegas_20050109.0133-CE26
CE40	alt.vacation.las-vegas_20050109.0133-CE27
CE52	alt.vacation.las-vegas_20050109.0133-CE28
CE41	alt.vacation.las-vegas_20050109.0133-CE29
CE42	alt.vacation.las-vegas_20050109.0133-CE30
CE43	alt.vacation.las-vegas_20050109.0133-CE31
CE44	alt.vacation.las-vegas_20050109.0133-CE32
CE45	alt.vacation.las-vegas_20050109.0133-CE33
CE46	alt.vacation.las-vegas_20050109.0133-CE34
CE47	alt.vacation.las-vegas_20050109.0133-CE35
CE48	alt.vacation.las-vegas_20050109.0133-CE36
CE49	alt.vacation.las-vegas_20050109.0133-CE37
CE50	alt.vacation.las-vegas_20050109.0133-CE38
CE51	alt.vacation.las-vegas_20050109.0133-CE39
CE2	alt.vacation.las-vegas_20050109.0133-CE40
CE3	alt.vacation.las-vegas_20050109.0133-CE41
CE4	alt.vacation.las-vegas_20050109.0133-CE42
CE5	alt.vacation.las-vegas_20050109.0133-CE43
CE6	alt.vacation.las-vegas_20050109.0133-CE44
CE7	alt.vacation.las-vegas_20050109.0133-CE45
CE8	alt.vacation.las-vegas_20050109.0133-CE46
CE9	alt.vacation.las-vegas_20050109.0133-CE47
CE10	alt.vacation.las-vegas_20050109.0133-CE48
E14	alt.vacation.las-vegas_20050109.0133-E1
E15	alt.vacation.las-vegas_20050109.0133-E2
E16	alt.vacation.las-vegas_20050109.0133-E3
E17	alt.vacation.las-vegas_20050109.0133-E4
E18	alt.vacation.las-vegas_20050109.0133-E5
E19	alt.vacation.las-vegas_20050109.0133-E6
E20	alt.vacation.las-vegas_20050109.0133-E7
E21	alt.vacation.las-vegas_20050109.0133-E8
E22	alt.vacation.las-vegas_20050109.0133-E9
E23	alt.vacation.las-vegas_20050109.0133-E10
E24	alt.vacation.las-vegas_20050109.0133-E11
E25	alt.vacation.las-vegas_20050109.0133-E12
E26	alt.vacation.las-vegas_20050109.0133-E13
E27	alt.vacation.las-vegas_20050109.0133-E14
E30	alt.vacation.las-vegas_20050109.0133-E15
E31	alt.vacation.las-vegas_20050109.0133-E16
E32	alt.vacation.las-vegas_20050109.0133-E17
E35	alt.vacation.las-vegas_20050109.0133-E18
E36	alt.vacation.las-vegas_20050109.0133-E19
E37	alt.vacation.las-vegas_20050109.0133-E20
E38	alt.vacation.las-vegas_20050109.0133-E21
E39	alt.vacation.las-vegas_20050109.0133-E22
E40	alt.vacation.las-vegas_20050109.0133-E23
E67	alt.vacation.las-vegas_20050109.0133-E24
E41	alt.vacation.las-vegas_20050109.0133-E25
E42	alt.vacation.las-vegas_20050109.0133-E26
E43	alt.vacation.las-vegas_20050109.0133-E27
E44	alt.vacation.las-vegas_20050109.0133-E28
E45	alt.vacation.las-vegas_20050109.0133-E29
E47	alt.vacation.las-vegas_20050109.0133-E30
E48	alt.vacation.las-vegas_20050109.0133-E31
E49	alt.vacation.las-vegas_20050109.0133-E32
E50	alt.vacation.las-vegas_20050109.0133-E33
E51	alt.vacation.las-vegas_20050109.0133-E34
E52	alt.vacation.las-vegas_20050109.0133-E35
E53	alt.vacation.las-vegas_20050109.0133-E36
E54	alt.vacation.las-vegas_20050109.0133-E37
E55	alt.vacation.las-vegas_20050109.0133-E38
E56	alt.vacation.las-vegas_20050109.0133-E39
E57	alt.vacation.las-vegas_20050109.0133-E40
E58	alt.vacation.las-vegas_20050109.0133-E41
E59	alt.vacation.las-vegas_20050109.0133-E42
E60	alt.vacation.las-vegas_20050109.0133-E43
E61	alt.vacation.las-vegas_20050109.0133-E44
E62	alt.vacation.las-vegas_20050109.0133-E45
E63	alt.vacation.las-vegas_20050109.0133-E46
E64	alt.vacation.las-vegas_20050109.0133-E47
E65	alt.vacation.las-vegas_20050109.0133-E48
E66	alt.vacation.las-vegas_20050109.0133-E49
E2	alt.vacation.las-vegas_20050109.0133-E50
E3	alt.vacation.las-vegas_20050109.0133-E51
E4	alt.vacation.las-vegas_20050109.0133-E52
