CE11	soc.culture.iraq_20050211.0445-CE1
CE12	soc.culture.iraq_20050211.0445-CE2
CE13	soc.culture.iraq_20050211.0445-CE3
CE14	soc.culture.iraq_20050211.0445-CE4
CE15	soc.culture.iraq_20050211.0445-CE5
CE16	soc.culture.iraq_20050211.0445-CE6
CE17	soc.culture.iraq_20050211.0445-CE7
CE18	soc.culture.iraq_20050211.0445-CE8
CE19	soc.culture.iraq_20050211.0445-CE9
CE20	soc.culture.iraq_20050211.0445-CE10
CE21	soc.culture.iraq_20050211.0445-CE11
CE22	soc.culture.iraq_20050211.0445-CE12
CE23	soc.culture.iraq_20050211.0445-CE13
CE24	soc.culture.iraq_20050211.0445-CE14
CE25	soc.culture.iraq_20050211.0445-CE15
CE26	soc.culture.iraq_20050211.0445-CE16
CE27	soc.culture.iraq_20050211.0445-CE17
CE1	soc.culture.iraq_20050211.0445-CE18
CE28	soc.culture.iraq_20050211.0445-CE19
CE30	soc.culture.iraq_20050211.0445-CE20
CE31	soc.culture.iraq_20050211.0445-CE21
CE32	soc.culture.iraq_20050211.0445-CE22
CE33	soc.culture.iraq_20050211.0445-CE23
CE34	soc.culture.iraq_20050211.0445-CE24
CE35	soc.culture.iraq_20050211.0445-CE25
CE36	soc.culture.iraq_20050211.0445-CE26
CE38	soc.culture.iraq_20050211.0445-CE27
CE39	soc.culture.iraq_20050211.0445-CE28
CE40	soc.culture.iraq_20050211.0445-CE29
CE41	soc.culture.iraq_20050211.0445-CE30
CE42	soc.culture.iraq_20050211.0445-CE31
CE43	soc.culture.iraq_20050211.0445-CE32
CE45	soc.culture.iraq_20050211.0445-CE33
CE46	soc.culture.iraq_20050211.0445-CE34
CE47	soc.culture.iraq_20050211.0445-CE35
CE48	soc.culture.iraq_20050211.0445-CE36
CE49	soc.culture.iraq_20050211.0445-CE37
CE2	soc.culture.iraq_20050211.0445-CE38
CE3	soc.culture.iraq_20050211.0445-CE39
CE4	soc.culture.iraq_20050211.0445-CE40
CE5	soc.culture.iraq_20050211.0445-CE41
CE6	soc.culture.iraq_20050211.0445-CE42
CE8	soc.culture.iraq_20050211.0445-CE43
CE9	soc.culture.iraq_20050211.0445-CE44
CE10	soc.culture.iraq_20050211.0445-CE45
E15	soc.culture.iraq_20050211.0445-E1
E16	soc.culture.iraq_20050211.0445-E2
E17	soc.culture.iraq_20050211.0445-E3
E18	soc.culture.iraq_20050211.0445-E4
E19	soc.culture.iraq_20050211.0445-E5
E20	soc.culture.iraq_20050211.0445-E6
E21	soc.culture.iraq_20050211.0445-E7
E22	soc.culture.iraq_20050211.0445-E8
E23	soc.culture.iraq_20050211.0445-E9
E24	soc.culture.iraq_20050211.0445-E10
E25	soc.culture.iraq_20050211.0445-E11
E26	soc.culture.iraq_20050211.0445-E12
E27	soc.culture.iraq_20050211.0445-E13
E28	soc.culture.iraq_20050211.0445-E14
E29	soc.culture.iraq_20050211.0445-E15
E30	soc.culture.iraq_20050211.0445-E16
E31	soc.culture.iraq_20050211.0445-E17
E1	soc.culture.iraq_20050211.0445-E18
E32	soc.culture.iraq_20050211.0445-E19
E33	soc.culture.iraq_20050211.0445-E20
E34	soc.culture.iraq_20050211.0445-E21
E35	soc.culture.iraq_20050211.0445-E22
E36	soc.culture.iraq_20050211.0445-E23
E37	soc.culture.iraq_20050211.0445-E24
E38	soc.culture.iraq_20050211.0445-E25
E39	soc.culture.iraq_20050211.0445-E26
E40	soc.culture.iraq_20050211.0445-E27
E42	soc.culture.iraq_20050211.0445-E28
E43	soc.culture.iraq_20050211.0445-E29
E44	soc.culture.iraq_20050211.0445-E30
E45	soc.culture.iraq_20050211.0445-E31
E46	soc.culture.iraq_20050211.0445-E32
E47	soc.culture.iraq_20050211.0445-E33
E48	soc.culture.iraq_20050211.0445-E34
E49	soc.culture.iraq_20050211.0445-E35
E2	soc.culture.iraq_20050211.0445-E36
E51	soc.culture.iraq_20050211.0445-E37
E52	soc.culture.iraq_20050211.0445-E38
E53	soc.culture.iraq_20050211.0445-E39
E54	soc.culture.iraq_20050211.0445-E40
E55	soc.culture.iraq_20050211.0445-E41
E56	soc.culture.iraq_20050211.0445-E42
E57	soc.culture.iraq_20050211.0445-E43
E58	soc.culture.iraq_20050211.0445-E44
E61	soc.culture.iraq_20050211.0445-E45
E63	soc.culture.iraq_20050211.0445-E46
E64	soc.culture.iraq_20050211.0445-E47
E65	soc.culture.iraq_20050211.0445-E48
E3	soc.culture.iraq_20050211.0445-E49
E66	soc.culture.iraq_20050211.0445-E50
E4	soc.culture.iraq_20050211.0445-E51
E5	soc.culture.iraq_20050211.0445-E52
E6	soc.culture.iraq_20050211.0445-E53
E7	soc.culture.iraq_20050211.0445-E54
E8	soc.culture.iraq_20050211.0445-E55
E10	soc.culture.iraq_20050211.0445-E56
E11	soc.culture.iraq_20050211.0445-E57
E12	soc.culture.iraq_20050211.0445-E58
E13	soc.culture.iraq_20050211.0445-E59
E14	soc.culture.iraq_20050211.0445-E60
EM1	soc.culture.iraq_20050211.0445-E36-1
EM18	soc.culture.iraq_20050211.0445-E1-2
EM19	soc.culture.iraq_20050211.0445-E52-3
EM20	soc.culture.iraq_20050211.0445-E2-4
EM21	soc.culture.iraq_20050211.0445-E52-5
EM22	soc.culture.iraq_20050211.0445-E56-6
EM23	soc.culture.iraq_20050211.0445-E4-7
EM24	soc.culture.iraq_20050211.0445-E5-8
EM25	soc.culture.iraq_20050211.0445-E56-9
EM26	soc.culture.iraq_20050211.0445-E6-10
EM27	soc.culture.iraq_20050211.0445-E52-11
EM28	soc.culture.iraq_20050211.0445-E18-12
EM29	soc.culture.iraq_20050211.0445-E52-13
EM30	soc.culture.iraq_20050211.0445-E18-14
EM31	soc.culture.iraq_20050211.0445-E52-15
EM32	soc.culture.iraq_20050211.0445-E56-16
EM33	soc.culture.iraq_20050211.0445-E7-17
EM34	soc.culture.iraq_20050211.0445-E8-18
EM35	soc.culture.iraq_20050211.0445-E8-19
EM36	soc.culture.iraq_20050211.0445-E9-20
EM37	soc.culture.iraq_20050211.0445-E6-21
EM38	soc.culture.iraq_20050211.0445-E56-22
EM39	soc.culture.iraq_20050211.0445-E18-23
EM40	soc.culture.iraq_20050211.0445-E18-24
EM41	soc.culture.iraq_20050211.0445-E10-25
EM42	soc.culture.iraq_20050211.0445-E56-26
EM43	soc.culture.iraq_20050211.0445-E56-27
EM44	soc.culture.iraq_20050211.0445-E52-28
EM45	soc.culture.iraq_20050211.0445-E11-29
EM46	soc.culture.iraq_20050211.0445-E12-30
EM47	soc.culture.iraq_20050211.0445-E13-31
EM48	soc.culture.iraq_20050211.0445-E14-32
EM49	soc.culture.iraq_20050211.0445-E56-33
EM50	soc.culture.iraq_20050211.0445-E56-34
EM51	soc.culture.iraq_20050211.0445-E49-35
EM52	soc.culture.iraq_20050211.0445-E15-36
EM53	soc.culture.iraq_20050211.0445-E52-37
EM54	soc.culture.iraq_20050211.0445-E49-38
EM55	soc.culture.iraq_20050211.0445-E18-39
EM56	soc.culture.iraq_20050211.0445-E18-40
EM57	soc.culture.iraq_20050211.0445-E16-41
EM58	soc.culture.iraq_20050211.0445-E18-42
EM59	soc.culture.iraq_20050211.0445-E52-43
EM60	soc.culture.iraq_20050211.0445-E56-44
EM61	soc.culture.iraq_20050211.0445-E52-45
EM62	soc.culture.iraq_20050211.0445-E1-46
EM63	soc.culture.iraq_20050211.0445-E17-47
EM64	soc.culture.iraq_20050211.0445-E19-48
EM65	soc.culture.iraq_20050211.0445-E19-49
EM66	soc.culture.iraq_20050211.0445-E52-50
EM67	soc.culture.iraq_20050211.0445-E52-51
EM68	soc.culture.iraq_20050211.0445-E20-52
EM69	soc.culture.iraq_20050211.0445-E19-53
EM70	soc.culture.iraq_20050211.0445-E19-54
EM71	soc.culture.iraq_20050211.0445-E21-55
EM72	soc.culture.iraq_20050211.0445-E56-56
EM73	soc.culture.iraq_20050211.0445-E22-57
EM74	soc.culture.iraq_20050211.0445-E22-58
EM75	soc.culture.iraq_20050211.0445-E18-59
EM76	soc.culture.iraq_20050211.0445-E23-60
EM77	soc.culture.iraq_20050211.0445-E24-61
EM78	soc.culture.iraq_20050211.0445-E6-62
EM79	soc.culture.iraq_20050211.0445-E25-63
EM80	soc.culture.iraq_20050211.0445-E52-64
EM81	soc.culture.iraq_20050211.0445-E56-65
EM82	soc.culture.iraq_20050211.0445-E59-66
EM83	soc.culture.iraq_20050211.0445-E18-67
EM84	soc.culture.iraq_20050211.0445-E26-68
EM86	soc.culture.iraq_20050211.0445-E27-69
EM87	soc.culture.iraq_20050211.0445-E27-70
EM88	soc.culture.iraq_20050211.0445-E3-71
EM89	soc.culture.iraq_20050211.0445-E56-72
EM90	soc.culture.iraq_20050211.0445-E28-73
EM91	soc.culture.iraq_20050211.0445-E29-74
EM92	soc.culture.iraq_20050211.0445-E56-75
EM93	soc.culture.iraq_20050211.0445-E56-76
EM94	soc.culture.iraq_20050211.0445-E18-77
EM95	soc.culture.iraq_20050211.0445-E30-78
EM96	soc.culture.iraq_20050211.0445-E31-79
EM97	soc.culture.iraq_20050211.0445-E32-80
EM98	soc.culture.iraq_20050211.0445-E32-81
EM99	soc.culture.iraq_20050211.0445-E33-82
EM100	soc.culture.iraq_20050211.0445-E32-83
EM101	soc.culture.iraq_20050211.0445-E56-84
EM102	soc.culture.iraq_20050211.0445-E34-85
EM103	soc.culture.iraq_20050211.0445-E34-86
EM106	soc.culture.iraq_20050211.0445-E35-87
EM107	soc.culture.iraq_20050211.0445-E37-88
EM108	soc.culture.iraq_20050211.0445-E38-89
EM109	soc.culture.iraq_20050211.0445-E34-90
EM110	soc.culture.iraq_20050211.0445-E56-91
EM111	soc.culture.iraq_20050211.0445-E39-92
EM112	soc.culture.iraq_20050211.0445-E40-93
EM113	soc.culture.iraq_20050211.0445-E41-94
EM114	soc.culture.iraq_20050211.0445-E42-95
EM115	soc.culture.iraq_20050211.0445-E52-96
EM116	soc.culture.iraq_20050211.0445-E43-97
EM117	soc.culture.iraq_20050211.0445-E44-98
EM118	soc.culture.iraq_20050211.0445-E18-99
EM119	soc.culture.iraq_20050211.0445-E52-100
EM120	soc.culture.iraq_20050211.0445-E44-101
EM121	soc.culture.iraq_20050211.0445-E1-102
EM122	soc.culture.iraq_20050211.0445-E1-103
EM2	soc.culture.iraq_20050211.0445-E49-104
EM123	soc.culture.iraq_20050211.0445-E45-105
EM124	soc.culture.iraq_20050211.0445-E46-106
EM125	soc.culture.iraq_20050211.0445-E47-107
EM126	soc.culture.iraq_20050211.0445-E48-108
EM127	soc.culture.iraq_20050211.0445-E50-109
EM129	soc.culture.iraq_20050211.0445-E18-110
EM3	soc.culture.iraq_20050211.0445-E51-111
EM4	soc.culture.iraq_20050211.0445-E52-112
EM5	soc.culture.iraq_20050211.0445-E52-113
EM6	soc.culture.iraq_20050211.0445-E53-114
EM7	soc.culture.iraq_20050211.0445-E54-115
EM8	soc.culture.iraq_20050211.0445-E53-116
EM9	soc.culture.iraq_20050211.0445-E55-117
EM10	soc.culture.iraq_20050211.0445-E52-118
EM11	soc.culture.iraq_20050211.0445-E52-119
EM12	soc.culture.iraq_20050211.0445-E53-120
EM13	soc.culture.iraq_20050211.0445-E57-121
EM14	soc.culture.iraq_20050211.0445-E58-122
EM15	soc.culture.iraq_20050211.0445-E59-123
EM16	soc.culture.iraq_20050211.0445-E60-124
EM17	soc.culture.iraq_20050211.0445-E18-125
R1	soc.culture.iraq_20050211.0445-R1
R2	soc.culture.iraq_20050211.0445-R2
R3	soc.culture.iraq_20050211.0445-R3
R4	soc.culture.iraq_20050211.0445-R4
R5	soc.culture.iraq_20050211.0445-R5
R6	soc.culture.iraq_20050211.0445-R6
R7	soc.culture.iraq_20050211.0445-R7
R8	soc.culture.iraq_20050211.0445-R8
R9	soc.culture.iraq_20050211.0445-R9
R10	soc.culture.iraq_20050211.0445-R10
R11	soc.culture.iraq_20050211.0445-R11
RM1	soc.culture.iraq_20050211.0445-R1-1
RM2	soc.culture.iraq_20050211.0445-R1-2
RM3	soc.culture.iraq_20050211.0445-R3-1
RM4	soc.culture.iraq_20050211.0445-R4-1
RM5	soc.culture.iraq_20050211.0445-R5-1
RM6	soc.culture.iraq_20050211.0445-R6-1
RM7	soc.culture.iraq_20050211.0445-R7-1
RM8	soc.culture.iraq_20050211.0445-R8-1
RM9	soc.culture.iraq_20050211.0445-R9-1
RM10	soc.culture.iraq_20050211.0445-R10-1
RM11	soc.culture.iraq_20050211.0445-R11-1
V1	soc.culture.iraq_20050211.0445-EV1
V2	soc.culture.iraq_20050211.0445-EV2
V3	soc.culture.iraq_20050211.0445-EV3
V4	soc.culture.iraq_20050211.0445-EV4
V5	soc.culture.iraq_20050211.0445-EV5
V6	soc.culture.iraq_20050211.0445-EV6
V7	soc.culture.iraq_20050211.0445-EV7
V8	soc.culture.iraq_20050211.0445-EV8
V9	soc.culture.iraq_20050211.0445-EV9
V10	soc.culture.iraq_20050211.0445-EV10
V11	soc.culture.iraq_20050211.0445-EV11
V12	soc.culture.iraq_20050211.0445-EV12
V13	soc.culture.iraq_20050211.0445-EV13
VM1	soc.culture.iraq_20050211.0445-EV1-1
VM2	soc.culture.iraq_20050211.0445-EV2-1
VM3	soc.culture.iraq_20050211.0445-EV3-1
VM4	soc.culture.iraq_20050211.0445-EV4-1
VM5	soc.culture.iraq_20050211.0445-EV5-1
VM6	soc.culture.iraq_20050211.0445-EV6-1
VM7	soc.culture.iraq_20050211.0445-EV7-1
VM8	soc.culture.iraq_20050211.0445-EV8-1
VM9	soc.culture.iraq_20050211.0445-EV9-1
VM10	soc.culture.iraq_20050211.0445-EV10-1
VM11	soc.culture.iraq_20050211.0445-EV11-1
VM12	soc.culture.iraq_20050211.0445-EV12-1
VM13	soc.culture.iraq_20050211.0445-EV13-1
Q1	soc.culture.iraq_20050211.0445-T1
Q2	soc.culture.iraq_20050211.0445-T2
Q3	soc.culture.iraq_20050211.0445-T3
Q4	soc.culture.iraq_20050211.0445-T4
Q5	soc.culture.iraq_20050211.0445-T5
Q6	soc.culture.iraq_20050211.0445-V1
Q7	soc.culture.iraq_20050211.0445-V2
Q8	soc.culture.iraq_20050211.0445-T6
Q9	soc.culture.iraq_20050211.0445-T7
Q10	soc.culture.iraq_20050211.0445-T8
Q11	soc.culture.iraq_20050211.0445-T9
Q12	soc.culture.iraq_20050211.0445-T10
Q13	soc.culture.iraq_20050211.0445-T11
QM6	soc.culture.iraq_20050211.0445-V1-1
QM7	soc.culture.iraq_20050211.0445-V2-1
