CE4	talk.politics.misc_20050216.1337-CE1
CE5	talk.politics.misc_20050216.1337-CE2
CE12	talk.politics.misc_20050216.1337-CE3
CE13	talk.politics.misc_20050216.1337-CE4
CE14	talk.politics.misc_20050216.1337-CE5
CE15	talk.politics.misc_20050216.1337-CE6
CE16	talk.politics.misc_20050216.1337-CE7
CE17	talk.politics.misc_20050216.1337-CE8
CE18	talk.politics.misc_20050216.1337-CE9
CE19	talk.politics.misc_20050216.1337-CE10
CE20	talk.politics.misc_20050216.1337-CE11
CE21	talk.politics.misc_20050216.1337-CE12
CE22	talk.politics.misc_20050216.1337-CE13
CE23	talk.politics.misc_20050216.1337-CE14
CE24	talk.politics.misc_20050216.1337-CE15
CE25	talk.politics.misc_20050216.1337-CE16
CE27	talk.politics.misc_20050216.1337-CE17
CE28	talk.politics.misc_20050216.1337-CE18
CE29	talk.politics.misc_20050216.1337-CE19
CE30	talk.politics.misc_20050216.1337-CE20
CE31	talk.politics.misc_20050216.1337-CE21
CE32	talk.politics.misc_20050216.1337-CE22
CE33	talk.politics.misc_20050216.1337-CE23
CE34	talk.politics.misc_20050216.1337-CE24
CE35	talk.politics.misc_20050216.1337-CE25
CE38	talk.politics.misc_20050216.1337-CE26
CE39	talk.politics.misc_20050216.1337-CE27
CE40	talk.politics.misc_20050216.1337-CE28
CE41	talk.politics.misc_20050216.1337-CE29
CE42	talk.politics.misc_20050216.1337-CE30
E5	talk.politics.misc_20050216.1337-E1
E6	talk.politics.misc_20050216.1337-E2
E14	talk.politics.misc_20050216.1337-E3
E15	talk.politics.misc_20050216.1337-E4
E16	talk.politics.misc_20050216.1337-E5
E17	talk.politics.misc_20050216.1337-E6
E18	talk.politics.misc_20050216.1337-E7
E19	talk.politics.misc_20050216.1337-E8
E20	talk.politics.misc_20050216.1337-E9
E21	talk.politics.misc_20050216.1337-E10
E22	talk.politics.misc_20050216.1337-E11
E23	talk.politics.misc_20050216.1337-E12
E24	talk.politics.misc_20050216.1337-E13
E25	talk.politics.misc_20050216.1337-E14
E26	talk.politics.misc_20050216.1337-E15
E27	talk.politics.misc_20050216.1337-E16
E28	talk.politics.misc_20050216.1337-E17
E29	talk.politics.misc_20050216.1337-E18
E30	talk.politics.misc_20050216.1337-E19
E32	talk.politics.misc_20050216.1337-E20
