CE12	rec.travel.usa-canada_20050128.0121-CE1
CE13	rec.travel.usa-canada_20050128.0121-CE2
CE14	rec.travel.usa-canada_20050128.0121-CE3
CE15	rec.travel.usa-canada_20050128.0121-CE4
CE16	rec.travel.usa-canada_20050128.0121-CE5
CE17	rec.travel.usa-canada_20050128.0121-CE6
CE18	rec.travel.usa-canada_20050128.0121-CE7
CE19	rec.travel.usa-canada_20050128.0121-CE8
CE20	rec.travel.usa-canada_20050128.0121-CE9
CE21	rec.travel.usa-canada_20050128.0121-CE10
CE22	rec.travel.usa-canada_20050128.0121-CE11
CE23	rec.travel.usa-canada_20050128.0121-CE12
CE24	rec.travel.usa-canada_20050128.0121-CE13
CE25	rec.travel.usa-canada_20050128.0121-CE14
CE26	rec.travel.usa-canada_20050128.0121-CE15
CE27	rec.travel.usa-canada_20050128.0121-CE16
CE29	rec.travel.usa-canada_20050128.0121-CE17
CE30	rec.travel.usa-canada_20050128.0121-CE18
CE31	rec.travel.usa-canada_20050128.0121-CE19
CE32	rec.travel.usa-canada_20050128.0121-CE20
CE33	rec.travel.usa-canada_20050128.0121-CE21
CE34	rec.travel.usa-canada_20050128.0121-CE22
CE1	rec.travel.usa-canada_20050128.0121-CE23
CE35	rec.travel.usa-canada_20050128.0121-CE24
CE36	rec.travel.usa-canada_20050128.0121-CE25
CE37	rec.travel.usa-canada_20050128.0121-CE26
CE38	rec.travel.usa-canada_20050128.0121-CE27
CE2	rec.travel.usa-canada_20050128.0121-CE28
CE39	rec.travel.usa-canada_20050128.0121-CE29
CE3	rec.travel.usa-canada_20050128.0121-CE30
CE4	rec.travel.usa-canada_20050128.0121-CE31
CE5	rec.travel.usa-canada_20050128.0121-CE32
CE6	rec.travel.usa-canada_20050128.0121-CE33
CE7	rec.travel.usa-canada_20050128.0121-CE34
CE8	rec.travel.usa-canada_20050128.0121-CE35
CE9	rec.travel.usa-canada_20050128.0121-CE36
CE10	rec.travel.usa-canada_20050128.0121-CE37
CE11	rec.travel.usa-canada_20050128.0121-CE38
E12	rec.travel.usa-canada_20050128.0121-E1
E13	rec.travel.usa-canada_20050128.0121-E2
E14	rec.travel.usa-canada_20050128.0121-E3
E15	rec.travel.usa-canada_20050128.0121-E4
E16	rec.travel.usa-canada_20050128.0121-E5
E17	rec.travel.usa-canada_20050128.0121-E6
E18	rec.travel.usa-canada_20050128.0121-E7
E19	rec.travel.usa-canada_20050128.0121-E8
E20	rec.travel.usa-canada_20050128.0121-E9
E21	rec.travel.usa-canada_20050128.0121-E10
E22	rec.travel.usa-canada_20050128.0121-E11
E23	rec.travel.usa-canada_20050128.0121-E12
E24	rec.travel.usa-canada_20050128.0121-E13
E25	rec.travel.usa-canada_20050128.0121-E14
E26	rec.travel.usa-canada_20050128.0121-E15
E27	rec.travel.usa-canada_20050128.0121-E16
E29	rec.travel.usa-canada_20050128.0121-E17
E30	rec.travel.usa-canada_20050128.0121-E18
E31	rec.travel.usa-canada_20050128.0121-E19
E32	rec.travel.usa-canada_20050128.0121-E20
E33	rec.travel.usa-canada_20050128.0121-E21
E1	rec.travel.usa-canada_20050128.0121-E22
E34	rec.travel.usa-canada_20050128.0121-E23
E35	rec.travel.usa-canada_20050128.0121-E24
E36	rec.travel.usa-canada_20050128.0121-E25
E37	rec.travel.usa-canada_20050128.0121-E26
E38	rec.travel.usa-canada_20050128.0121-E27
E2	rec.travel.usa-canada_20050128.0121-E28
E39	rec.travel.usa-canada_20050128.0121-E29
E3	rec.travel.usa-canada_20050128.0121-E30
E4	rec.travel.usa-canada_20050128.0121-E31
E5	rec.travel.usa-canada_20050128.0121-E32
E6	rec.travel.usa-canada_20050128.0121-E33
E7	rec.travel.usa-canada_20050128.0121-E34
E8	rec.travel.usa-canada_20050128.0121-E35
E9	rec.travel.usa-canada_20050128.0121-E36
E10	rec.travel.usa-canada_20050128.0121-E37
E11	rec.travel.usa-canada_20050128.0121-E38
EM19	rec.travel.usa-canada_20050128.0121-E30-1
EM20	rec.travel.usa-canada_20050128.0121-E31-2
EM21	rec.travel.usa-canada_20050128.0121-E38-3
EM22	rec.travel.usa-canada_20050128.0121-E1-4
EM23	rec.travel.usa-canada_20050128.0121-E38-5
EM24	rec.travel.usa-canada_20050128.0121-E38-6
EM25	rec.travel.usa-canada_20050128.0121-E1-7
EM26	rec.travel.usa-canada_20050128.0121-E38-8
EM27	rec.travel.usa-canada_20050128.0121-E1-9
EM28	rec.travel.usa-canada_20050128.0121-E2-10
