CE14	uk.gay-lesbian-bi_20050127.0311-CE1
CE15	uk.gay-lesbian-bi_20050127.0311-CE2
CE16	uk.gay-lesbian-bi_20050127.0311-CE3
CE17	uk.gay-lesbian-bi_20050127.0311-CE4
CE18	uk.gay-lesbian-bi_20050127.0311-CE5
CE19	uk.gay-lesbian-bi_20050127.0311-CE6
CE20	uk.gay-lesbian-bi_20050127.0311-CE7
CE21	uk.gay-lesbian-bi_20050127.0311-CE8
CE22	uk.gay-lesbian-bi_20050127.0311-CE9
CE23	uk.gay-lesbian-bi_20050127.0311-CE10
CE24	uk.gay-lesbian-bi_20050127.0311-CE11
CE25	uk.gay-lesbian-bi_20050127.0311-CE12
CE26	uk.gay-lesbian-bi_20050127.0311-CE13
CE27	uk.gay-lesbian-bi_20050127.0311-CE14
CE28	uk.gay-lesbian-bi_20050127.0311-CE15
CE29	uk.gay-lesbian-bi_20050127.0311-CE16
CE30	uk.gay-lesbian-bi_20050127.0311-CE17
CE31	uk.gay-lesbian-bi_20050127.0311-CE18
CE32	uk.gay-lesbian-bi_20050127.0311-CE19
CE33	uk.gay-lesbian-bi_20050127.0311-CE20
CE34	uk.gay-lesbian-bi_20050127.0311-CE21
CE35	uk.gay-lesbian-bi_20050127.0311-CE22
CE36	uk.gay-lesbian-bi_20050127.0311-CE23
CE37	uk.gay-lesbian-bi_20050127.0311-CE24
CE38	uk.gay-lesbian-bi_20050127.0311-CE25
CE39	uk.gay-lesbian-bi_20050127.0311-CE26
CE40	uk.gay-lesbian-bi_20050127.0311-CE27
CE41	uk.gay-lesbian-bi_20050127.0311-CE28
CE42	uk.gay-lesbian-bi_20050127.0311-CE29
CE43	uk.gay-lesbian-bi_20050127.0311-CE30
CE44	uk.gay-lesbian-bi_20050127.0311-CE31
CE45	uk.gay-lesbian-bi_20050127.0311-CE32
CE46	uk.gay-lesbian-bi_20050127.0311-CE33
CE47	uk.gay-lesbian-bi_20050127.0311-CE34
CE48	uk.gay-lesbian-bi_20050127.0311-CE35
CE1	uk.gay-lesbian-bi_20050127.0311-CE36
CE50	uk.gay-lesbian-bi_20050127.0311-CE37
CE51	uk.gay-lesbian-bi_20050127.0311-CE38
CE52	uk.gay-lesbian-bi_20050127.0311-CE39
CE53	uk.gay-lesbian-bi_20050127.0311-CE40
CE54	uk.gay-lesbian-bi_20050127.0311-CE41
CE55	uk.gay-lesbian-bi_20050127.0311-CE42
CE56	uk.gay-lesbian-bi_20050127.0311-CE43
CE57	uk.gay-lesbian-bi_20050127.0311-CE44
CE58	uk.gay-lesbian-bi_20050127.0311-CE45
CE59	uk.gay-lesbian-bi_20050127.0311-CE46
CE60	uk.gay-lesbian-bi_20050127.0311-CE47
CE61	uk.gay-lesbian-bi_20050127.0311-CE48
CE62	uk.gay-lesbian-bi_20050127.0311-CE49
CE63	uk.gay-lesbian-bi_20050127.0311-CE50
CE64	uk.gay-lesbian-bi_20050127.0311-CE51
CE65	uk.gay-lesbian-bi_20050127.0311-CE52
CE66	uk.gay-lesbian-bi_20050127.0311-CE53
CE67	uk.gay-lesbian-bi_20050127.0311-CE54
CE68	uk.gay-lesbian-bi_20050127.0311-CE55
CE69	uk.gay-lesbian-bi_20050127.0311-CE56
CE2	uk.gay-lesbian-bi_20050127.0311-CE57
CE3	uk.gay-lesbian-bi_20050127.0311-CE58
CE4	uk.gay-lesbian-bi_20050127.0311-CE59
CE6	uk.gay-lesbian-bi_20050127.0311-CE60
CE7	uk.gay-lesbian-bi_20050127.0311-CE61
CE8	uk.gay-lesbian-bi_20050127.0311-CE62
CE10	uk.gay-lesbian-bi_20050127.0311-CE63
CE13	uk.gay-lesbian-bi_20050127.0311-CE64
E15	uk.gay-lesbian-bi_20050127.0311-E1
E16	uk.gay-lesbian-bi_20050127.0311-E2
E17	uk.gay-lesbian-bi_20050127.0311-E3
E18	uk.gay-lesbian-bi_20050127.0311-E4
E19	uk.gay-lesbian-bi_20050127.0311-E5
E20	uk.gay-lesbian-bi_20050127.0311-E6
E21	uk.gay-lesbian-bi_20050127.0311-E7
E22	uk.gay-lesbian-bi_20050127.0311-E8
E23	uk.gay-lesbian-bi_20050127.0311-E9
E24	uk.gay-lesbian-bi_20050127.0311-E10
E25	uk.gay-lesbian-bi_20050127.0311-E11
E26	uk.gay-lesbian-bi_20050127.0311-E12
