CE11	alt.corel_20041228.0503-CE1
CE60	alt.corel_20041228.0503-CE2
CE12	alt.corel_20041228.0503-CE3
CE13	alt.corel_20041228.0503-CE4
CE14	alt.corel_20041228.0503-CE5
CE16	alt.corel_20041228.0503-CE6
CE18	alt.corel_20041228.0503-CE7
CE19	alt.corel_20041228.0503-CE8
CE20	alt.corel_20041228.0503-CE9
CE21	alt.corel_20041228.0503-CE10
CE22	alt.corel_20041228.0503-CE11
CE58	alt.corel_20041228.0503-CE12
CE24	alt.corel_20041228.0503-CE13
CE25	alt.corel_20041228.0503-CE14
CE26	alt.corel_20041228.0503-CE15
CE27	alt.corel_20041228.0503-CE16
CE28	alt.corel_20041228.0503-CE17
CE29	alt.corel_20041228.0503-CE18
CE32	alt.corel_20041228.0503-CE19
CE33	alt.corel_20041228.0503-CE20
CE34	alt.corel_20041228.0503-CE21
CE35	alt.corel_20041228.0503-CE22
CE36	alt.corel_20041228.0503-CE23
CE37	alt.corel_20041228.0503-CE24
CE38	alt.corel_20041228.0503-CE25
CE1	alt.corel_20041228.0503-CE26
CE39	alt.corel_20041228.0503-CE27
CE40	alt.corel_20041228.0503-CE28
CE41	alt.corel_20041228.0503-CE29
CE42	alt.corel_20041228.0503-CE30
CE43	alt.corel_20041228.0503-CE31
CE44	alt.corel_20041228.0503-CE32
CE45	alt.corel_20041228.0503-CE33
CE46	alt.corel_20041228.0503-CE34
CE47	alt.corel_20041228.0503-CE35
CE48	alt.corel_20041228.0503-CE36
CE50	alt.corel_20041228.0503-CE37
CE51	alt.corel_20041228.0503-CE38
CE52	alt.corel_20041228.0503-CE39
CE53	alt.corel_20041228.0503-CE40
CE54	alt.corel_20041228.0503-CE41
CE55	alt.corel_20041228.0503-CE42
CE56	alt.corel_20041228.0503-CE43
CE57	alt.corel_20041228.0503-CE44
CE59	alt.corel_20041228.0503-CE45
CE2	alt.corel_20041228.0503-CE46
CE3	alt.corel_20041228.0503-CE47
CE4	alt.corel_20041228.0503-CE48
CE6	alt.corel_20041228.0503-CE49
CE8	alt.corel_20041228.0503-CE50
CE9	alt.corel_20041228.0503-CE51
CE10	alt.corel_20041228.0503-CE52
E14	alt.corel_20041228.0503-E1
E15	alt.corel_20041228.0503-E2
E80	alt.corel_20041228.0503-E3
E16	alt.corel_20041228.0503-E4
E17	alt.corel_20041228.0503-E5
E18	alt.corel_20041228.0503-E6
E20	alt.corel_20041228.0503-E7
E21	alt.corel_20041228.0503-E8
E22	alt.corel_20041228.0503-E9
E23	alt.corel_20041228.0503-E10
E78	alt.corel_20041228.0503-E11
E25	alt.corel_20041228.0503-E12
E26	alt.corel_20041228.0503-E13
E27	alt.corel_20041228.0503-E14
E28	alt.corel_20041228.0503-E15
E29	alt.corel_20041228.0503-E16
