CE9	rec.travel.cruises_20050222.0313-CE1
CE10	rec.travel.cruises_20050222.0313-CE2
CE11	rec.travel.cruises_20050222.0313-CE3
CE12	rec.travel.cruises_20050222.0313-CE4
CE13	rec.travel.cruises_20050222.0313-CE5
CE14	rec.travel.cruises_20050222.0313-CE6
CE15	rec.travel.cruises_20050222.0313-CE7
CE16	rec.travel.cruises_20050222.0313-CE8
CE17	rec.travel.cruises_20050222.0313-CE9
CE18	rec.travel.cruises_20050222.0313-CE10
CE19	rec.travel.cruises_20050222.0313-CE11
CE20	rec.travel.cruises_20050222.0313-CE12
CE21	rec.travel.cruises_20050222.0313-CE13
CE22	rec.travel.cruises_20050222.0313-CE14
CE23	rec.travel.cruises_20050222.0313-CE15
CE24	rec.travel.cruises_20050222.0313-CE16
CE25	rec.travel.cruises_20050222.0313-CE17
CE26	rec.travel.cruises_20050222.0313-CE18
CE27	rec.travel.cruises_20050222.0313-CE19
CE28	rec.travel.cruises_20050222.0313-CE20
CE29	rec.travel.cruises_20050222.0313-CE21
CE30	rec.travel.cruises_20050222.0313-CE22
CE1	rec.travel.cruises_20050222.0313-CE23
CE31	rec.travel.cruises_20050222.0313-CE24
CE32	rec.travel.cruises_20050222.0313-CE25
CE33	rec.travel.cruises_20050222.0313-CE26
CE34	rec.travel.cruises_20050222.0313-CE27
CE35	rec.travel.cruises_20050222.0313-CE28
CE36	rec.travel.cruises_20050222.0313-CE29
CE2	rec.travel.cruises_20050222.0313-CE30
CE3	rec.travel.cruises_20050222.0313-CE31
CE4	rec.travel.cruises_20050222.0313-CE32
CE5	rec.travel.cruises_20050222.0313-CE33
CE6	rec.travel.cruises_20050222.0313-CE34
CE7	rec.travel.cruises_20050222.0313-CE35
CE8	rec.travel.cruises_20050222.0313-CE36
E13	rec.travel.cruises_20050222.0313-E1
E14	rec.travel.cruises_20050222.0313-E2
E15	rec.travel.cruises_20050222.0313-E3
E16	rec.travel.cruises_20050222.0313-E4
E17	rec.travel.cruises_20050222.0313-E5
E18	rec.travel.cruises_20050222.0313-E6
E19	rec.travel.cruises_20050222.0313-E7
E20	rec.travel.cruises_20050222.0313-E8
E21	rec.travel.cruises_20050222.0313-E9
E22	rec.travel.cruises_20050222.0313-E10
E23	rec.travel.cruises_20050222.0313-E11
E24	rec.travel.cruises_20050222.0313-E12
E25	rec.travel.cruises_20050222.0313-E13
E26	rec.travel.cruises_20050222.0313-E14
E27	rec.travel.cruises_20050222.0313-E15
E28	rec.travel.cruises_20050222.0313-E16
E29	rec.travel.cruises_20050222.0313-E17
E30	rec.travel.cruises_20050222.0313-E18
E32	rec.travel.cruises_20050222.0313-E19
E33	rec.travel.cruises_20050222.0313-E20
E34	rec.travel.cruises_20050222.0313-E21
E35	rec.travel.cruises_20050222.0313-E22
E36	rec.travel.cruises_20050222.0313-E23
E37	rec.travel.cruises_20050222.0313-E24
E38	rec.travel.cruises_20050222.0313-E25
E39	rec.travel.cruises_20050222.0313-E26
E40	rec.travel.cruises_20050222.0313-E27
E41	rec.travel.cruises_20050222.0313-E28
E42	rec.travel.cruises_20050222.0313-E29
