CE10	marcellapr_20050211.2013-CE1
CE11	marcellapr_20050211.2013-CE2
CE12	marcellapr_20050211.2013-CE3
CE14	marcellapr_20050211.2013-CE4
CE15	marcellapr_20050211.2013-CE5
CE16	marcellapr_20050211.2013-CE6
CE17	marcellapr_20050211.2013-CE7
CE19	marcellapr_20050211.2013-CE8
CE20	marcellapr_20050211.2013-CE9
CE21	marcellapr_20050211.2013-CE10
CE22	marcellapr_20050211.2013-CE11
CE23	marcellapr_20050211.2013-CE12
CE24	marcellapr_20050211.2013-CE13
CE26	marcellapr_20050211.2013-CE14
CE28	marcellapr_20050211.2013-CE15
CE29	marcellapr_20050211.2013-CE16
CE30	marcellapr_20050211.2013-CE17
CE31	marcellapr_20050211.2013-CE18
CE32	marcellapr_20050211.2013-CE19
CE1	marcellapr_20050211.2013-CE20
CE8	marcellapr_20050211.2013-CE21
CE3	marcellapr_20050211.2013-CE22
CE4	marcellapr_20050211.2013-CE23
CE5	marcellapr_20050211.2013-CE24
CE6	marcellapr_20050211.2013-CE25
CE7	marcellapr_20050211.2013-CE26
CE9	marcellapr_20050211.2013-CE27
E10	marcellapr_20050211.2013-E1
E11	marcellapr_20050211.2013-E2
E12	marcellapr_20050211.2013-E3
E14	marcellapr_20050211.2013-E4
E16	marcellapr_20050211.2013-E5
E18	marcellapr_20050211.2013-E6
E17	marcellapr_20050211.2013-E7
E20	marcellapr_20050211.2013-E8
E21	marcellapr_20050211.2013-E9
E22	marcellapr_20050211.2013-E10
E23	marcellapr_20050211.2013-E11
E24	marcellapr_20050211.2013-E12
E25	marcellapr_20050211.2013-E13
E27	marcellapr_20050211.2013-E14
E1	marcellapr_20050211.2013-E15
E29	marcellapr_20050211.2013-E16
E30	marcellapr_20050211.2013-E17
E31	marcellapr_20050211.2013-E18
E33	marcellapr_20050211.2013-E19
E35	marcellapr_20050211.2013-E20
E8	marcellapr_20050211.2013-E21
E3	marcellapr_20050211.2013-E22
E4	marcellapr_20050211.2013-E23
E5	marcellapr_20050211.2013-E24
E6	marcellapr_20050211.2013-E25
E7	marcellapr_20050211.2013-E26
E9	marcellapr_20050211.2013-E27
