CE10	soc.culture.hmong_20050210.1130-CE1
CE11	soc.culture.hmong_20050210.1130-CE2
CE12	soc.culture.hmong_20050210.1130-CE3
CE13	soc.culture.hmong_20050210.1130-CE4
CE14	soc.culture.hmong_20050210.1130-CE5
CE15	soc.culture.hmong_20050210.1130-CE6
CE16	soc.culture.hmong_20050210.1130-CE7
CE17	soc.culture.hmong_20050210.1130-CE8
CE18	soc.culture.hmong_20050210.1130-CE9
CE19	soc.culture.hmong_20050210.1130-CE10
CE20	soc.culture.hmong_20050210.1130-CE11
CE21	soc.culture.hmong_20050210.1130-CE12
CE22	soc.culture.hmong_20050210.1130-CE13
CE23	soc.culture.hmong_20050210.1130-CE14
CE24	soc.culture.hmong_20050210.1130-CE15
CE25	soc.culture.hmong_20050210.1130-CE16
CE26	soc.culture.hmong_20050210.1130-CE17
CE27	soc.culture.hmong_20050210.1130-CE18
CE28	soc.culture.hmong_20050210.1130-CE19
CE1	soc.culture.hmong_20050210.1130-CE20
CE30	soc.culture.hmong_20050210.1130-CE21
CE31	soc.culture.hmong_20050210.1130-CE22
CE32	soc.culture.hmong_20050210.1130-CE23
CE33	soc.culture.hmong_20050210.1130-CE24
CE34	soc.culture.hmong_20050210.1130-CE25
CE35	soc.culture.hmong_20050210.1130-CE26
CE36	soc.culture.hmong_20050210.1130-CE27
CE38	soc.culture.hmong_20050210.1130-CE28
CE39	soc.culture.hmong_20050210.1130-CE29
CE40	soc.culture.hmong_20050210.1130-CE30
CE42	soc.culture.hmong_20050210.1130-CE31
CE43	soc.culture.hmong_20050210.1130-CE32
CE44	soc.culture.hmong_20050210.1130-CE33
CE45	soc.culture.hmong_20050210.1130-CE34
CE47	soc.culture.hmong_20050210.1130-CE35
CE48	soc.culture.hmong_20050210.1130-CE36
CE50	soc.culture.hmong_20050210.1130-CE37
CE51	soc.culture.hmong_20050210.1130-CE38
CE52	soc.culture.hmong_20050210.1130-CE39
CE53	soc.culture.hmong_20050210.1130-CE40
CE55	soc.culture.hmong_20050210.1130-CE41
CE56	soc.culture.hmong_20050210.1130-CE42
CE57	soc.culture.hmong_20050210.1130-CE43
CE59	soc.culture.hmong_20050210.1130-CE44
CE61	soc.culture.hmong_20050210.1130-CE45
CE62	soc.culture.hmong_20050210.1130-CE46
CE2	soc.culture.hmong_20050210.1130-CE47
CE3	soc.culture.hmong_20050210.1130-CE48
CE4	soc.culture.hmong_20050210.1130-CE49
CE5	soc.culture.hmong_20050210.1130-CE50
CE6	soc.culture.hmong_20050210.1130-CE51
CE7	soc.culture.hmong_20050210.1130-CE52
