CE17	alt.politics_20050124.0640-CE1
CE18	alt.politics_20050124.0640-CE2
CE20	alt.politics_20050124.0640-CE3
CE21	alt.politics_20050124.0640-CE4
CE22	alt.politics_20050124.0640-CE5
CE23	alt.politics_20050124.0640-CE6
CE24	alt.politics_20050124.0640-CE7
CE25	alt.politics_20050124.0640-CE8
CE26	alt.politics_20050124.0640-CE9
CE27	alt.politics_20050124.0640-CE10
CE28	alt.politics_20050124.0640-CE11
CE29	alt.politics_20050124.0640-CE12
CE30	alt.politics_20050124.0640-CE13
CE31	alt.politics_20050124.0640-CE14
CE32	alt.politics_20050124.0640-CE15
CE34	alt.politics_20050124.0640-CE16
CE35	alt.politics_20050124.0640-CE17
CE37	alt.politics_20050124.0640-CE18
CE38	alt.politics_20050124.0640-CE19
CE39	alt.politics_20050124.0640-CE20
CE40	alt.politics_20050124.0640-CE21
CE41	alt.politics_20050124.0640-CE22
CE42	alt.politics_20050124.0640-CE23
CE44	alt.politics_20050124.0640-CE24
CE45	alt.politics_20050124.0640-CE25
CE46	alt.politics_20050124.0640-CE26
CE47	alt.politics_20050124.0640-CE27
CE48	alt.politics_20050124.0640-CE28
CE49	alt.politics_20050124.0640-CE29
CE50	alt.politics_20050124.0640-CE30
CE1	alt.politics_20050124.0640-CE31
CE51	alt.politics_20050124.0640-CE32
CE52	alt.politics_20050124.0640-CE33
CE58	alt.politics_20050124.0640-CE34
CE2	alt.politics_20050124.0640-CE35
CE4	alt.politics_20050124.0640-CE36
CE13	alt.politics_20050124.0640-CE37
CE14	alt.politics_20050124.0640-CE38
CE7	alt.politics_20050124.0640-CE39
CE8	alt.politics_20050124.0640-CE40
CE10	alt.politics_20050124.0640-CE41
CE11	alt.politics_20050124.0640-CE42
CE12	alt.politics_20050124.0640-CE43
E20	alt.politics_20050124.0640-E1
E21	alt.politics_20050124.0640-E2
E27	alt.politics_20050124.0640-E3
E29	alt.politics_20050124.0640-E4
E30	alt.politics_20050124.0640-E5
E32	alt.politics_20050124.0640-E6
E33	alt.politics_20050124.0640-E7
E34	alt.politics_20050124.0640-E8
E35	alt.politics_20050124.0640-E9
E36	alt.politics_20050124.0640-E10
E37	alt.politics_20050124.0640-E11
E38	alt.politics_20050124.0640-E12
E39	alt.politics_20050124.0640-E13
E40	alt.politics_20050124.0640-E14
E41	alt.politics_20050124.0640-E15
E42	alt.politics_20050124.0640-E16
E44	alt.politics_20050124.0640-E17
E45	alt.politics_20050124.0640-E18
E47	alt.politics_20050124.0640-E19
E48	alt.politics_20050124.0640-E20
E49	alt.politics_20050124.0640-E21
E1	alt.politics_20050124.0640-E22
