CE7	alt.support.divorce_20050113.2451-CE1
CE8	alt.support.divorce_20050113.2451-CE2
CE9	alt.support.divorce_20050113.2451-CE3
CE10	alt.support.divorce_20050113.2451-CE4
CE11	alt.support.divorce_20050113.2451-CE5
CE12	alt.support.divorce_20050113.2451-CE6
CE13	alt.support.divorce_20050113.2451-CE7
CE14	alt.support.divorce_20050113.2451-CE8
CE15	alt.support.divorce_20050113.2451-CE9
CE16	alt.support.divorce_20050113.2451-CE10
CE17	alt.support.divorce_20050113.2451-CE11
CE18	alt.support.divorce_20050113.2451-CE12
CE19	alt.support.divorce_20050113.2451-CE13
CE20	alt.support.divorce_20050113.2451-CE14
CE21	alt.support.divorce_20050113.2451-CE15
CE22	alt.support.divorce_20050113.2451-CE16
CE23	alt.support.divorce_20050113.2451-CE17
CE24	alt.support.divorce_20050113.2451-CE18
CE25	alt.support.divorce_20050113.2451-CE19
CE26	alt.support.divorce_20050113.2451-CE20
CE27	alt.support.divorce_20050113.2451-CE21
CE28	alt.support.divorce_20050113.2451-CE22
CE29	alt.support.divorce_20050113.2451-CE23
CE30	alt.support.divorce_20050113.2451-CE24
CE1	alt.support.divorce_20050113.2451-CE25
CE31	alt.support.divorce_20050113.2451-CE26
CE32	alt.support.divorce_20050113.2451-CE27
CE33	alt.support.divorce_20050113.2451-CE28
CE34	alt.support.divorce_20050113.2451-CE29
CE35	alt.support.divorce_20050113.2451-CE30
CE36	alt.support.divorce_20050113.2451-CE31
CE38	alt.support.divorce_20050113.2451-CE32
CE39	alt.support.divorce_20050113.2451-CE33
CE40	alt.support.divorce_20050113.2451-CE34
CE41	alt.support.divorce_20050113.2451-CE35
CE42	alt.support.divorce_20050113.2451-CE36
CE43	alt.support.divorce_20050113.2451-CE37
CE44	alt.support.divorce_20050113.2451-CE38
CE45	alt.support.divorce_20050113.2451-CE39
CE46	alt.support.divorce_20050113.2451-CE40
CE47	alt.support.divorce_20050113.2451-CE41
CE48	alt.support.divorce_20050113.2451-CE42
CE50	alt.support.divorce_20050113.2451-CE43
CE52	alt.support.divorce_20050113.2451-CE44
CE53	alt.support.divorce_20050113.2451-CE45
CE54	alt.support.divorce_20050113.2451-CE46
CE55	alt.support.divorce_20050113.2451-CE47
CE56	alt.support.divorce_20050113.2451-CE48
CE57	alt.support.divorce_20050113.2451-CE49
CE58	alt.support.divorce_20050113.2451-CE50
CE59	alt.support.divorce_20050113.2451-CE51
CE60	alt.support.divorce_20050113.2451-CE52
