CE13	soc.culture.jewish_20050130.2105-CE1
CE14	soc.culture.jewish_20050130.2105-CE2
CE15	soc.culture.jewish_20050130.2105-CE3
CE17	soc.culture.jewish_20050130.2105-CE4
CE18	soc.culture.jewish_20050130.2105-CE5
CE19	soc.culture.jewish_20050130.2105-CE6
CE22	soc.culture.jewish_20050130.2105-CE7
CE23	soc.culture.jewish_20050130.2105-CE8
CE24	soc.culture.jewish_20050130.2105-CE9
CE25	soc.culture.jewish_20050130.2105-CE10
CE26	soc.culture.jewish_20050130.2105-CE11
CE27	soc.culture.jewish_20050130.2105-CE12
CE28	soc.culture.jewish_20050130.2105-CE13
CE30	soc.culture.jewish_20050130.2105-CE14
CE32	soc.culture.jewish_20050130.2105-CE15
CE33	soc.culture.jewish_20050130.2105-CE16
CE34	soc.culture.jewish_20050130.2105-CE17
CE35	soc.culture.jewish_20050130.2105-CE18
CE36	soc.culture.jewish_20050130.2105-CE19
CE37	soc.culture.jewish_20050130.2105-CE20
CE38	soc.culture.jewish_20050130.2105-CE21
CE39	soc.culture.jewish_20050130.2105-CE22
CE1	soc.culture.jewish_20050130.2105-CE23
CE2	soc.culture.jewish_20050130.2105-CE24
CE3	soc.culture.jewish_20050130.2105-CE25
CE4	soc.culture.jewish_20050130.2105-CE26
CE5	soc.culture.jewish_20050130.2105-CE27
CE6	soc.culture.jewish_20050130.2105-CE28
CE7	soc.culture.jewish_20050130.2105-CE29
CE8	soc.culture.jewish_20050130.2105-CE30
CE9	soc.culture.jewish_20050130.2105-CE31
CE10	soc.culture.jewish_20050130.2105-CE32
CE11	soc.culture.jewish_20050130.2105-CE33
CE12	soc.culture.jewish_20050130.2105-CE34
E16	soc.culture.jewish_20050130.2105-E1
E17	soc.culture.jewish_20050130.2105-E2
E19	soc.culture.jewish_20050130.2105-E3
E21	soc.culture.jewish_20050130.2105-E4
E22	soc.culture.jewish_20050130.2105-E5
E23	soc.culture.jewish_20050130.2105-E6
E28	soc.culture.jewish_20050130.2105-E7
E30	soc.culture.jewish_20050130.2105-E8
E31	soc.culture.jewish_20050130.2105-E9
E32	soc.culture.jewish_20050130.2105-E10
E33	soc.culture.jewish_20050130.2105-E11
E34	soc.culture.jewish_20050130.2105-E12
E35	soc.culture.jewish_20050130.2105-E13
E36	soc.culture.jewish_20050130.2105-E14
E37	soc.culture.jewish_20050130.2105-E15
E40	soc.culture.jewish_20050130.2105-E16
E42	soc.culture.jewish_20050130.2105-E17
E43	soc.culture.jewish_20050130.2105-E18
E44	soc.culture.jewish_20050130.2105-E19
E45	soc.culture.jewish_20050130.2105-E20
E1	soc.culture.jewish_20050130.2105-E21
E46	soc.culture.jewish_20050130.2105-E22
E47	soc.culture.jewish_20050130.2105-E23
E48	soc.culture.jewish_20050130.2105-E24
E49	soc.culture.jewish_20050130.2105-E25
E50	soc.culture.jewish_20050130.2105-E26
E52	soc.culture.jewish_20050130.2105-E27
E2	soc.culture.jewish_20050130.2105-E28
E3	soc.culture.jewish_20050130.2105-E29
E4	soc.culture.jewish_20050130.2105-E30
E5	soc.culture.jewish_20050130.2105-E31
E6	soc.culture.jewish_20050130.2105-E32
E7	soc.culture.jewish_20050130.2105-E33
E9	soc.culture.jewish_20050130.2105-E34
E10	soc.culture.jewish_20050130.2105-E35
E11	soc.culture.jewish_20050130.2105-E36
E12	soc.culture.jewish_20050130.2105-E37
E13	soc.culture.jewish_20050130.2105-E38
E14	soc.culture.jewish_20050130.2105-E39
E15	soc.culture.jewish_20050130.2105-E40
EM1	soc.culture.jewish_20050130.2105-E21-1
EM17	soc.culture.jewish_20050130.2105-E2-2
EM18	soc.culture.jewish_20050130.2105-E3-3
EM20	soc.culture.jewish_20050130.2105-E4-4
EM21	soc.culture.jewish_20050130.2105-E5-5
EM22	soc.culture.jewish_20050130.2105-E21-6
EM23	soc.culture.jewish_20050130.2105-E39-7
EM24	soc.culture.jewish_20050130.2105-E39-8
EM25	soc.culture.jewish_20050130.2105-E6-9
EM29	soc.culture.jewish_20050130.2105-E7-10
EM30	soc.culture.jewish_20050130.2105-E8-11
EM31	soc.culture.jewish_20050130.2105-E9-12
EM32	soc.culture.jewish_20050130.2105-E10-13
EM33	soc.culture.jewish_20050130.2105-E11-14
EM34	soc.culture.jewish_20050130.2105-E13-15
