CE10	rec.music.phish_20041215.1554-CE1
CE11	rec.music.phish_20041215.1554-CE2
CE12	rec.music.phish_20041215.1554-CE3
CE13	rec.music.phish_20041215.1554-CE4
CE14	rec.music.phish_20041215.1554-CE5
CE15	rec.music.phish_20041215.1554-CE6
CE16	rec.music.phish_20041215.1554-CE7
CE17	rec.music.phish_20041215.1554-CE8
CE18	rec.music.phish_20041215.1554-CE9
CE19	rec.music.phish_20041215.1554-CE10
CE20	rec.music.phish_20041215.1554-CE11
CE22	rec.music.phish_20041215.1554-CE12
CE23	rec.music.phish_20041215.1554-CE13
CE24	rec.music.phish_20041215.1554-CE14
CE25	rec.music.phish_20041215.1554-CE15
CE26	rec.music.phish_20041215.1554-CE16
CE1	rec.music.phish_20041215.1554-CE17
CE2	rec.music.phish_20041215.1554-CE18
CE3	rec.music.phish_20041215.1554-CE19
CE4	rec.music.phish_20041215.1554-CE20
CE5	rec.music.phish_20041215.1554-CE21
CE6	rec.music.phish_20041215.1554-CE22
CE7	rec.music.phish_20041215.1554-CE23
CE8	rec.music.phish_20041215.1554-CE24
CE9	rec.music.phish_20041215.1554-CE25
E12	rec.music.phish_20041215.1554-E1
E13	rec.music.phish_20041215.1554-E2
E14	rec.music.phish_20041215.1554-E3
E15	rec.music.phish_20041215.1554-E4
E16	rec.music.phish_20041215.1554-E5
E17	rec.music.phish_20041215.1554-E6
E18	rec.music.phish_20041215.1554-E7
E19	rec.music.phish_20041215.1554-E8
E20	rec.music.phish_20041215.1554-E9
E21	rec.music.phish_20041215.1554-E10
E22	rec.music.phish_20041215.1554-E11
E23	rec.music.phish_20041215.1554-E12
E25	rec.music.phish_20041215.1554-E13
E26	rec.music.phish_20041215.1554-E14
E27	rec.music.phish_20041215.1554-E15
E28	rec.music.phish_20041215.1554-E16
E29	rec.music.phish_20041215.1554-E17
E30	rec.music.phish_20041215.1554-E18
E1	rec.music.phish_20041215.1554-E19
E2	rec.music.phish_20041215.1554-E20
E3	rec.music.phish_20041215.1554-E21
E4	rec.music.phish_20041215.1554-E22
E5	rec.music.phish_20041215.1554-E23
E6	rec.music.phish_20041215.1554-E24
E7	rec.music.phish_20041215.1554-E25
E8	rec.music.phish_20041215.1554-E26
E9	rec.music.phish_20041215.1554-E27
E10	rec.music.phish_20041215.1554-E28
E11	rec.music.phish_20041215.1554-E29
EM1	rec.music.phish_20041215.1554-E19-1
EM21	rec.music.phish_20041215.1554-E2-2
EM22	rec.music.phish_20041215.1554-E1-3
EM23	rec.music.phish_20041215.1554-E3-4
EM24	rec.music.phish_20041215.1554-E22-5
EM25	rec.music.phish_20041215.1554-E4-6
EM26	rec.music.phish_20041215.1554-E25-7
EM27	rec.music.phish_20041215.1554-E25-8
EM28	rec.music.phish_20041215.1554-E25-9
EM29	rec.music.phish_20041215.1554-E19-10
EM30	rec.music.phish_20041215.1554-E23-11
EM31	rec.music.phish_20041215.1554-E5-12
EM32	rec.music.phish_20041215.1554-E25-13
EM33	rec.music.phish_20041215.1554-E6-14
EM34	rec.music.phish_20041215.1554-E6-15
EM35	rec.music.phish_20041215.1554-E7-16
EM36	rec.music.phish_20041215.1554-E8-17
EM37	rec.music.phish_20041215.1554-E19-18
EM38	rec.music.phish_20041215.1554-E9-19
EM39	rec.music.phish_20041215.1554-E22-20
EM40	rec.music.phish_20041215.1554-E22-21
EM41	rec.music.phish_20041215.1554-E22-22
EM42	rec.music.phish_20041215.1554-E10-23
EM43	rec.music.phish_20041215.1554-E11-24
EM44	rec.music.phish_20041215.1554-E12-25
EM46	rec.music.phish_20041215.1554-E14-26
EM47	rec.music.phish_20041215.1554-E13-27
EM48	rec.music.phish_20041215.1554-E9-28
EM49	rec.music.phish_20041215.1554-E9-29
EM50	rec.music.phish_20041215.1554-E9-30
EM51	rec.music.phish_20041215.1554-E9-31
EM52	rec.music.phish_20041215.1554-E15-32
EM53	rec.music.phish_20041215.1554-E15-33
EM54	rec.music.phish_20041215.1554-E15-34
EM55	rec.music.phish_20041215.1554-E16-35
EM56	rec.music.phish_20041215.1554-E21-36
EM57	rec.music.phish_20041215.1554-E17-37
EM58	rec.music.phish_20041215.1554-E18-38
EM59	rec.music.phish_20041215.1554-E18-39
EM60	rec.music.phish_20041215.1554-E17-40
EM61	rec.music.phish_20041215.1554-E1-41
EM62	rec.music.phish_20041215.1554-E4-42
EM2	rec.music.phish_20041215.1554-E19-43
EM3	rec.music.phish_20041215.1554-E20-44
EM4	rec.music.phish_20041215.1554-E21-45
EM5	rec.music.phish_20041215.1554-E22-46
EM7	rec.music.phish_20041215.1554-E23-47
EM8	rec.music.phish_20041215.1554-E21-48
EM9	rec.music.phish_20041215.1554-E24-49
EM10	rec.music.phish_20041215.1554-E26-50
EM11	rec.music.phish_20041215.1554-E27-51
EM12	rec.music.phish_20041215.1554-E28-52
EM13	rec.music.phish_20041215.1554-E20-53
EM14	rec.music.phish_20041215.1554-E20-54
EM15	rec.music.phish_20041215.1554-E20-55
EM16	rec.music.phish_20041215.1554-E29-56
EM17	rec.music.phish_20041215.1554-E20-57
EM18	rec.music.phish_20041215.1554-E21-58
EM19	rec.music.phish_20041215.1554-E21-59
EM20	rec.music.phish_20041215.1554-E1-60
R2	rec.music.phish_20041215.1554-R1
R1	rec.music.phish_20041215.1554-R2
R2	rec.music.phish_20041215.1554-R3
R3	rec.music.phish_20041215.1554-R4
R5	rec.music.phish_20041215.1554-R5
RM1	rec.music.phish_20041215.1554-R2-1
RM2	rec.music.phish_20041215.1554-R3-1
RM3	rec.music.phish_20041215.1554-R3-2
RM4	rec.music.phish_20041215.1554-R4-1
RM6	rec.music.phish_20041215.1554-R5-1
V1	rec.music.phish_20041215.1554-EV1
V2	rec.music.phish_20041215.1554-EV2
V4	rec.music.phish_20041215.1554-EV3
VM1	rec.music.phish_20041215.1554-EV1-1
VM2	rec.music.phish_20041215.1554-EV2-1
VM4	rec.music.phish_20041215.1554-EV3-1
Q1	rec.music.phish_20041215.1554-T1
Q2	rec.music.phish_20041215.1554-T2
Q3	rec.music.phish_20041215.1554-T3
Q4	rec.music.phish_20041215.1554-T4
Q5	rec.music.phish_20041215.1554-T5
Q6	rec.music.phish_20041215.1554-T6
