CE12	aus.cars_20041206.0903-CE1
CE13	aus.cars_20041206.0903-CE2
CE14	aus.cars_20041206.0903-CE3
CE15	aus.cars_20041206.0903-CE4
CE16	aus.cars_20041206.0903-CE5
CE17	aus.cars_20041206.0903-CE6
CE18	aus.cars_20041206.0903-CE7
CE19	aus.cars_20041206.0903-CE8
CE20	aus.cars_20041206.0903-CE9
CE21	aus.cars_20041206.0903-CE10
CE23	aus.cars_20041206.0903-CE11
CE24	aus.cars_20041206.0903-CE12
CE25	aus.cars_20041206.0903-CE13
CE26	aus.cars_20041206.0903-CE14
CE28	aus.cars_20041206.0903-CE15
CE30	aus.cars_20041206.0903-CE16
CE31	aus.cars_20041206.0903-CE17
CE32	aus.cars_20041206.0903-CE18
CE34	aus.cars_20041206.0903-CE19
CE1	aus.cars_20041206.0903-CE20
CE35	aus.cars_20041206.0903-CE21
CE36	aus.cars_20041206.0903-CE22
CE37	aus.cars_20041206.0903-CE23
CE38	aus.cars_20041206.0903-CE24
CE39	aus.cars_20041206.0903-CE25
CE41	aus.cars_20041206.0903-CE26
CE42	aus.cars_20041206.0903-CE27
CE44	aus.cars_20041206.0903-CE28
CE45	aus.cars_20041206.0903-CE29
CE46	aus.cars_20041206.0903-CE30
CE47	aus.cars_20041206.0903-CE31
CE48	aus.cars_20041206.0903-CE32
CE49	aus.cars_20041206.0903-CE33
CE50	aus.cars_20041206.0903-CE34
CE51	aus.cars_20041206.0903-CE35
CE52	aus.cars_20041206.0903-CE36
CE53	aus.cars_20041206.0903-CE37
CE54	aus.cars_20041206.0903-CE38
CE55	aus.cars_20041206.0903-CE39
CE56	aus.cars_20041206.0903-CE40
CE2	aus.cars_20041206.0903-CE41
CE3	aus.cars_20041206.0903-CE42
CE6	aus.cars_20041206.0903-CE43
CE7	aus.cars_20041206.0903-CE44
CE8	aus.cars_20041206.0903-CE45
CE9	aus.cars_20041206.0903-CE46
CE10	aus.cars_20041206.0903-CE47
E12	aus.cars_20041206.0903-E1
E13	aus.cars_20041206.0903-E2
E14	aus.cars_20041206.0903-E3
E15	aus.cars_20041206.0903-E4
E16	aus.cars_20041206.0903-E5
E17	aus.cars_20041206.0903-E6
E18	aus.cars_20041206.0903-E7
E19	aus.cars_20041206.0903-E8
