CE8	misc.kids.pregnancy_20050120.0404-CE1
CE10	misc.kids.pregnancy_20050120.0404-CE2
CE11	misc.kids.pregnancy_20050120.0404-CE3
CE12	misc.kids.pregnancy_20050120.0404-CE4
CE13	misc.kids.pregnancy_20050120.0404-CE5
CE14	misc.kids.pregnancy_20050120.0404-CE6
CE15	misc.kids.pregnancy_20050120.0404-CE7
CE16	misc.kids.pregnancy_20050120.0404-CE8
CE17	misc.kids.pregnancy_20050120.0404-CE9
CE1	misc.kids.pregnancy_20050120.0404-CE10
CE2	misc.kids.pregnancy_20050120.0404-CE11
CE3	misc.kids.pregnancy_20050120.0404-CE12
CE4	misc.kids.pregnancy_20050120.0404-CE13
CE5	misc.kids.pregnancy_20050120.0404-CE14
CE7	misc.kids.pregnancy_20050120.0404-CE15
E8	misc.kids.pregnancy_20050120.0404-E1
E9	misc.kids.pregnancy_20050120.0404-E2
E12	misc.kids.pregnancy_20050120.0404-E3
E13	misc.kids.pregnancy_20050120.0404-E4
E14	misc.kids.pregnancy_20050120.0404-E5
E15	misc.kids.pregnancy_20050120.0404-E6
E16	misc.kids.pregnancy_20050120.0404-E7
E17	misc.kids.pregnancy_20050120.0404-E8
E18	misc.kids.pregnancy_20050120.0404-E9
E19	misc.kids.pregnancy_20050120.0404-E10
E21	misc.kids.pregnancy_20050120.0404-E11
E22	misc.kids.pregnancy_20050120.0404-E12
E1	misc.kids.pregnancy_20050120.0404-E13
E2	misc.kids.pregnancy_20050120.0404-E14
E3	misc.kids.pregnancy_20050120.0404-E15
E4	misc.kids.pregnancy_20050120.0404-E16
E5	misc.kids.pregnancy_20050120.0404-E17
E7	misc.kids.pregnancy_20050120.0404-E18
EM1	misc.kids.pregnancy_20050120.0404-E13-1
EM24	misc.kids.pregnancy_20050120.0404-E16-2
EM25	misc.kids.pregnancy_20050120.0404-E13-3
EM26	misc.kids.pregnancy_20050120.0404-E13-4
EM27	misc.kids.pregnancy_20050120.0404-E1-5
EM28	misc.kids.pregnancy_20050120.0404-E2-6
EM29	misc.kids.pregnancy_20050120.0404-E13-7
EM30	misc.kids.pregnancy_20050120.0404-E13-8
EM32	misc.kids.pregnancy_20050120.0404-E3-9
EM33	misc.kids.pregnancy_20050120.0404-E4-10
EM34	misc.kids.pregnancy_20050120.0404-E5-11
EM35	misc.kids.pregnancy_20050120.0404-E5-12
EM36	misc.kids.pregnancy_20050120.0404-E5-13
EM37	misc.kids.pregnancy_20050120.0404-E5-14
EM38	misc.kids.pregnancy_20050120.0404-E5-15
