CE11	soc.culture.china_20050203.0639-CE1
CE12	soc.culture.china_20050203.0639-CE2
CE14	soc.culture.china_20050203.0639-CE3
CE15	soc.culture.china_20050203.0639-CE4
CE16	soc.culture.china_20050203.0639-CE5
CE17	soc.culture.china_20050203.0639-CE6
CE18	soc.culture.china_20050203.0639-CE7
CE19	soc.culture.china_20050203.0639-CE8
CE20	soc.culture.china_20050203.0639-CE9
CE21	soc.culture.china_20050203.0639-CE10
CE22	soc.culture.china_20050203.0639-CE11
CE23	soc.culture.china_20050203.0639-CE12
CE24	soc.culture.china_20050203.0639-CE13
CE25	soc.culture.china_20050203.0639-CE14
CE26	soc.culture.china_20050203.0639-CE15
CE27	soc.culture.china_20050203.0639-CE16
CE28	soc.culture.china_20050203.0639-CE17
CE29	soc.culture.china_20050203.0639-CE18
CE30	soc.culture.china_20050203.0639-CE19
CE31	soc.culture.china_20050203.0639-CE20
CE33	soc.culture.china_20050203.0639-CE21
CE34	soc.culture.china_20050203.0639-CE22
CE35	soc.culture.china_20050203.0639-CE23
CE36	soc.culture.china_20050203.0639-CE24
CE1	soc.culture.china_20050203.0639-CE25
CE37	soc.culture.china_20050203.0639-CE26
CE38	soc.culture.china_20050203.0639-CE27
CE39	soc.culture.china_20050203.0639-CE28
CE40	soc.culture.china_20050203.0639-CE29
CE41	soc.culture.china_20050203.0639-CE30
CE42	soc.culture.china_20050203.0639-CE31
CE43	soc.culture.china_20050203.0639-CE32
CE44	soc.culture.china_20050203.0639-CE33
CE45	soc.culture.china_20050203.0639-CE34
CE46	soc.culture.china_20050203.0639-CE35
CE47	soc.culture.china_20050203.0639-CE36
CE48	soc.culture.china_20050203.0639-CE37
CE49	soc.culture.china_20050203.0639-CE38
CE50	soc.culture.china_20050203.0639-CE39
CE51	soc.culture.china_20050203.0639-CE40
CE52	soc.culture.china_20050203.0639-CE41
CE2	soc.culture.china_20050203.0639-CE42
CE3	soc.culture.china_20050203.0639-CE43
CE4	soc.culture.china_20050203.0639-CE44
CE5	soc.culture.china_20050203.0639-CE45
CE7	soc.culture.china_20050203.0639-CE46
CE9	soc.culture.china_20050203.0639-CE47
CE10	soc.culture.china_20050203.0639-CE48
E15	soc.culture.china_20050203.0639-E1
E16	soc.culture.china_20050203.0639-E2
E17	soc.culture.china_20050203.0639-E3
E18	soc.culture.china_20050203.0639-E4
E19	soc.culture.china_20050203.0639-E5
E21	soc.culture.china_20050203.0639-E6
E22	soc.culture.china_20050203.0639-E7
E23	soc.culture.china_20050203.0639-E8
E25	soc.culture.china_20050203.0639-E9
E26	soc.culture.china_20050203.0639-E10
E27	soc.culture.china_20050203.0639-E11
E28	soc.culture.china_20050203.0639-E12
E29	soc.culture.china_20050203.0639-E13
E30	soc.culture.china_20050203.0639-E14
E31	soc.culture.china_20050203.0639-E15
E32	soc.culture.china_20050203.0639-E16
E33	soc.culture.china_20050203.0639-E17
E34	soc.culture.china_20050203.0639-E18
E35	soc.culture.china_20050203.0639-E19
E36	soc.culture.china_20050203.0639-E20
E37	soc.culture.china_20050203.0639-E21
E38	soc.culture.china_20050203.0639-E22
E39	soc.culture.china_20050203.0639-E23
E1	soc.culture.china_20050203.0639-E24
E40	soc.culture.china_20050203.0639-E25
E41	soc.culture.china_20050203.0639-E26
E43	soc.culture.china_20050203.0639-E27
E44	soc.culture.china_20050203.0639-E28
E45	soc.culture.china_20050203.0639-E29
E46	soc.culture.china_20050203.0639-E30
E47	soc.culture.china_20050203.0639-E31
E48	soc.culture.china_20050203.0639-E32
E49	soc.culture.china_20050203.0639-E33
E50	soc.culture.china_20050203.0639-E34
E51	soc.culture.china_20050203.0639-E35
E52	soc.culture.china_20050203.0639-E36
E53	soc.culture.china_20050203.0639-E37
E54	soc.culture.china_20050203.0639-E38
E55	soc.culture.china_20050203.0639-E39
E56	soc.culture.china_20050203.0639-E40
E57	soc.culture.china_20050203.0639-E41
