CE8	misc.legal.moderated_20041202.1648-CE1
CE9	misc.legal.moderated_20041202.1648-CE2
CE10	misc.legal.moderated_20041202.1648-CE3
CE11	misc.legal.moderated_20041202.1648-CE4
CE12	misc.legal.moderated_20041202.1648-CE5
CE13	misc.legal.moderated_20041202.1648-CE6
CE14	misc.legal.moderated_20041202.1648-CE7
CE15	misc.legal.moderated_20041202.1648-CE8
CE16	misc.legal.moderated_20041202.1648-CE9
CE17	misc.legal.moderated_20041202.1648-CE10
CE18	misc.legal.moderated_20041202.1648-CE11
CE19	misc.legal.moderated_20041202.1648-CE12
CE20	misc.legal.moderated_20041202.1648-CE13
CE21	misc.legal.moderated_20041202.1648-CE14
CE22	misc.legal.moderated_20041202.1648-CE15
CE23	misc.legal.moderated_20041202.1648-CE16
CE1	misc.legal.moderated_20041202.1648-CE17
CE24	misc.legal.moderated_20041202.1648-CE18
CE25	misc.legal.moderated_20041202.1648-CE19
CE26	misc.legal.moderated_20041202.1648-CE20
CE27	misc.legal.moderated_20041202.1648-CE21
CE28	misc.legal.moderated_20041202.1648-CE22
CE29	misc.legal.moderated_20041202.1648-CE23
CE30	misc.legal.moderated_20041202.1648-CE24
CE31	misc.legal.moderated_20041202.1648-CE25
CE32	misc.legal.moderated_20041202.1648-CE26
CE34	misc.legal.moderated_20041202.1648-CE27
CE35	misc.legal.moderated_20041202.1648-CE28
CE36	misc.legal.moderated_20041202.1648-CE29
CE37	misc.legal.moderated_20041202.1648-CE30
CE38	misc.legal.moderated_20041202.1648-CE31
CE39	misc.legal.moderated_20041202.1648-CE32
CE2	misc.legal.moderated_20041202.1648-CE33
CE3	misc.legal.moderated_20041202.1648-CE34
CE4	misc.legal.moderated_20041202.1648-CE35
CE5	misc.legal.moderated_20041202.1648-CE36
CE6	misc.legal.moderated_20041202.1648-CE37
CE7	misc.legal.moderated_20041202.1648-CE38
E10	misc.legal.moderated_20041202.1648-E1
E11	misc.legal.moderated_20041202.1648-E2
E12	misc.legal.moderated_20041202.1648-E3
E13	misc.legal.moderated_20041202.1648-E4
E14	misc.legal.moderated_20041202.1648-E5
E15	misc.legal.moderated_20041202.1648-E6
E16	misc.legal.moderated_20041202.1648-E7
E17	misc.legal.moderated_20041202.1648-E8
E18	misc.legal.moderated_20041202.1648-E9
E19	misc.legal.moderated_20041202.1648-E10
E20	misc.legal.moderated_20041202.1648-E11
E21	misc.legal.moderated_20041202.1648-E12
E22	misc.legal.moderated_20041202.1648-E13
E1	misc.legal.moderated_20041202.1648-E14
E23	misc.legal.moderated_20041202.1648-E15
E24	misc.legal.moderated_20041202.1648-E16
E25	misc.legal.moderated_20041202.1648-E17
E26	misc.legal.moderated_20041202.1648-E18
E27	misc.legal.moderated_20041202.1648-E19
E28	misc.legal.moderated_20041202.1648-E20
E29	misc.legal.moderated_20041202.1648-E21
E30	misc.legal.moderated_20041202.1648-E22
E31	misc.legal.moderated_20041202.1648-E23
E32	misc.legal.moderated_20041202.1648-E24
E33	misc.legal.moderated_20041202.1648-E25
E34	misc.legal.moderated_20041202.1648-E26
E35	misc.legal.moderated_20041202.1648-E27
E36	misc.legal.moderated_20041202.1648-E28
E37	misc.legal.moderated_20041202.1648-E29
E38	misc.legal.moderated_20041202.1648-E30
E39	misc.legal.moderated_20041202.1648-E31
E40	misc.legal.moderated_20041202.1648-E32
E41	misc.legal.moderated_20041202.1648-E33
E42	misc.legal.moderated_20041202.1648-E34
E45	misc.legal.moderated_20041202.1648-E35
E2	misc.legal.moderated_20041202.1648-E36
E47	misc.legal.moderated_20041202.1648-E37
E48	misc.legal.moderated_20041202.1648-E38
E49	misc.legal.moderated_20041202.1648-E39
E50	misc.legal.moderated_20041202.1648-E40
E51	misc.legal.moderated_20041202.1648-E41
E52	misc.legal.moderated_20041202.1648-E42
E3	misc.legal.moderated_20041202.1648-E43
E4	misc.legal.moderated_20041202.1648-E44
E5	misc.legal.moderated_20041202.1648-E45
E6	misc.legal.moderated_20041202.1648-E46
E7	misc.legal.moderated_20041202.1648-E47
E8	misc.legal.moderated_20041202.1648-E48
E9	misc.legal.moderated_20041202.1648-E49
EM1	misc.legal.moderated_20041202.1648-E14-1
EM22	misc.legal.moderated_20041202.1648-E36-2
EM23	misc.legal.moderated_20041202.1648-E36-3
EM24	misc.legal.moderated_20041202.1648-E44-4
EM25	misc.legal.moderated_20041202.1648-E44-5
EM26	misc.legal.moderated_20041202.1648-E43-6
EM27	misc.legal.moderated_20041202.1648-E36-7
EM28	misc.legal.moderated_20041202.1648-E43-8
EM29	misc.legal.moderated_20041202.1648-E36-9
EM30	misc.legal.moderated_20041202.1648-E36-10
EM31	misc.legal.moderated_20041202.1648-E14-11
EM32	misc.legal.moderated_20041202.1648-E43-12
EM33	misc.legal.moderated_20041202.1648-E36-13
EM34	misc.legal.moderated_20041202.1648-E14-14
EM35	misc.legal.moderated_20041202.1648-E36-15
EM36	misc.legal.moderated_20041202.1648-E44-16
EM37	misc.legal.moderated_20041202.1648-E14-17
EM38	misc.legal.moderated_20041202.1648-E1-18
EM39	misc.legal.moderated_20041202.1648-E36-19
EM40	misc.legal.moderated_20041202.1648-E2-20
EM41	misc.legal.moderated_20041202.1648-E3-21
EM42	misc.legal.moderated_20041202.1648-E4-22
EM43	misc.legal.moderated_20041202.1648-E14-23
EM44	misc.legal.moderated_20041202.1648-E14-24
EM45	misc.legal.moderated_20041202.1648-E14-25
EM46	misc.legal.moderated_20041202.1648-E5-26
EM47	misc.legal.moderated_20041202.1648-E14-27
EM48	misc.legal.moderated_20041202.1648-E6-28
EM49	misc.legal.moderated_20041202.1648-E7-29
EM50	misc.legal.moderated_20041202.1648-E36-30
EM51	misc.legal.moderated_20041202.1648-E36-31
EM52	misc.legal.moderated_20041202.1648-E8-32
EM53	misc.legal.moderated_20041202.1648-E36-33
EM54	misc.legal.moderated_20041202.1648-E9-34
EM55	misc.legal.moderated_20041202.1648-E36-35
EM56	misc.legal.moderated_20041202.1648-E9-36
EM57	misc.legal.moderated_20041202.1648-E10-37
EM58	misc.legal.moderated_20041202.1648-E9-38
EM59	misc.legal.moderated_20041202.1648-E36-39
EM60	misc.legal.moderated_20041202.1648-E11-40
EM61	misc.legal.moderated_20041202.1648-E36-41
EM62	misc.legal.moderated_20041202.1648-E36-42
EM63	misc.legal.moderated_20041202.1648-E12-43
EM64	misc.legal.moderated_20041202.1648-E36-44
EM65	misc.legal.moderated_20041202.1648-E13-45
EM67	misc.legal.moderated_20041202.1648-E43-46
EM68	misc.legal.moderated_20041202.1648-E44-47
EM69	misc.legal.moderated_20041202.1648-E36-48
EM70	misc.legal.moderated_20041202.1648-E15-49
EM71	misc.legal.moderated_20041202.1648-E16-50
EM72	misc.legal.moderated_20041202.1648-E17-51
EM73	misc.legal.moderated_20041202.1648-E18-52
EM74	misc.legal.moderated_20041202.1648-E36-53
EM75	misc.legal.moderated_20041202.1648-E15-54
EM76	misc.legal.moderated_20041202.1648-E15-55
EM77	misc.legal.moderated_20041202.1648-E19-56
EM78	misc.legal.moderated_20041202.1648-E17-57
EM79	misc.legal.moderated_20041202.1648-E20-58
EM80	misc.legal.moderated_20041202.1648-E36-59
EM81	misc.legal.moderated_20041202.1648-E21-60
EM82	misc.legal.moderated_20041202.1648-E22-61
EM83	misc.legal.moderated_20041202.1648-E36-62
EM84	misc.legal.moderated_20041202.1648-E43-63
EM85	misc.legal.moderated_20041202.1648-E36-64
EM86	misc.legal.moderated_20041202.1648-E36-65
EM87	misc.legal.moderated_20041202.1648-E36-66
EM88	misc.legal.moderated_20041202.1648-E14-67
EM89	misc.legal.moderated_20041202.1648-E23-68
EM90	misc.legal.moderated_20041202.1648-E24-69
EM91	misc.legal.moderated_20041202.1648-E36-70
EM92	misc.legal.moderated_20041202.1648-E15-71
EM93	misc.legal.moderated_20041202.1648-E36-72
EM94	misc.legal.moderated_20041202.1648-E15-73
EM95	misc.legal.moderated_20041202.1648-E15-74
EM96	misc.legal.moderated_20041202.1648-E36-75
EM97	misc.legal.moderated_20041202.1648-E36-76
EM98	misc.legal.moderated_20041202.1648-E44-77
EM99	misc.legal.moderated_20041202.1648-E15-78
EM100	misc.legal.moderated_20041202.1648-E36-79
EM101	misc.legal.moderated_20041202.1648-E36-80
EM102	misc.legal.moderated_20041202.1648-E43-81
EM103	misc.legal.moderated_20041202.1648-E25-82
EM104	misc.legal.moderated_20041202.1648-E25-83
EM105	misc.legal.moderated_20041202.1648-E25-84
EM106	misc.legal.moderated_20041202.1648-E26-85
EM107	misc.legal.moderated_20041202.1648-E26-86
EM108	misc.legal.moderated_20041202.1648-E25-87
EM109	misc.legal.moderated_20041202.1648-E27-88
EM110	misc.legal.moderated_20041202.1648-E28-89
EM111	misc.legal.moderated_20041202.1648-E27-90
EM112	misc.legal.moderated_20041202.1648-E36-91
EM113	misc.legal.moderated_20041202.1648-E36-92
EM114	misc.legal.moderated_20041202.1648-E29-93
EM115	misc.legal.moderated_20041202.1648-E30-94
EM116	misc.legal.moderated_20041202.1648-E27-95
EM2	misc.legal.moderated_20041202.1648-E36-96
EM117	misc.legal.moderated_20041202.1648-E36-97
EM118	misc.legal.moderated_20041202.1648-E27-98
EM119	misc.legal.moderated_20041202.1648-E36-99
EM120	misc.legal.moderated_20041202.1648-E31-100
EM121	misc.legal.moderated_20041202.1648-E36-101
EM122	misc.legal.moderated_20041202.1648-E31-102
