CE7	alt.gossip.celebrities_20041118.2331-CE1
CE8	alt.gossip.celebrities_20041118.2331-CE2
CE9	alt.gossip.celebrities_20041118.2331-CE3
CE10	alt.gossip.celebrities_20041118.2331-CE4
CE11	alt.gossip.celebrities_20041118.2331-CE5
CE12	alt.gossip.celebrities_20041118.2331-CE6
CE13	alt.gossip.celebrities_20041118.2331-CE7
CE14	alt.gossip.celebrities_20041118.2331-CE8
CE15	alt.gossip.celebrities_20041118.2331-CE9
CE16	alt.gossip.celebrities_20041118.2331-CE10
CE17	alt.gossip.celebrities_20041118.2331-CE11
CE18	alt.gossip.celebrities_20041118.2331-CE12
CE19	alt.gossip.celebrities_20041118.2331-CE13
CE20	alt.gossip.celebrities_20041118.2331-CE14
CE21	alt.gossip.celebrities_20041118.2331-CE15
CE22	alt.gossip.celebrities_20041118.2331-CE16
CE23	alt.gossip.celebrities_20041118.2331-CE17
CE24	alt.gossip.celebrities_20041118.2331-CE18
CE25	alt.gossip.celebrities_20041118.2331-CE19
CE1	alt.gossip.celebrities_20041118.2331-CE20
CE26	alt.gossip.celebrities_20041118.2331-CE21
CE27	alt.gossip.celebrities_20041118.2331-CE22
CE2	alt.gossip.celebrities_20041118.2331-CE23
CE3	alt.gossip.celebrities_20041118.2331-CE24
CE4	alt.gossip.celebrities_20041118.2331-CE25
CE5	alt.gossip.celebrities_20041118.2331-CE26
CE6	alt.gossip.celebrities_20041118.2331-CE27
E9	alt.gossip.celebrities_20041118.2331-E1
E10	alt.gossip.celebrities_20041118.2331-E2
E11	alt.gossip.celebrities_20041118.2331-E3
E12	alt.gossip.celebrities_20041118.2331-E4
E13	alt.gossip.celebrities_20041118.2331-E5
E14	alt.gossip.celebrities_20041118.2331-E6
E15	alt.gossip.celebrities_20041118.2331-E7
E16	alt.gossip.celebrities_20041118.2331-E8
E17	alt.gossip.celebrities_20041118.2331-E9
E19	alt.gossip.celebrities_20041118.2331-E10
E20	alt.gossip.celebrities_20041118.2331-E11
E21	alt.gossip.celebrities_20041118.2331-E12
E22	alt.gossip.celebrities_20041118.2331-E13
E23	alt.gossip.celebrities_20041118.2331-E14
E24	alt.gossip.celebrities_20041118.2331-E15
E25	alt.gossip.celebrities_20041118.2331-E16
E26	alt.gossip.celebrities_20041118.2331-E17
E27	alt.gossip.celebrities_20041118.2331-E18
E28	alt.gossip.celebrities_20041118.2331-E19
E29	alt.gossip.celebrities_20041118.2331-E20
E30	alt.gossip.celebrities_20041118.2331-E21
E1	alt.gossip.celebrities_20041118.2331-E22
E32	alt.gossip.celebrities_20041118.2331-E23
