CE13	rec.travel.cruises_20050216.1636-CE1
CE14	rec.travel.cruises_20050216.1636-CE2
CE15	rec.travel.cruises_20050216.1636-CE3
CE16	rec.travel.cruises_20050216.1636-CE4
CE17	rec.travel.cruises_20050216.1636-CE5
CE18	rec.travel.cruises_20050216.1636-CE6
CE19	rec.travel.cruises_20050216.1636-CE7
CE20	rec.travel.cruises_20050216.1636-CE8
CE22	rec.travel.cruises_20050216.1636-CE9
CE23	rec.travel.cruises_20050216.1636-CE10
CE24	rec.travel.cruises_20050216.1636-CE11
CE25	rec.travel.cruises_20050216.1636-CE12
CE26	rec.travel.cruises_20050216.1636-CE13
CE27	rec.travel.cruises_20050216.1636-CE14
CE28	rec.travel.cruises_20050216.1636-CE15
CE29	rec.travel.cruises_20050216.1636-CE16
CE30	rec.travel.cruises_20050216.1636-CE17
CE31	rec.travel.cruises_20050216.1636-CE18
CE32	rec.travel.cruises_20050216.1636-CE19
CE33	rec.travel.cruises_20050216.1636-CE20
CE34	rec.travel.cruises_20050216.1636-CE21
CE35	rec.travel.cruises_20050216.1636-CE22
CE36	rec.travel.cruises_20050216.1636-CE23
CE1	rec.travel.cruises_20050216.1636-CE24
CE37	rec.travel.cruises_20050216.1636-CE25
CE38	rec.travel.cruises_20050216.1636-CE26
CE39	rec.travel.cruises_20050216.1636-CE27
CE2	rec.travel.cruises_20050216.1636-CE28
CE3	rec.travel.cruises_20050216.1636-CE29
CE4	rec.travel.cruises_20050216.1636-CE30
CE5	rec.travel.cruises_20050216.1636-CE31
CE6	rec.travel.cruises_20050216.1636-CE32
CE7	rec.travel.cruises_20050216.1636-CE33
CE8	rec.travel.cruises_20050216.1636-CE34
CE9	rec.travel.cruises_20050216.1636-CE35
CE10	rec.travel.cruises_20050216.1636-CE36
CE11	rec.travel.cruises_20050216.1636-CE37
CE12	rec.travel.cruises_20050216.1636-CE38
E15	rec.travel.cruises_20050216.1636-E1
E16	rec.travel.cruises_20050216.1636-E2
E17	rec.travel.cruises_20050216.1636-E3
E18	rec.travel.cruises_20050216.1636-E4
E19	rec.travel.cruises_20050216.1636-E5
E20	rec.travel.cruises_20050216.1636-E6
E21	rec.travel.cruises_20050216.1636-E7
E22	rec.travel.cruises_20050216.1636-E8
E23	rec.travel.cruises_20050216.1636-E9
E24	rec.travel.cruises_20050216.1636-E10
E25	rec.travel.cruises_20050216.1636-E11
E27	rec.travel.cruises_20050216.1636-E12
E28	rec.travel.cruises_20050216.1636-E13
E29	rec.travel.cruises_20050216.1636-E14
E30	rec.travel.cruises_20050216.1636-E15
E31	rec.travel.cruises_20050216.1636-E16
E32	rec.travel.cruises_20050216.1636-E17
E33	rec.travel.cruises_20050216.1636-E18
E34	rec.travel.cruises_20050216.1636-E19
E35	rec.travel.cruises_20050216.1636-E20
E1	rec.travel.cruises_20050216.1636-E21
E36	rec.travel.cruises_20050216.1636-E22
E37	rec.travel.cruises_20050216.1636-E23
E38	rec.travel.cruises_20050216.1636-E24
E39	rec.travel.cruises_20050216.1636-E25
E40	rec.travel.cruises_20050216.1636-E26
E41	rec.travel.cruises_20050216.1636-E27
E42	rec.travel.cruises_20050216.1636-E28
E43	rec.travel.cruises_20050216.1636-E29
E44	rec.travel.cruises_20050216.1636-E30
E45	rec.travel.cruises_20050216.1636-E31
E46	rec.travel.cruises_20050216.1636-E32
E47	rec.travel.cruises_20050216.1636-E33
E49	rec.travel.cruises_20050216.1636-E34
E2	rec.travel.cruises_20050216.1636-E35
E3	rec.travel.cruises_20050216.1636-E36
E4	rec.travel.cruises_20050216.1636-E37
E5	rec.travel.cruises_20050216.1636-E38
E6	rec.travel.cruises_20050216.1636-E39
E7	rec.travel.cruises_20050216.1636-E40
E8	rec.travel.cruises_20050216.1636-E41
E9	rec.travel.cruises_20050216.1636-E42
E11	rec.travel.cruises_20050216.1636-E43
E12	rec.travel.cruises_20050216.1636-E44
E13	rec.travel.cruises_20050216.1636-E45
E14	rec.travel.cruises_20050216.1636-E46
EM1	rec.travel.cruises_20050216.1636-E21-1
EM19	rec.travel.cruises_20050216.1636-E2-2
EM20	rec.travel.cruises_20050216.1636-E3-3
EM21	rec.travel.cruises_20050216.1636-E4-4
EM22	rec.travel.cruises_20050216.1636-E5-5
EM23	rec.travel.cruises_20050216.1636-E5-6
EM24	rec.travel.cruises_20050216.1636-E44-7
EM25	rec.travel.cruises_20050216.1636-E5-8
EM26	rec.travel.cruises_20050216.1636-E6-9
