CE14	XIN_ENG_20030314.0208-CE1
CE15	XIN_ENG_20030314.0208-CE2
CE16	XIN_ENG_20030314.0208-CE3
CE17	XIN_ENG_20030314.0208-CE4
CE18	XIN_ENG_20030314.0208-CE5
CE19	XIN_ENG_20030314.0208-CE6
CE20	XIN_ENG_20030314.0208-CE7
CE21	XIN_ENG_20030314.0208-CE8
CE22	XIN_ENG_20030314.0208-CE9
CE1	XIN_ENG_20030314.0208-CE10
CE2	XIN_ENG_20030314.0208-CE11
CE3	XIN_ENG_20030314.0208-CE12
CE4	XIN_ENG_20030314.0208-CE13
CE5	XIN_ENG_20030314.0208-CE14
CE6	XIN_ENG_20030314.0208-CE15
CE7	XIN_ENG_20030314.0208-CE16
CE8	XIN_ENG_20030314.0208-CE17
CE9	XIN_ENG_20030314.0208-CE18
CE10	XIN_ENG_20030314.0208-CE19
CE11	XIN_ENG_20030314.0208-CE20
CE12	XIN_ENG_20030314.0208-CE21
CE13	XIN_ENG_20030314.0208-CE22
E17	XIN_ENG_20030314.0208-E1
E19	XIN_ENG_20030314.0208-E2
E20	XIN_ENG_20030314.0208-E3
E21	XIN_ENG_20030314.0208-E4
E22	XIN_ENG_20030314.0208-E5
E23	XIN_ENG_20030314.0208-E6
E24	XIN_ENG_20030314.0208-E7
E25	XIN_ENG_20030314.0208-E8
E26	XIN_ENG_20030314.0208-E9
E27	XIN_ENG_20030314.0208-E10
E28	XIN_ENG_20030314.0208-E11
E1	XIN_ENG_20030314.0208-E12
E2	XIN_ENG_20030314.0208-E13
E3	XIN_ENG_20030314.0208-E14
E4	XIN_ENG_20030314.0208-E15
E6	XIN_ENG_20030314.0208-E16
E7	XIN_ENG_20030314.0208-E17
E8	XIN_ENG_20030314.0208-E18
E10	XIN_ENG_20030314.0208-E19
E11	XIN_ENG_20030314.0208-E20
E12	XIN_ENG_20030314.0208-E21
E13	XIN_ENG_20030314.0208-E22
E14	XIN_ENG_20030314.0208-E23
E15	XIN_ENG_20030314.0208-E24
E16	XIN_ENG_20030314.0208-E25
EM1	XIN_ENG_20030314.0208-E12-1
EM16	XIN_ENG_20030314.0208-E1-2
EM17	XIN_ENG_20030314.0208-E2-3
EM18	XIN_ENG_20030314.0208-E3-4
EM19	XIN_ENG_20030314.0208-E22-5
EM20	XIN_ENG_20030314.0208-E4-6
EM21	XIN_ENG_20030314.0208-E5-7
EM22	XIN_ENG_20030314.0208-E6-8
EM23	XIN_ENG_20030314.0208-E7-9
EM24	XIN_ENG_20030314.0208-E8-10
EM25	XIN_ENG_20030314.0208-E17-11
EM26	XIN_ENG_20030314.0208-E8-12
EM27	XIN_ENG_20030314.0208-E24-13
EM28	XIN_ENG_20030314.0208-E25-14
EM30	XIN_ENG_20030314.0208-E9-15
EM31	XIN_ENG_20030314.0208-E10-16
EM32	XIN_ENG_20030314.0208-E11-17
EM33	XIN_ENG_20030314.0208-E9-18
EM34	XIN_ENG_20030314.0208-E10-19
EM2	XIN_ENG_20030314.0208-E13-20
EM3	XIN_ENG_20030314.0208-E14-21
EM4	XIN_ENG_20030314.0208-E15-22
EM5	XIN_ENG_20030314.0208-E16-23
EM6	XIN_ENG_20030314.0208-E17-24
EM7	XIN_ENG_20030314.0208-E18-25
EM8	XIN_ENG_20030314.0208-E19-26
EM9	XIN_ENG_20030314.0208-E20-27
EM10	XIN_ENG_20030314.0208-E14-28
EM11	XIN_ENG_20030314.0208-E21-29
EM12	XIN_ENG_20030314.0208-E22-30
EM13	XIN_ENG_20030314.0208-E23-31
EM14	XIN_ENG_20030314.0208-E24-32
EM15	XIN_ENG_20030314.0208-E25-33
R1	XIN_ENG_20030314.0208-R1
R3	XIN_ENG_20030314.0208-R2
R4	XIN_ENG_20030314.0208-R3
R5	XIN_ENG_20030314.0208-R4
R6	XIN_ENG_20030314.0208-R5
RM1	XIN_ENG_20030314.0208-R1-1
RM3	XIN_ENG_20030314.0208-R2-1
RM4	XIN_ENG_20030314.0208-R3-1
RM5	XIN_ENG_20030314.0208-R4-1
RM6	XIN_ENG_20030314.0208-R5-1
V1	XIN_ENG_20030314.0208-EV1
V2	XIN_ENG_20030314.0208-EV2
V3	XIN_ENG_20030314.0208-EV3
V4	XIN_ENG_20030314.0208-EV4
VM1	XIN_ENG_20030314.0208-EV1-1
VM2	XIN_ENG_20030314.0208-EV1-2
VM3	XIN_ENG_20030314.0208-EV2-1
VM4	XIN_ENG_20030314.0208-EV1-3
VM5	XIN_ENG_20030314.0208-EV3-1
VM6	XIN_ENG_20030314.0208-EV4-1
VM7	XIN_ENG_20030314.0208-EV2-2
VM8	XIN_ENG_20030314.0208-EV3-2
VM9	XIN_ENG_20030314.0208-EV2-3
Q1	XIN_ENG_20030314.0208-T1
Q2	XIN_ENG_20030314.0208-T2
Q3	XIN_ENG_20030314.0208-T3
Q4	XIN_ENG_20030314.0208-T4
Q5	XIN_ENG_20030314.0208-T5
Q6	XIN_ENG_20030314.0208-V1
Q7	XIN_ENG_20030314.0208-V2
QM6	XIN_ENG_20030314.0208-V1-1
QM7	XIN_ENG_20030314.0208-V2-1
