CE10	XIN_ENG_20030513.0002-CE1
CE12	XIN_ENG_20030513.0002-CE2
CE13	XIN_ENG_20030513.0002-CE3
CE14	XIN_ENG_20030513.0002-CE4
CE15	XIN_ENG_20030513.0002-CE5
CE16	XIN_ENG_20030513.0002-CE6
CE17	XIN_ENG_20030513.0002-CE7
CE18	XIN_ENG_20030513.0002-CE8
CE19	XIN_ENG_20030513.0002-CE9
CE20	XIN_ENG_20030513.0002-CE10
CE21	XIN_ENG_20030513.0002-CE11
CE1	XIN_ENG_20030513.0002-CE12
CE2	XIN_ENG_20030513.0002-CE13
CE3	XIN_ENG_20030513.0002-CE14
CE4	XIN_ENG_20030513.0002-CE15
CE5	XIN_ENG_20030513.0002-CE16
CE6	XIN_ENG_20030513.0002-CE17
CE7	XIN_ENG_20030513.0002-CE18
CE8	XIN_ENG_20030513.0002-CE19
CE9	XIN_ENG_20030513.0002-CE20
E11	XIN_ENG_20030513.0002-E1
E12	XIN_ENG_20030513.0002-E2
E14	XIN_ENG_20030513.0002-E3
E15	XIN_ENG_20030513.0002-E4
E16	XIN_ENG_20030513.0002-E5
E17	XIN_ENG_20030513.0002-E6
E18	XIN_ENG_20030513.0002-E7
E19	XIN_ENG_20030513.0002-E8
E20	XIN_ENG_20030513.0002-E9
E22	XIN_ENG_20030513.0002-E10
E23	XIN_ENG_20030513.0002-E11
E24	XIN_ENG_20030513.0002-E12
E25	XIN_ENG_20030513.0002-E13
E26	XIN_ENG_20030513.0002-E14
E1	XIN_ENG_20030513.0002-E15
E2	XIN_ENG_20030513.0002-E16
E3	XIN_ENG_20030513.0002-E17
E4	XIN_ENG_20030513.0002-E18
E5	XIN_ENG_20030513.0002-E19
E6	XIN_ENG_20030513.0002-E20
E7	XIN_ENG_20030513.0002-E21
E8	XIN_ENG_20030513.0002-E22
E9	XIN_ENG_20030513.0002-E23
E10	XIN_ENG_20030513.0002-E24
EM1	XIN_ENG_20030513.0002-E15-1
EM21	XIN_ENG_20030513.0002-E1-2
EM22	XIN_ENG_20030513.0002-E20-3
EM23	XIN_ENG_20030513.0002-E17-4
EM24	XIN_ENG_20030513.0002-E20-5
EM25	XIN_ENG_20030513.0002-E2-6
EM26	XIN_ENG_20030513.0002-E20-7
EM28	XIN_ENG_20030513.0002-E3-8
EM29	XIN_ENG_20030513.0002-E4-9
EM30	XIN_ENG_20030513.0002-E5-10
EM31	XIN_ENG_20030513.0002-E6-11
EM32	XIN_ENG_20030513.0002-E23-12
EM33	XIN_ENG_20030513.0002-E23-13
EM34	XIN_ENG_20030513.0002-E7-14
EM35	XIN_ENG_20030513.0002-E8-15
EM36	XIN_ENG_20030513.0002-E7-16
EM37	XIN_ENG_20030513.0002-E17-17
EM38	XIN_ENG_20030513.0002-E17-18
EM39	XIN_ENG_20030513.0002-E8-19
EM40	XIN_ENG_20030513.0002-E9-20
EM41	XIN_ENG_20030513.0002-E23-21
EM42	XIN_ENG_20030513.0002-E17-22
EM43	XIN_ENG_20030513.0002-E10-23
EM44	XIN_ENG_20030513.0002-E11-24
EM45	XIN_ENG_20030513.0002-E17-25
EM46	XIN_ENG_20030513.0002-E19-26
EM47	XIN_ENG_20030513.0002-E19-27
EM48	XIN_ENG_20030513.0002-E12-28
EM49	XIN_ENG_20030513.0002-E13-29
EM50	XIN_ENG_20030513.0002-E14-30
EM51	XIN_ENG_20030513.0002-E17-31
EM2	XIN_ENG_20030513.0002-E16-32
EM3	XIN_ENG_20030513.0002-E17-33
EM4	XIN_ENG_20030513.0002-E17-34
EM5	XIN_ENG_20030513.0002-E17-35
EM6	XIN_ENG_20030513.0002-E18-36
EM7	XIN_ENG_20030513.0002-E19-37
EM8	XIN_ENG_20030513.0002-E20-38
EM9	XIN_ENG_20030513.0002-E17-39
EM10	XIN_ENG_20030513.0002-E17-40
EM11	XIN_ENG_20030513.0002-E21-41
EM12	XIN_ENG_20030513.0002-E21-42
EM13	XIN_ENG_20030513.0002-E21-43
EM14	XIN_ENG_20030513.0002-E17-44
EM15	XIN_ENG_20030513.0002-E22-45
EM16	XIN_ENG_20030513.0002-E19-46
EM17	XIN_ENG_20030513.0002-E23-47
EM18	XIN_ENG_20030513.0002-E23-48
EM19	XIN_ENG_20030513.0002-E24-49
EM20	XIN_ENG_20030513.0002-E23-50
R1	XIN_ENG_20030513.0002-R1
R2	XIN_ENG_20030513.0002-R2
R3	XIN_ENG_20030513.0002-R3
RM1	XIN_ENG_20030513.0002-R1-1
RM2	XIN_ENG_20030513.0002-R2-1
RM3	XIN_ENG_20030513.0002-R3-1
V1	XIN_ENG_20030513.0002-EV1
V2	XIN_ENG_20030513.0002-EV2
V3	XIN_ENG_20030513.0002-EV3
V4	XIN_ENG_20030513.0002-EV4
VM1	XIN_ENG_20030513.0002-EV1-1
VM2	XIN_ENG_20030513.0002-EV2-1
VM3	XIN_ENG_20030513.0002-EV1-2
VM4	XIN_ENG_20030513.0002-EV2-2
VM5	XIN_ENG_20030513.0002-EV3-1
VM6	XIN_ENG_20030513.0002-EV4-1
Q1	XIN_ENG_20030513.0002-T1
Q2	XIN_ENG_20030513.0002-T2
Q3	XIN_ENG_20030513.0002-T3
Q4	XIN_ENG_20030513.0002-T4
Q5	XIN_ENG_20030513.0002-T5
