CE14	AFP_ENG_20030327.0224-CE1
CE15	AFP_ENG_20030327.0224-CE2
CE16	AFP_ENG_20030327.0224-CE3
CE17	AFP_ENG_20030327.0224-CE4
CE18	AFP_ENG_20030327.0224-CE5
CE19	AFP_ENG_20030327.0224-CE6
CE20	AFP_ENG_20030327.0224-CE7
CE21	AFP_ENG_20030327.0224-CE8
CE22	AFP_ENG_20030327.0224-CE9
CE23	AFP_ENG_20030327.0224-CE10
CE24	AFP_ENG_20030327.0224-CE11
CE25	AFP_ENG_20030327.0224-CE12
CE26	AFP_ENG_20030327.0224-CE13
CE27	AFP_ENG_20030327.0224-CE14
CE28	AFP_ENG_20030327.0224-CE15
CE29	AFP_ENG_20030327.0224-CE16
CE30	AFP_ENG_20030327.0224-CE17
CE31	AFP_ENG_20030327.0224-CE18
CE32	AFP_ENG_20030327.0224-CE19
CE33	AFP_ENG_20030327.0224-CE20
CE34	AFP_ENG_20030327.0224-CE21
CE35	AFP_ENG_20030327.0224-CE22
CE36	AFP_ENG_20030327.0224-CE23
CE37	AFP_ENG_20030327.0224-CE24
CE38	AFP_ENG_20030327.0224-CE25
CE40	AFP_ENG_20030327.0224-CE26
CE41	AFP_ENG_20030327.0224-CE27
CE42	AFP_ENG_20030327.0224-CE28
CE1	AFP_ENG_20030327.0224-CE29
CE43	AFP_ENG_20030327.0224-CE30
CE44	AFP_ENG_20030327.0224-CE31
CE45	AFP_ENG_20030327.0224-CE32
CE46	AFP_ENG_20030327.0224-CE33
CE47	AFP_ENG_20030327.0224-CE34
CE48	AFP_ENG_20030327.0224-CE35
CE49	AFP_ENG_20030327.0224-CE36
CE50	AFP_ENG_20030327.0224-CE37
CE51	AFP_ENG_20030327.0224-CE38
CE52	AFP_ENG_20030327.0224-CE39
CE53	AFP_ENG_20030327.0224-CE40
CE54	AFP_ENG_20030327.0224-CE41
CE55	AFP_ENG_20030327.0224-CE42
CE56	AFP_ENG_20030327.0224-CE43
CE57	AFP_ENG_20030327.0224-CE44
CE58	AFP_ENG_20030327.0224-CE45
CE59	AFP_ENG_20030327.0224-CE46
CE60	AFP_ENG_20030327.0224-CE47
CE61	AFP_ENG_20030327.0224-CE48
CE62	AFP_ENG_20030327.0224-CE49
