CE12	APW_ENG_20030502.0470-CE1
CE13	APW_ENG_20030502.0470-CE2
CE14	APW_ENG_20030502.0470-CE3
CE15	APW_ENG_20030502.0470-CE4
CE16	APW_ENG_20030502.0470-CE5
CE17	APW_ENG_20030502.0470-CE6
CE18	APW_ENG_20030502.0470-CE7
CE19	APW_ENG_20030502.0470-CE8
CE20	APW_ENG_20030502.0470-CE9
CE21	APW_ENG_20030502.0470-CE10
CE22	APW_ENG_20030502.0470-CE11
CE23	APW_ENG_20030502.0470-CE12
CE24	APW_ENG_20030502.0470-CE13
CE25	APW_ENG_20030502.0470-CE14
CE26	APW_ENG_20030502.0470-CE15
CE1	APW_ENG_20030502.0470-CE16
CE27	APW_ENG_20030502.0470-CE17
CE28	APW_ENG_20030502.0470-CE18
CE30	APW_ENG_20030502.0470-CE19
CE31	APW_ENG_20030502.0470-CE20
CE32	APW_ENG_20030502.0470-CE21
CE33	APW_ENG_20030502.0470-CE22
CE34	APW_ENG_20030502.0470-CE23
CE35	APW_ENG_20030502.0470-CE24
CE36	APW_ENG_20030502.0470-CE25
CE37	APW_ENG_20030502.0470-CE26
CE38	APW_ENG_20030502.0470-CE27
CE39	APW_ENG_20030502.0470-CE28
CE40	APW_ENG_20030502.0470-CE29
CE41	APW_ENG_20030502.0470-CE30
CE42	APW_ENG_20030502.0470-CE31
CE43	APW_ENG_20030502.0470-CE32
CE44	APW_ENG_20030502.0470-CE33
CE45	APW_ENG_20030502.0470-CE34
CE46	APW_ENG_20030502.0470-CE35
CE47	APW_ENG_20030502.0470-CE36
CE49	APW_ENG_20030502.0470-CE37
CE2	APW_ENG_20030502.0470-CE38
CE3	APW_ENG_20030502.0470-CE39
CE4	APW_ENG_20030502.0470-CE40
CE5	APW_ENG_20030502.0470-CE41
CE6	APW_ENG_20030502.0470-CE42
CE7	APW_ENG_20030502.0470-CE43
CE8	APW_ENG_20030502.0470-CE44
CE9	APW_ENG_20030502.0470-CE45
CE10	APW_ENG_20030502.0470-CE46
CE11	APW_ENG_20030502.0470-CE47
E15	APW_ENG_20030502.0470-E1
E16	APW_ENG_20030502.0470-E2
E17	APW_ENG_20030502.0470-E3
E18	APW_ENG_20030502.0470-E4
E21	APW_ENG_20030502.0470-E5
E23	APW_ENG_20030502.0470-E6
E24	APW_ENG_20030502.0470-E7
E25	APW_ENG_20030502.0470-E8
E26	APW_ENG_20030502.0470-E9
E28	APW_ENG_20030502.0470-E10
E29	APW_ENG_20030502.0470-E11
E30	APW_ENG_20030502.0470-E12
E32	APW_ENG_20030502.0470-E13
E33	APW_ENG_20030502.0470-E14
E34	APW_ENG_20030502.0470-E15
E35	APW_ENG_20030502.0470-E16
E36	APW_ENG_20030502.0470-E17
E37	APW_ENG_20030502.0470-E18
E38	APW_ENG_20030502.0470-E19
E1	APW_ENG_20030502.0470-E20
E39	APW_ENG_20030502.0470-E21
E40	APW_ENG_20030502.0470-E22
E41	APW_ENG_20030502.0470-E23
E42	APW_ENG_20030502.0470-E24
E43	APW_ENG_20030502.0470-E25
E44	APW_ENG_20030502.0470-E26
E46	APW_ENG_20030502.0470-E27
E47	APW_ENG_20030502.0470-E28
E48	APW_ENG_20030502.0470-E29
E49	APW_ENG_20030502.0470-E30
E50	APW_ENG_20030502.0470-E31
E51	APW_ENG_20030502.0470-E32
E52	APW_ENG_20030502.0470-E33
E53	APW_ENG_20030502.0470-E34
E54	APW_ENG_20030502.0470-E35
E56	APW_ENG_20030502.0470-E36
E57	APW_ENG_20030502.0470-E37
E58	APW_ENG_20030502.0470-E38
E59	APW_ENG_20030502.0470-E39
E60	APW_ENG_20030502.0470-E40
E61	APW_ENG_20030502.0470-E41
E62	APW_ENG_20030502.0470-E42
E63	APW_ENG_20030502.0470-E43
E64	APW_ENG_20030502.0470-E44
E65	APW_ENG_20030502.0470-E45
E66	APW_ENG_20030502.0470-E46
E67	APW_ENG_20030502.0470-E47
E68	APW_ENG_20030502.0470-E48
E69	APW_ENG_20030502.0470-E49
E70	APW_ENG_20030502.0470-E50
E71	APW_ENG_20030502.0470-E51
E72	APW_ENG_20030502.0470-E52
E73	APW_ENG_20030502.0470-E53
E75	APW_ENG_20030502.0470-E54
E76	APW_ENG_20030502.0470-E55
E77	APW_ENG_20030502.0470-E56
