CE12	XIN_ENG_20030509.0137-CE1
CE14	XIN_ENG_20030509.0137-CE2
CE15	XIN_ENG_20030509.0137-CE3
CE16	XIN_ENG_20030509.0137-CE4
CE17	XIN_ENG_20030509.0137-CE5
CE18	XIN_ENG_20030509.0137-CE6
CE19	XIN_ENG_20030509.0137-CE7
CE20	XIN_ENG_20030509.0137-CE8
CE21	XIN_ENG_20030509.0137-CE9
CE22	XIN_ENG_20030509.0137-CE10
CE23	XIN_ENG_20030509.0137-CE11
CE26	XIN_ENG_20030509.0137-CE12
CE27	XIN_ENG_20030509.0137-CE13
CE28	XIN_ENG_20030509.0137-CE14
CE1	XIN_ENG_20030509.0137-CE15
CE29	XIN_ENG_20030509.0137-CE16
CE2	XIN_ENG_20030509.0137-CE17
CE3	XIN_ENG_20030509.0137-CE18
CE4	XIN_ENG_20030509.0137-CE19
CE5	XIN_ENG_20030509.0137-CE20
CE6	XIN_ENG_20030509.0137-CE21
CE7	XIN_ENG_20030509.0137-CE22
CE8	XIN_ENG_20030509.0137-CE23
CE9	XIN_ENG_20030509.0137-CE24
CE10	XIN_ENG_20030509.0137-CE25
CE11	XIN_ENG_20030509.0137-CE26
E17	XIN_ENG_20030509.0137-E1
E18	XIN_ENG_20030509.0137-E2
E19	XIN_ENG_20030509.0137-E3
E21	XIN_ENG_20030509.0137-E4
E22	XIN_ENG_20030509.0137-E5
E23	XIN_ENG_20030509.0137-E6
E24	XIN_ENG_20030509.0137-E7
E25	XIN_ENG_20030509.0137-E8
E27	XIN_ENG_20030509.0137-E9
E28	XIN_ENG_20030509.0137-E10
E29	XIN_ENG_20030509.0137-E11
E30	XIN_ENG_20030509.0137-E12
E31	XIN_ENG_20030509.0137-E13
E32	XIN_ENG_20030509.0137-E14
E33	XIN_ENG_20030509.0137-E15
E34	XIN_ENG_20030509.0137-E16
E37	XIN_ENG_20030509.0137-E17
E38	XIN_ENG_20030509.0137-E18
E39	XIN_ENG_20030509.0137-E19
E40	XIN_ENG_20030509.0137-E20
E42	XIN_ENG_20030509.0137-E21
E1	XIN_ENG_20030509.0137-E22
E43	XIN_ENG_20030509.0137-E23
E2	XIN_ENG_20030509.0137-E24
E3	XIN_ENG_20030509.0137-E25
E4	XIN_ENG_20030509.0137-E26
E6	XIN_ENG_20030509.0137-E27
E8	XIN_ENG_20030509.0137-E28
E10	XIN_ENG_20030509.0137-E29
E11	XIN_ENG_20030509.0137-E30
E12	XIN_ENG_20030509.0137-E31
E13	XIN_ENG_20030509.0137-E32
E14	XIN_ENG_20030509.0137-E33
E15	XIN_ENG_20030509.0137-E34
E16	XIN_ENG_20030509.0137-E35
EM1	XIN_ENG_20030509.0137-E22-1
EM17	XIN_ENG_20030509.0137-E2-2
EM18	XIN_ENG_20030509.0137-E3-3
EM19	XIN_ENG_20030509.0137-E31-4
EM21	XIN_ENG_20030509.0137-E25-5
EM22	XIN_ENG_20030509.0137-E2-6
EM23	XIN_ENG_20030509.0137-E4-7
EM24	XIN_ENG_20030509.0137-E5-8
EM25	XIN_ENG_20030509.0137-E6-9
EM26	XIN_ENG_20030509.0137-E26-10
EM27	XIN_ENG_20030509.0137-E7-11
EM28	XIN_ENG_20030509.0137-E26-12
EM29	XIN_ENG_20030509.0137-E8-13
EM30	XIN_ENG_20030509.0137-E9-14
EM31	XIN_ENG_20030509.0137-E10-15
EM32	XIN_ENG_20030509.0137-E11-16
EM33	XIN_ENG_20030509.0137-E12-17
EM34	XIN_ENG_20030509.0137-E13-18
EM35	XIN_ENG_20030509.0137-E22-19
EM36	XIN_ENG_20030509.0137-E12-20
EM37	XIN_ENG_20030509.0137-E12-21
EM38	XIN_ENG_20030509.0137-E14-22
EM39	XIN_ENG_20030509.0137-E15-23
EM40	XIN_ENG_20030509.0137-E16-24
