CE10	NYT_ENG_20030403.0008-CE1
CE11	NYT_ENG_20030403.0008-CE2
CE12	NYT_ENG_20030403.0008-CE3
CE13	NYT_ENG_20030403.0008-CE4
CE14	NYT_ENG_20030403.0008-CE5
CE15	NYT_ENG_20030403.0008-CE6
CE16	NYT_ENG_20030403.0008-CE7
CE17	NYT_ENG_20030403.0008-CE8
CE18	NYT_ENG_20030403.0008-CE9
CE19	NYT_ENG_20030403.0008-CE10
CE20	NYT_ENG_20030403.0008-CE11
CE22	NYT_ENG_20030403.0008-CE12
CE23	NYT_ENG_20030403.0008-CE13
CE24	NYT_ENG_20030403.0008-CE14
CE25	NYT_ENG_20030403.0008-CE15
CE26	NYT_ENG_20030403.0008-CE16
CE27	NYT_ENG_20030403.0008-CE17
CE28	NYT_ENG_20030403.0008-CE18
CE29	NYT_ENG_20030403.0008-CE19
CE30	NYT_ENG_20030403.0008-CE20
CE31	NYT_ENG_20030403.0008-CE21
CE32	NYT_ENG_20030403.0008-CE22
CE33	NYT_ENG_20030403.0008-CE23
CE1	NYT_ENG_20030403.0008-CE24
CE34	NYT_ENG_20030403.0008-CE25
CE35	NYT_ENG_20030403.0008-CE26
CE36	NYT_ENG_20030403.0008-CE27
CE37	NYT_ENG_20030403.0008-CE28
CE38	NYT_ENG_20030403.0008-CE29
CE39	NYT_ENG_20030403.0008-CE30
CE41	NYT_ENG_20030403.0008-CE31
CE43	NYT_ENG_20030403.0008-CE32
CE44	NYT_ENG_20030403.0008-CE33
CE45	NYT_ENG_20030403.0008-CE34
CE66	NYT_ENG_20030403.0008-CE35
CE46	NYT_ENG_20030403.0008-CE36
CE47	NYT_ENG_20030403.0008-CE37
CE48	NYT_ENG_20030403.0008-CE38
CE49	NYT_ENG_20030403.0008-CE39
CE50	NYT_ENG_20030403.0008-CE40
CE51	NYT_ENG_20030403.0008-CE41
CE52	NYT_ENG_20030403.0008-CE42
CE53	NYT_ENG_20030403.0008-CE43
CE54	NYT_ENG_20030403.0008-CE44
CE55	NYT_ENG_20030403.0008-CE45
CE56	NYT_ENG_20030403.0008-CE46
CE57	NYT_ENG_20030403.0008-CE47
CE58	NYT_ENG_20030403.0008-CE48
CE59	NYT_ENG_20030403.0008-CE49
CE2	NYT_ENG_20030403.0008-CE50
CE60	NYT_ENG_20030403.0008-CE51
CE61	NYT_ENG_20030403.0008-CE52
CE62	NYT_ENG_20030403.0008-CE53
CE63	NYT_ENG_20030403.0008-CE54
CE64	NYT_ENG_20030403.0008-CE55
CE65	NYT_ENG_20030403.0008-CE56
CE67	NYT_ENG_20030403.0008-CE57
CE68	NYT_ENG_20030403.0008-CE58
CE69	NYT_ENG_20030403.0008-CE59
CE70	NYT_ENG_20030403.0008-CE60
CE71	NYT_ENG_20030403.0008-CE61
CE72	NYT_ENG_20030403.0008-CE62
CE73	NYT_ENG_20030403.0008-CE63
CE74	NYT_ENG_20030403.0008-CE64
CE75	NYT_ENG_20030403.0008-CE65
CE76	NYT_ENG_20030403.0008-CE66
CE3	NYT_ENG_20030403.0008-CE67
CE77	NYT_ENG_20030403.0008-CE68
CE4	NYT_ENG_20030403.0008-CE69
CE5	NYT_ENG_20030403.0008-CE70
CE6	NYT_ENG_20030403.0008-CE71
CE7	NYT_ENG_20030403.0008-CE72
CE8	NYT_ENG_20030403.0008-CE73
CE9	NYT_ENG_20030403.0008-CE74
E17	NYT_ENG_20030403.0008-E1
E18	NYT_ENG_20030403.0008-E2
E19	NYT_ENG_20030403.0008-E3
E20	NYT_ENG_20030403.0008-E4
E22	NYT_ENG_20030403.0008-E5
E23	NYT_ENG_20030403.0008-E6
E24	NYT_ENG_20030403.0008-E7
E25	NYT_ENG_20030403.0008-E8
E26	NYT_ENG_20030403.0008-E9
E27	NYT_ENG_20030403.0008-E10
