CE11	GETTINGPOLITICAL_20050105.0127.001-CE1
CE12	GETTINGPOLITICAL_20050105.0127.001-CE2
CE13	GETTINGPOLITICAL_20050105.0127.001-CE3
CE15	GETTINGPOLITICAL_20050105.0127.001-CE4
CE16	GETTINGPOLITICAL_20050105.0127.001-CE5
CE17	GETTINGPOLITICAL_20050105.0127.001-CE6
CE18	GETTINGPOLITICAL_20050105.0127.001-CE7
CE19	GETTINGPOLITICAL_20050105.0127.001-CE8
CE20	GETTINGPOLITICAL_20050105.0127.001-CE9
CE21	GETTINGPOLITICAL_20050105.0127.001-CE10
CE22	GETTINGPOLITICAL_20050105.0127.001-CE11
CE23	GETTINGPOLITICAL_20050105.0127.001-CE12
CE24	GETTINGPOLITICAL_20050105.0127.001-CE13
CE25	GETTINGPOLITICAL_20050105.0127.001-CE14
CE26	GETTINGPOLITICAL_20050105.0127.001-CE15
CE27	GETTINGPOLITICAL_20050105.0127.001-CE16
CE28	GETTINGPOLITICAL_20050105.0127.001-CE17
CE29	GETTINGPOLITICAL_20050105.0127.001-CE18
CE30	GETTINGPOLITICAL_20050105.0127.001-CE19
CE31	GETTINGPOLITICAL_20050105.0127.001-CE20
CE32	GETTINGPOLITICAL_20050105.0127.001-CE21
CE1	GETTINGPOLITICAL_20050105.0127.001-CE22
CE33	GETTINGPOLITICAL_20050105.0127.001-CE23
CE34	GETTINGPOLITICAL_20050105.0127.001-CE24
CE35	GETTINGPOLITICAL_20050105.0127.001-CE25
CE36	GETTINGPOLITICAL_20050105.0127.001-CE26
CE2	GETTINGPOLITICAL_20050105.0127.001-CE27
CE3	GETTINGPOLITICAL_20050105.0127.001-CE28
CE4	GETTINGPOLITICAL_20050105.0127.001-CE29
CE5	GETTINGPOLITICAL_20050105.0127.001-CE30
CE6	GETTINGPOLITICAL_20050105.0127.001-CE31
CE7	GETTINGPOLITICAL_20050105.0127.001-CE32
CE8	GETTINGPOLITICAL_20050105.0127.001-CE33
CE9	GETTINGPOLITICAL_20050105.0127.001-CE34
CE10	GETTINGPOLITICAL_20050105.0127.001-CE35
E14	GETTINGPOLITICAL_20050105.0127.001-E1
E15	GETTINGPOLITICAL_20050105.0127.001-E2
E16	GETTINGPOLITICAL_20050105.0127.001-E3
E17	GETTINGPOLITICAL_20050105.0127.001-E4
E19	GETTINGPOLITICAL_20050105.0127.001-E5
E20	GETTINGPOLITICAL_20050105.0127.001-E6
E21	GETTINGPOLITICAL_20050105.0127.001-E7
E23	GETTINGPOLITICAL_20050105.0127.001-E8
E24	GETTINGPOLITICAL_20050105.0127.001-E9
E25	GETTINGPOLITICAL_20050105.0127.001-E10
E26	GETTINGPOLITICAL_20050105.0127.001-E11
E27	GETTINGPOLITICAL_20050105.0127.001-E12
E28	GETTINGPOLITICAL_20050105.0127.001-E13
E29	GETTINGPOLITICAL_20050105.0127.001-E14
E30	GETTINGPOLITICAL_20050105.0127.001-E15
E31	GETTINGPOLITICAL_20050105.0127.001-E16
E32	GETTINGPOLITICAL_20050105.0127.001-E17
E33	GETTINGPOLITICAL_20050105.0127.001-E18
E1	GETTINGPOLITICAL_20050105.0127.001-E19
E35	GETTINGPOLITICAL_20050105.0127.001-E20
E36	GETTINGPOLITICAL_20050105.0127.001-E21
E37	GETTINGPOLITICAL_20050105.0127.001-E22
E38	GETTINGPOLITICAL_20050105.0127.001-E23
E39	GETTINGPOLITICAL_20050105.0127.001-E24
E40	GETTINGPOLITICAL_20050105.0127.001-E25
E41	GETTINGPOLITICAL_20050105.0127.001-E26
E42	GETTINGPOLITICAL_20050105.0127.001-E27
E43	GETTINGPOLITICAL_20050105.0127.001-E28
E44	GETTINGPOLITICAL_20050105.0127.001-E29
E45	GETTINGPOLITICAL_20050105.0127.001-E30
E46	GETTINGPOLITICAL_20050105.0127.001-E31
E47	GETTINGPOLITICAL_20050105.0127.001-E32
E48	GETTINGPOLITICAL_20050105.0127.001-E33
E2	GETTINGPOLITICAL_20050105.0127.001-E34
E3	GETTINGPOLITICAL_20050105.0127.001-E35
E4	GETTINGPOLITICAL_20050105.0127.001-E36
E5	GETTINGPOLITICAL_20050105.0127.001-E37
E6	GETTINGPOLITICAL_20050105.0127.001-E38
E7	GETTINGPOLITICAL_20050105.0127.001-E39
E8	GETTINGPOLITICAL_20050105.0127.001-E40
E9	GETTINGPOLITICAL_20050105.0127.001-E41
E10	GETTINGPOLITICAL_20050105.0127.001-E42
E11	GETTINGPOLITICAL_20050105.0127.001-E43
E12	GETTINGPOLITICAL_20050105.0127.001-E44
E13	GETTINGPOLITICAL_20050105.0127.001-E45
EM1	GETTINGPOLITICAL_20050105.0127.001-E19-1
EM19	GETTINGPOLITICAL_20050105.0127.001-E19-2
EM20	GETTINGPOLITICAL_20050105.0127.001-E19-3
EM21	GETTINGPOLITICAL_20050105.0127.001-E1-4
EM22	GETTINGPOLITICAL_20050105.0127.001-E19-5
EM23	GETTINGPOLITICAL_20050105.0127.001-E2-6
EM24	GETTINGPOLITICAL_20050105.0127.001-E19-7
EM25	GETTINGPOLITICAL_20050105.0127.001-E3-8
EM26	GETTINGPOLITICAL_20050105.0127.001-E3-9
EM27	GETTINGPOLITICAL_20050105.0127.001-E19-10
EM29	GETTINGPOLITICAL_20050105.0127.001-E2-11
EM30	GETTINGPOLITICAL_20050105.0127.001-E19-12
EM31	GETTINGPOLITICAL_20050105.0127.001-E19-13
EM32	GETTINGPOLITICAL_20050105.0127.001-E19-14
EM33	GETTINGPOLITICAL_20050105.0127.001-E19-15
EM34	GETTINGPOLITICAL_20050105.0127.001-E2-16
EM35	GETTINGPOLITICAL_20050105.0127.001-E19-17
EM36	GETTINGPOLITICAL_20050105.0127.001-E4-18
EM38	GETTINGPOLITICAL_20050105.0127.001-E5-19
EM39	GETTINGPOLITICAL_20050105.0127.001-E19-20
EM41	GETTINGPOLITICAL_20050105.0127.001-E6-21
EM42	GETTINGPOLITICAL_20050105.0127.001-E19-22
EM43	GETTINGPOLITICAL_20050105.0127.001-E7-23
EM44	GETTINGPOLITICAL_20050105.0127.001-E8-24
EM45	GETTINGPOLITICAL_20050105.0127.001-E19-25
EM46	GETTINGPOLITICAL_20050105.0127.001-E9-26
EM47	GETTINGPOLITICAL_20050105.0127.001-E9-27
EM48	GETTINGPOLITICAL_20050105.0127.001-E37-28
EM49	GETTINGPOLITICAL_20050105.0127.001-E10-29
EM50	GETTINGPOLITICAL_20050105.0127.001-E10-30
EM51	GETTINGPOLITICAL_20050105.0127.001-E11-31
EM52	GETTINGPOLITICAL_20050105.0127.001-E12-32
EM53	GETTINGPOLITICAL_20050105.0127.001-E13-33
EM54	GETTINGPOLITICAL_20050105.0127.001-E14-34
EM55	GETTINGPOLITICAL_20050105.0127.001-E38-35
EM56	GETTINGPOLITICAL_20050105.0127.001-E38-36
EM57	GETTINGPOLITICAL_20050105.0127.001-E15-37
EM58	GETTINGPOLITICAL_20050105.0127.001-E16-38
EM59	GETTINGPOLITICAL_20050105.0127.001-E17-39
EM60	GETTINGPOLITICAL_20050105.0127.001-E18-40
EM61	GETTINGPOLITICAL_20050105.0127.001-E20-41
EM62	GETTINGPOLITICAL_20050105.0127.001-E12-42
EM63	GETTINGPOLITICAL_20050105.0127.001-E21-43
EM64	GETTINGPOLITICAL_20050105.0127.001-E21-44
EM65	GETTINGPOLITICAL_20050105.0127.001-E38-45
EM66	GETTINGPOLITICAL_20050105.0127.001-E22-46
