CE6	MARKETVIEW_20041215.2128-CE1
CE7	MARKETVIEW_20041215.2128-CE2
CE8	MARKETVIEW_20041215.2128-CE3
CE9	MARKETVIEW_20041215.2128-CE4
CE10	MARKETVIEW_20041215.2128-CE5
CE11	MARKETVIEW_20041215.2128-CE6
CE12	MARKETVIEW_20041215.2128-CE7
CE13	MARKETVIEW_20041215.2128-CE8
CE14	MARKETVIEW_20041215.2128-CE9
CE15	MARKETVIEW_20041215.2128-CE10
CE16	MARKETVIEW_20041215.2128-CE11
CE17	MARKETVIEW_20041215.2128-CE12
CE18	MARKETVIEW_20041215.2128-CE13
CE19	MARKETVIEW_20041215.2128-CE14
CE20	MARKETVIEW_20041215.2128-CE15
CE1	MARKETVIEW_20041215.2128-CE16
CE2	MARKETVIEW_20041215.2128-CE17
CE3	MARKETVIEW_20041215.2128-CE18
CE4	MARKETVIEW_20041215.2128-CE19
CE5	MARKETVIEW_20041215.2128-CE20
E6	MARKETVIEW_20041215.2128-E1
E7	MARKETVIEW_20041215.2128-E2
E8	MARKETVIEW_20041215.2128-E3
E9	MARKETVIEW_20041215.2128-E4
E10	MARKETVIEW_20041215.2128-E5
E11	MARKETVIEW_20041215.2128-E6
E12	MARKETVIEW_20041215.2128-E7
E13	MARKETVIEW_20041215.2128-E8
E14	MARKETVIEW_20041215.2128-E9
E15	MARKETVIEW_20041215.2128-E10
E16	MARKETVIEW_20041215.2128-E11
E17	MARKETVIEW_20041215.2128-E12
E18	MARKETVIEW_20041215.2128-E13
E19	MARKETVIEW_20041215.2128-E14
E20	MARKETVIEW_20041215.2128-E15
E21	MARKETVIEW_20041215.2128-E16
E22	MARKETVIEW_20041215.2128-E17
E24	MARKETVIEW_20041215.2128-E18
E25	MARKETVIEW_20041215.2128-E19
E1	MARKETVIEW_20041215.2128-E20
E2	MARKETVIEW_20041215.2128-E21
E3	MARKETVIEW_20041215.2128-E22
E4	MARKETVIEW_20041215.2128-E23
E5	MARKETVIEW_20041215.2128-E24
EM8	MARKETVIEW_20041215.2128-E2-1
EM9	MARKETVIEW_20041215.2128-E2-2
EM10	MARKETVIEW_20041215.2128-E2-3
EM11	MARKETVIEW_20041215.2128-E2-4
EM12	MARKETVIEW_20041215.2128-E3-5
EM13	MARKETVIEW_20041215.2128-E3-6
EM14	MARKETVIEW_20041215.2128-E4-7
EM15	MARKETVIEW_20041215.2128-E5-8
EM16	MARKETVIEW_20041215.2128-E6-9
EM17	MARKETVIEW_20041215.2128-E4-10
EM18	MARKETVIEW_20041215.2128-E7-11
EM19	MARKETVIEW_20041215.2128-E8-12
EM20	MARKETVIEW_20041215.2128-E4-13
EM21	MARKETVIEW_20041215.2128-E7-14
EM22	MARKETVIEW_20041215.2128-E7-15
EM23	MARKETVIEW_20041215.2128-E7-16
EM24	MARKETVIEW_20041215.2128-E4-17
EM25	MARKETVIEW_20041215.2128-E9-18
EM26	MARKETVIEW_20041215.2128-E10-19
EM27	MARKETVIEW_20041215.2128-E7-20
EM28	MARKETVIEW_20041215.2128-E7-21
EM29	MARKETVIEW_20041215.2128-E11-22
EM30	MARKETVIEW_20041215.2128-E12-23
EM31	MARKETVIEW_20041215.2128-E10-24
EM32	MARKETVIEW_20041215.2128-E7-25
EM33	MARKETVIEW_20041215.2128-E13-26
EM34	MARKETVIEW_20041215.2128-E7-27
EM35	MARKETVIEW_20041215.2128-E14-28
EM36	MARKETVIEW_20041215.2128-E15-29
EM37	MARKETVIEW_20041215.2128-E1-30
EM38	MARKETVIEW_20041215.2128-E16-31
EM39	MARKETVIEW_20041215.2128-E16-32
EM40	MARKETVIEW_20041215.2128-E17-33
EM41	MARKETVIEW_20041215.2128-E18-34
EM42	MARKETVIEW_20041215.2128-E19-35
EM43	MARKETVIEW_20041215.2128-E17-36
EM44	MARKETVIEW_20041215.2128-E17-37
EM1	MARKETVIEW_20041215.2128-E20-38
EM2	MARKETVIEW_20041215.2128-E20-39
EM3	MARKETVIEW_20041215.2128-E21-40
EM4	MARKETVIEW_20041215.2128-E22-41
EM5	MARKETVIEW_20041215.2128-E23-42
EM6	MARKETVIEW_20041215.2128-E24-43
EM7	MARKETVIEW_20041215.2128-E1-44
R1	MARKETVIEW_20041215.2128-R1
R2	MARKETVIEW_20041215.2128-R2
RM1	MARKETVIEW_20041215.2128-R1-1
RM2	MARKETVIEW_20041215.2128-R2-1
Q1	MARKETVIEW_20041215.2128-T1
Q19	MARKETVIEW_20041215.2128-T2
Q2	MARKETVIEW_20041215.2128-T3
Q3	MARKETVIEW_20041215.2128-T4
Q4	MARKETVIEW_20041215.2128-T5
Q5	MARKETVIEW_20041215.2128-V1
Q6	MARKETVIEW_20041215.2128-V2
Q7	MARKETVIEW_20041215.2128-V3
Q8	MARKETVIEW_20041215.2128-V4
Q9	MARKETVIEW_20041215.2128-V5
Q10	MARKETVIEW_20041215.2128-V6
Q11	MARKETVIEW_20041215.2128-V7
Q12	MARKETVIEW_20041215.2128-V8
Q14	MARKETVIEW_20041215.2128-T6
Q15	MARKETVIEW_20041215.2128-V9
