CE12	AGGRESSIVEVOICEDAILY_20050107.2012-CE1
CE13	AGGRESSIVEVOICEDAILY_20050107.2012-CE2
CE14	AGGRESSIVEVOICEDAILY_20050107.2012-CE3
CE15	AGGRESSIVEVOICEDAILY_20050107.2012-CE4
CE16	AGGRESSIVEVOICEDAILY_20050107.2012-CE5
CE17	AGGRESSIVEVOICEDAILY_20050107.2012-CE6
CE18	AGGRESSIVEVOICEDAILY_20050107.2012-CE7
CE20	AGGRESSIVEVOICEDAILY_20050107.2012-CE8
CE21	AGGRESSIVEVOICEDAILY_20050107.2012-CE9
CE22	AGGRESSIVEVOICEDAILY_20050107.2012-CE10
CE23	AGGRESSIVEVOICEDAILY_20050107.2012-CE11
CE24	AGGRESSIVEVOICEDAILY_20050107.2012-CE12
CE25	AGGRESSIVEVOICEDAILY_20050107.2012-CE13
CE26	AGGRESSIVEVOICEDAILY_20050107.2012-CE14
CE1	AGGRESSIVEVOICEDAILY_20050107.2012-CE15
CE27	AGGRESSIVEVOICEDAILY_20050107.2012-CE16
CE2	AGGRESSIVEVOICEDAILY_20050107.2012-CE17
CE3	AGGRESSIVEVOICEDAILY_20050107.2012-CE18
CE4	AGGRESSIVEVOICEDAILY_20050107.2012-CE19
CE5	AGGRESSIVEVOICEDAILY_20050107.2012-CE20
CE6	AGGRESSIVEVOICEDAILY_20050107.2012-CE21
CE7	AGGRESSIVEVOICEDAILY_20050107.2012-CE22
CE8	AGGRESSIVEVOICEDAILY_20050107.2012-CE23
CE9	AGGRESSIVEVOICEDAILY_20050107.2012-CE24
CE10	AGGRESSIVEVOICEDAILY_20050107.2012-CE25
CE11	AGGRESSIVEVOICEDAILY_20050107.2012-CE26
E14	AGGRESSIVEVOICEDAILY_20050107.2012-E1
E15	AGGRESSIVEVOICEDAILY_20050107.2012-E2
E16	AGGRESSIVEVOICEDAILY_20050107.2012-E3
E17	AGGRESSIVEVOICEDAILY_20050107.2012-E4
E18	AGGRESSIVEVOICEDAILY_20050107.2012-E5
E19	AGGRESSIVEVOICEDAILY_20050107.2012-E6
E32	AGGRESSIVEVOICEDAILY_20050107.2012-E7
E21	AGGRESSIVEVOICEDAILY_20050107.2012-E8
E22	AGGRESSIVEVOICEDAILY_20050107.2012-E9
E24	AGGRESSIVEVOICEDAILY_20050107.2012-E10
E25	AGGRESSIVEVOICEDAILY_20050107.2012-E11
