CE9	MARKBACKER_20041202.0711-CE1
CE10	MARKBACKER_20041202.0711-CE2
CE11	MARKBACKER_20041202.0711-CE3
CE12	MARKBACKER_20041202.0711-CE4
CE13	MARKBACKER_20041202.0711-CE5
CE14	MARKBACKER_20041202.0711-CE6
CE15	MARKBACKER_20041202.0711-CE7
CE16	MARKBACKER_20041202.0711-CE8
CE17	MARKBACKER_20041202.0711-CE9
CE18	MARKBACKER_20041202.0711-CE10
CE19	MARKBACKER_20041202.0711-CE11
CE20	MARKBACKER_20041202.0711-CE12
CE21	MARKBACKER_20041202.0711-CE13
CE22	MARKBACKER_20041202.0711-CE14
CE23	MARKBACKER_20041202.0711-CE15
CE24	MARKBACKER_20041202.0711-CE16
CE25	MARKBACKER_20041202.0711-CE17
CE26	MARKBACKER_20041202.0711-CE18
CE27	MARKBACKER_20041202.0711-CE19
CE28	MARKBACKER_20041202.0711-CE20
CE29	MARKBACKER_20041202.0711-CE21
CE30	MARKBACKER_20041202.0711-CE22
CE31	MARKBACKER_20041202.0711-CE23
CE32	MARKBACKER_20041202.0711-CE24
CE1	MARKBACKER_20041202.0711-CE25
CE33	MARKBACKER_20041202.0711-CE26
CE34	MARKBACKER_20041202.0711-CE27
CE2	MARKBACKER_20041202.0711-CE28
CE3	MARKBACKER_20041202.0711-CE29
CE4	MARKBACKER_20041202.0711-CE30
CE5	MARKBACKER_20041202.0711-CE31
CE6	MARKBACKER_20041202.0711-CE32
CE7	MARKBACKER_20041202.0711-CE33
CE8	MARKBACKER_20041202.0711-CE34
E14	MARKBACKER_20041202.0711-E1
E15	MARKBACKER_20041202.0711-E2
E16	MARKBACKER_20041202.0711-E3
E17	MARKBACKER_20041202.0711-E4
E18	MARKBACKER_20041202.0711-E5
E19	MARKBACKER_20041202.0711-E6
E20	MARKBACKER_20041202.0711-E7
E21	MARKBACKER_20041202.0711-E8
E22	MARKBACKER_20041202.0711-E9
E23	MARKBACKER_20041202.0711-E10
E24	MARKBACKER_20041202.0711-E11
E25	MARKBACKER_20041202.0711-E12
E26	MARKBACKER_20041202.0711-E13
E27	MARKBACKER_20041202.0711-E14
E28	MARKBACKER_20041202.0711-E15
E29	MARKBACKER_20041202.0711-E16
E30	MARKBACKER_20041202.0711-E17
E31	MARKBACKER_20041202.0711-E18
E32	MARKBACKER_20041202.0711-E19
E1	MARKBACKER_20041202.0711-E20
E34	MARKBACKER_20041202.0711-E21
E36	MARKBACKER_20041202.0711-E22
E37	MARKBACKER_20041202.0711-E23
E38	MARKBACKER_20041202.0711-E24
E39	MARKBACKER_20041202.0711-E25
E40	MARKBACKER_20041202.0711-E26
E41	MARKBACKER_20041202.0711-E27
E42	MARKBACKER_20041202.0711-E28
E43	MARKBACKER_20041202.0711-E29
E44	MARKBACKER_20041202.0711-E30
E45	MARKBACKER_20041202.0711-E31
E46	MARKBACKER_20041202.0711-E32
E47	MARKBACKER_20041202.0711-E33
E2	MARKBACKER_20041202.0711-E34
E3	MARKBACKER_20041202.0711-E35
E4	MARKBACKER_20041202.0711-E36
E5	MARKBACKER_20041202.0711-E37
E6	MARKBACKER_20041202.0711-E38
E7	MARKBACKER_20041202.0711-E39
E8	MARKBACKER_20041202.0711-E40
E9	MARKBACKER_20041202.0711-E41
E10	MARKBACKER_20041202.0711-E42
E11	MARKBACKER_20041202.0711-E43
E12	MARKBACKER_20041202.0711-E44
E13	MARKBACKER_20041202.0711-E45
EM1	MARKBACKER_20041202.0711-E20-1
EM20	MARKBACKER_20041202.0711-E20-2
EM21	MARKBACKER_20041202.0711-E1-3
EM22	MARKBACKER_20041202.0711-E2-4
EM23	MARKBACKER_20041202.0711-E36-5
EM24	MARKBACKER_20041202.0711-E1-6
EM25	MARKBACKER_20041202.0711-E41-7
EM26	MARKBACKER_20041202.0711-E41-8
EM27	MARKBACKER_20041202.0711-E3-9
EM28	MARKBACKER_20041202.0711-E3-10
EM29	MARKBACKER_20041202.0711-E4-11
EM30	MARKBACKER_20041202.0711-E5-12
EM31	MARKBACKER_20041202.0711-E6-13
EM32	MARKBACKER_20041202.0711-E6-14
EM33	MARKBACKER_20041202.0711-E6-15
EM34	MARKBACKER_20041202.0711-E6-16
EM35	MARKBACKER_20041202.0711-E7-17
EM36	MARKBACKER_20041202.0711-E38-18
EM37	MARKBACKER_20041202.0711-E8-19
EM38	MARKBACKER_20041202.0711-E9-20
EM39	MARKBACKER_20041202.0711-E10-21
EM40	MARKBACKER_20041202.0711-E9-22
EM48	MARKBACKER_20041202.0711-E15-23
EM42	MARKBACKER_20041202.0711-E11-24
EM43	MARKBACKER_20041202.0711-E12-25
EM44	MARKBACKER_20041202.0711-E13-26
EM45	MARKBACKER_20041202.0711-E14-27
EM46	MARKBACKER_20041202.0711-E6-28
EM49	MARKBACKER_20041202.0711-E16-29
EM47	MARKBACKER_20041202.0711-E3-30
EM50	MARKBACKER_20041202.0711-E17-31
EM51	MARKBACKER_20041202.0711-E41-32
EM52	MARKBACKER_20041202.0711-E41-33
EM53	MARKBACKER_20041202.0711-E18-34
EM54	MARKBACKER_20041202.0711-E41-35
EM55	MARKBACKER_20041202.0711-E41-36
EM56	MARKBACKER_20041202.0711-E41-37
EM57	MARKBACKER_20041202.0711-E41-38
EM58	MARKBACKER_20041202.0711-E12-39
EM59	MARKBACKER_20041202.0711-E12-40
EM60	MARKBACKER_20041202.0711-E19-41
EM61	MARKBACKER_20041202.0711-E19-42
EM62	MARKBACKER_20041202.0711-E21-43
EM63	MARKBACKER_20041202.0711-E22-44
EM64	MARKBACKER_20041202.0711-E23-45
EM65	MARKBACKER_20041202.0711-E24-46
EM66	MARKBACKER_20041202.0711-E25-47
EM92	MARKBACKER_20041202.0711-E12-48
