CE16	OIADVANTAGE_20050108.1323-CE1
CE17	OIADVANTAGE_20050108.1323-CE2
CE18	OIADVANTAGE_20050108.1323-CE3
CE19	OIADVANTAGE_20050108.1323-CE4
CE20	OIADVANTAGE_20050108.1323-CE5
CE21	OIADVANTAGE_20050108.1323-CE6
CE25	OIADVANTAGE_20050108.1323-CE7
CE26	OIADVANTAGE_20050108.1323-CE8
CE27	OIADVANTAGE_20050108.1323-CE9
CE28	OIADVANTAGE_20050108.1323-CE10
CE29	OIADVANTAGE_20050108.1323-CE11
CE1	OIADVANTAGE_20050108.1323-CE12
CE2	OIADVANTAGE_20050108.1323-CE13
CE3	OIADVANTAGE_20050108.1323-CE14
CE4	OIADVANTAGE_20050108.1323-CE15
CE5	OIADVANTAGE_20050108.1323-CE16
CE6	OIADVANTAGE_20050108.1323-CE17
CE8	OIADVANTAGE_20050108.1323-CE18
CE9	OIADVANTAGE_20050108.1323-CE19
CE13	OIADVANTAGE_20050108.1323-CE20
CE14	OIADVANTAGE_20050108.1323-CE21
E16	OIADVANTAGE_20050108.1323-E1
E18	OIADVANTAGE_20050108.1323-E2
E19	OIADVANTAGE_20050108.1323-E3
E20	OIADVANTAGE_20050108.1323-E4
E21	OIADVANTAGE_20050108.1323-E5
E22	OIADVANTAGE_20050108.1323-E6
E23	OIADVANTAGE_20050108.1323-E7
E27	OIADVANTAGE_20050108.1323-E8
E28	OIADVANTAGE_20050108.1323-E9
E29	OIADVANTAGE_20050108.1323-E10
E30	OIADVANTAGE_20050108.1323-E11
E32	OIADVANTAGE_20050108.1323-E12
E1	OIADVANTAGE_20050108.1323-E13
E2	OIADVANTAGE_20050108.1323-E14
E3	OIADVANTAGE_20050108.1323-E15
E4	OIADVANTAGE_20050108.1323-E16
E5	OIADVANTAGE_20050108.1323-E17
E6	OIADVANTAGE_20050108.1323-E18
E7	OIADVANTAGE_20050108.1323-E19
E9	OIADVANTAGE_20050108.1323-E20
E10	OIADVANTAGE_20050108.1323-E21
E14	OIADVANTAGE_20050108.1323-E22
E15	OIADVANTAGE_20050108.1323-E23
EM1	OIADVANTAGE_20050108.1323-E14-1
EM18	OIADVANTAGE_20050108.1323-E1-2
EM20	OIADVANTAGE_20050108.1323-E15-3
EM22	OIADVANTAGE_20050108.1323-E2-4
EM23	OIADVANTAGE_20050108.1323-E3-5
EM24	OIADVANTAGE_20050108.1323-E20-6
EM28	OIADVANTAGE_20050108.1323-E4-7
EM29	OIADVANTAGE_20050108.1323-E15-8
EM30	OIADVANTAGE_20050108.1323-E5-9
EM31	OIADVANTAGE_20050108.1323-E5-10
EM32	OIADVANTAGE_20050108.1323-E5-11
EM33	OIADVANTAGE_20050108.1323-E6-12
EM34	OIADVANTAGE_20050108.1323-E7-13
EM35	OIADVANTAGE_20050108.1323-E6-14
EM39	OIADVANTAGE_20050108.1323-E17-15
EM40	OIADVANTAGE_20050108.1323-E8-16
EM41	OIADVANTAGE_20050108.1323-E9-17
EM42	OIADVANTAGE_20050108.1323-E10-18
EM43	OIADVANTAGE_20050108.1323-E11-19
EM44	OIADVANTAGE_20050108.1323-E12-20
EM2	OIADVANTAGE_20050108.1323-E13-21
EM3	OIADVANTAGE_20050108.1323-E15-22
EM4	OIADVANTAGE_20050108.1323-E16-23
EM5	OIADVANTAGE_20050108.1323-E17-24
EM6	OIADVANTAGE_20050108.1323-E18-25
EM7	OIADVANTAGE_20050108.1323-E19-26
EM45	OIADVANTAGE_20050108.1323-E19-27
EM10	OIADVANTAGE_20050108.1323-E20-28
EM11	OIADVANTAGE_20050108.1323-E21-29
EM15	OIADVANTAGE_20050108.1323-E22-30
EM16	OIADVANTAGE_20050108.1323-E23-31
EM17	OIADVANTAGE_20050108.1323-E15-32
R1	OIADVANTAGE_20050108.1323-R1
RM1	OIADVANTAGE_20050108.1323-R1-1
V2	OIADVANTAGE_20050108.1323-EV1
VM2	OIADVANTAGE_20050108.1323-EV1-1
Q3	OIADVANTAGE_20050108.1323-T1
Q4	OIADVANTAGE_20050108.1323-T2
Q5	OIADVANTAGE_20050108.1323-T3
Q6	OIADVANTAGE_20050108.1323-T4
Q7	OIADVANTAGE_20050108.1323-T5
Q8	OIADVANTAGE_20050108.1323-T6
Q9	OIADVANTAGE_20050108.1323-T7
Q10	OIADVANTAGE_20050108.1323-T8
Q11	OIADVANTAGE_20050108.1323-T9
