CE13	HEALINGIRAQ_20041108.1942.05-CE1
CE14	HEALINGIRAQ_20041108.1942.05-CE2
CE19	HEALINGIRAQ_20041108.1942.05-CE3
CE16	HEALINGIRAQ_20041108.1942.05-CE4
CE17	HEALINGIRAQ_20041108.1942.05-CE5
CE20	HEALINGIRAQ_20041108.1942.05-CE6
CE21	HEALINGIRAQ_20041108.1942.05-CE7
CE22	HEALINGIRAQ_20041108.1942.05-CE8
CE23	HEALINGIRAQ_20041108.1942.05-CE9
CE24	HEALINGIRAQ_20041108.1942.05-CE10
CE25	HEALINGIRAQ_20041108.1942.05-CE11
CE26	HEALINGIRAQ_20041108.1942.05-CE12
CE27	HEALINGIRAQ_20041108.1942.05-CE13
CE28	HEALINGIRAQ_20041108.1942.05-CE14
CE29	HEALINGIRAQ_20041108.1942.05-CE15
CE30	HEALINGIRAQ_20041108.1942.05-CE16
CE31	HEALINGIRAQ_20041108.1942.05-CE17
CE32	HEALINGIRAQ_20041108.1942.05-CE18
CE33	HEALINGIRAQ_20041108.1942.05-CE19
CE34	HEALINGIRAQ_20041108.1942.05-CE20
CE35	HEALINGIRAQ_20041108.1942.05-CE21
CE99	HEALINGIRAQ_20041108.1942.05-CE22
CE37	HEALINGIRAQ_20041108.1942.05-CE23
CE100	HEALINGIRAQ_20041108.1942.05-CE24
CE39	HEALINGIRAQ_20041108.1942.05-CE25
CE1	HEALINGIRAQ_20041108.1942.05-CE26
CE40	HEALINGIRAQ_20041108.1942.05-CE27
CE42	HEALINGIRAQ_20041108.1942.05-CE28
CE43	HEALINGIRAQ_20041108.1942.05-CE29
CE44	HEALINGIRAQ_20041108.1942.05-CE30
CE45	HEALINGIRAQ_20041108.1942.05-CE31
CE46	HEALINGIRAQ_20041108.1942.05-CE32
CE47	HEALINGIRAQ_20041108.1942.05-CE33
CE48	HEALINGIRAQ_20041108.1942.05-CE34
CE49	HEALINGIRAQ_20041108.1942.05-CE35
CE50	HEALINGIRAQ_20041108.1942.05-CE36
CE51	HEALINGIRAQ_20041108.1942.05-CE37
CE52	HEALINGIRAQ_20041108.1942.05-CE38
CE53	HEALINGIRAQ_20041108.1942.05-CE39
CE54	HEALINGIRAQ_20041108.1942.05-CE40
CE55	HEALINGIRAQ_20041108.1942.05-CE41
CE56	HEALINGIRAQ_20041108.1942.05-CE42
CE57	HEALINGIRAQ_20041108.1942.05-CE43
CE58	HEALINGIRAQ_20041108.1942.05-CE44
CE59	HEALINGIRAQ_20041108.1942.05-CE45
CE61	HEALINGIRAQ_20041108.1942.05-CE46
CE62	HEALINGIRAQ_20041108.1942.05-CE47
CE63	HEALINGIRAQ_20041108.1942.05-CE48
CE64	HEALINGIRAQ_20041108.1942.05-CE49
CE65	HEALINGIRAQ_20041108.1942.05-CE50
CE66	HEALINGIRAQ_20041108.1942.05-CE51
CE67	HEALINGIRAQ_20041108.1942.05-CE52
CE68	HEALINGIRAQ_20041108.1942.05-CE53
CE69	HEALINGIRAQ_20041108.1942.05-CE54
CE71	HEALINGIRAQ_20041108.1942.05-CE55
CE72	HEALINGIRAQ_20041108.1942.05-CE56
CE73	HEALINGIRAQ_20041108.1942.05-CE57
CE74	HEALINGIRAQ_20041108.1942.05-CE58
CE75	HEALINGIRAQ_20041108.1942.05-CE59
CE2	HEALINGIRAQ_20041108.1942.05-CE60
CE76	HEALINGIRAQ_20041108.1942.05-CE61
CE77	HEALINGIRAQ_20041108.1942.05-CE62
CE78	HEALINGIRAQ_20041108.1942.05-CE63
CE79	HEALINGIRAQ_20041108.1942.05-CE64
CE80	HEALINGIRAQ_20041108.1942.05-CE65
CE81	HEALINGIRAQ_20041108.1942.05-CE66
CE82	HEALINGIRAQ_20041108.1942.05-CE67
CE83	HEALINGIRAQ_20041108.1942.05-CE68
CE84	HEALINGIRAQ_20041108.1942.05-CE69
CE85	HEALINGIRAQ_20041108.1942.05-CE70
CE86	HEALINGIRAQ_20041108.1942.05-CE71
CE87	HEALINGIRAQ_20041108.1942.05-CE72
CE88	HEALINGIRAQ_20041108.1942.05-CE73
CE89	HEALINGIRAQ_20041108.1942.05-CE74
CE90	HEALINGIRAQ_20041108.1942.05-CE75
CE91	HEALINGIRAQ_20041108.1942.05-CE76
CE92	HEALINGIRAQ_20041108.1942.05-CE77
CE93	HEALINGIRAQ_20041108.1942.05-CE78
CE94	HEALINGIRAQ_20041108.1942.05-CE79
CE95	HEALINGIRAQ_20041108.1942.05-CE80
CE96	HEALINGIRAQ_20041108.1942.05-CE81
CE97	HEALINGIRAQ_20041108.1942.05-CE82
CE98	HEALINGIRAQ_20041108.1942.05-CE83
CE3	HEALINGIRAQ_20041108.1942.05-CE84
CE101	HEALINGIRAQ_20041108.1942.05-CE85
CE102	HEALINGIRAQ_20041108.1942.05-CE86
CE4	HEALINGIRAQ_20041108.1942.05-CE87
CE18	HEALINGIRAQ_20041108.1942.05-CE88
CE7	HEALINGIRAQ_20041108.1942.05-CE89
CE8	HEALINGIRAQ_20041108.1942.05-CE90
CE9	HEALINGIRAQ_20041108.1942.05-CE91
CE10	HEALINGIRAQ_20041108.1942.05-CE92
CE11	HEALINGIRAQ_20041108.1942.05-CE93
CE12	HEALINGIRAQ_20041108.1942.05-CE94
E16	HEALINGIRAQ_20041108.1942.05-E1
E17	HEALINGIRAQ_20041108.1942.05-E2
E19	HEALINGIRAQ_20041108.1942.05-E3
E20	HEALINGIRAQ_20041108.1942.05-E4
E21	HEALINGIRAQ_20041108.1942.05-E5
E25	HEALINGIRAQ_20041108.1942.05-E6
E26	HEALINGIRAQ_20041108.1942.05-E7
E27	HEALINGIRAQ_20041108.1942.05-E8
E28	HEALINGIRAQ_20041108.1942.05-E9
E29	HEALINGIRAQ_20041108.1942.05-E10
E31	HEALINGIRAQ_20041108.1942.05-E11
E32	HEALINGIRAQ_20041108.1942.05-E12
E33	HEALINGIRAQ_20041108.1942.05-E13
E34	HEALINGIRAQ_20041108.1942.05-E14
E35	HEALINGIRAQ_20041108.1942.05-E15
E36	HEALINGIRAQ_20041108.1942.05-E16
E38	HEALINGIRAQ_20041108.1942.05-E17
E40	HEALINGIRAQ_20041108.1942.05-E18
E42	HEALINGIRAQ_20041108.1942.05-E19
E43	HEALINGIRAQ_20041108.1942.05-E20
E44	HEALINGIRAQ_20041108.1942.05-E21
E1	HEALINGIRAQ_20041108.1942.05-E22
E45	HEALINGIRAQ_20041108.1942.05-E23
E46	HEALINGIRAQ_20041108.1942.05-E24
E135	HEALINGIRAQ_20041108.1942.05-E25
E48	HEALINGIRAQ_20041108.1942.05-E26
E136	HEALINGIRAQ_20041108.1942.05-E27
E51	HEALINGIRAQ_20041108.1942.05-E28
E52	HEALINGIRAQ_20041108.1942.05-E29
E53	HEALINGIRAQ_20041108.1942.05-E30
E55	HEALINGIRAQ_20041108.1942.05-E31
E56	HEALINGIRAQ_20041108.1942.05-E32
E57	HEALINGIRAQ_20041108.1942.05-E33
E58	HEALINGIRAQ_20041108.1942.05-E34
E59	HEALINGIRAQ_20041108.1942.05-E35
E61	HEALINGIRAQ_20041108.1942.05-E36
E62	HEALINGIRAQ_20041108.1942.05-E37
E63	HEALINGIRAQ_20041108.1942.05-E38
E65	HEALINGIRAQ_20041108.1942.05-E39
E66	HEALINGIRAQ_20041108.1942.05-E40
E67	HEALINGIRAQ_20041108.1942.05-E41
E68	HEALINGIRAQ_20041108.1942.05-E42
E69	HEALINGIRAQ_20041108.1942.05-E43
E70	HEALINGIRAQ_20041108.1942.05-E44
E71	HEALINGIRAQ_20041108.1942.05-E45
E72	HEALINGIRAQ_20041108.1942.05-E46
E73	HEALINGIRAQ_20041108.1942.05-E47
E75	HEALINGIRAQ_20041108.1942.05-E48
E76	HEALINGIRAQ_20041108.1942.05-E49
E77	HEALINGIRAQ_20041108.1942.05-E50
E78	HEALINGIRAQ_20041108.1942.05-E51
E79	HEALINGIRAQ_20041108.1942.05-E52
E80	HEALINGIRAQ_20041108.1942.05-E53
E81	HEALINGIRAQ_20041108.1942.05-E54
E82	HEALINGIRAQ_20041108.1942.05-E55
E83	HEALINGIRAQ_20041108.1942.05-E56
E84	HEALINGIRAQ_20041108.1942.05-E57
E85	HEALINGIRAQ_20041108.1942.05-E58
E87	HEALINGIRAQ_20041108.1942.05-E59
E88	HEALINGIRAQ_20041108.1942.05-E60
E89	HEALINGIRAQ_20041108.1942.05-E61
E90	HEALINGIRAQ_20041108.1942.05-E62
E91	HEALINGIRAQ_20041108.1942.05-E63
E92	HEALINGIRAQ_20041108.1942.05-E64
E93	HEALINGIRAQ_20041108.1942.05-E65
E94	HEALINGIRAQ_20041108.1942.05-E66
E95	HEALINGIRAQ_20041108.1942.05-E67
E2	HEALINGIRAQ_20041108.1942.05-E68
E96	HEALINGIRAQ_20041108.1942.05-E69
E98	HEALINGIRAQ_20041108.1942.05-E70
E99	HEALINGIRAQ_20041108.1942.05-E71
E100	HEALINGIRAQ_20041108.1942.05-E72
E101	HEALINGIRAQ_20041108.1942.05-E73
E102	HEALINGIRAQ_20041108.1942.05-E74
E103	HEALINGIRAQ_20041108.1942.05-E75
E104	HEALINGIRAQ_20041108.1942.05-E76
E105	HEALINGIRAQ_20041108.1942.05-E77
E106	HEALINGIRAQ_20041108.1942.05-E78
E107	HEALINGIRAQ_20041108.1942.05-E79
E108	HEALINGIRAQ_20041108.1942.05-E80
E109	HEALINGIRAQ_20041108.1942.05-E81
E110	HEALINGIRAQ_20041108.1942.05-E82
E111	HEALINGIRAQ_20041108.1942.05-E83
E112	HEALINGIRAQ_20041108.1942.05-E84
E113	HEALINGIRAQ_20041108.1942.05-E85
E114	HEALINGIRAQ_20041108.1942.05-E86
E115	HEALINGIRAQ_20041108.1942.05-E87
E116	HEALINGIRAQ_20041108.1942.05-E88
E117	HEALINGIRAQ_20041108.1942.05-E89
E118	HEALINGIRAQ_20041108.1942.05-E90
E119	HEALINGIRAQ_20041108.1942.05-E91
E120	HEALINGIRAQ_20041108.1942.05-E92
E121	HEALINGIRAQ_20041108.1942.05-E93
E122	HEALINGIRAQ_20041108.1942.05-E94
E123	HEALINGIRAQ_20041108.1942.05-E95
E125	HEALINGIRAQ_20041108.1942.05-E96
E127	HEALINGIRAQ_20041108.1942.05-E97
E128	HEALINGIRAQ_20041108.1942.05-E98
E129	HEALINGIRAQ_20041108.1942.05-E99
E130	HEALINGIRAQ_20041108.1942.05-E100
E131	HEALINGIRAQ_20041108.1942.05-E101
E132	HEALINGIRAQ_20041108.1942.05-E102
E133	HEALINGIRAQ_20041108.1942.05-E103
E134	HEALINGIRAQ_20041108.1942.05-E104
E3	HEALINGIRAQ_20041108.1942.05-E105
E137	HEALINGIRAQ_20041108.1942.05-E106
E138	HEALINGIRAQ_20041108.1942.05-E107
E139	HEALINGIRAQ_20041108.1942.05-E108
E5	HEALINGIRAQ_20041108.1942.05-E109
E6	HEALINGIRAQ_20041108.1942.05-E110
E23	HEALINGIRAQ_20041108.1942.05-E111
E24	HEALINGIRAQ_20041108.1942.05-E112
E9	HEALINGIRAQ_20041108.1942.05-E113
E10	HEALINGIRAQ_20041108.1942.05-E114
E11	HEALINGIRAQ_20041108.1942.05-E115
E12	HEALINGIRAQ_20041108.1942.05-E116
E13	HEALINGIRAQ_20041108.1942.05-E117
E15	HEALINGIRAQ_20041108.1942.05-E118
EM1	HEALINGIRAQ_20041108.1942.05-E22-1
EM18	HEALINGIRAQ_20041108.1942.05-E2-2
EM19	HEALINGIRAQ_20041108.1942.05-E115-3
EM20	HEALINGIRAQ_20041108.1942.05-E2-4
EM30	HEALINGIRAQ_20041108.1942.05-E6-5
EM21	HEALINGIRAQ_20041108.1942.05-E2-6
EM22	HEALINGIRAQ_20041108.1942.05-E3-7
EM23	HEALINGIRAQ_20041108.1942.05-E4-8
EM24	HEALINGIRAQ_20041108.1942.05-E4-9
EM25	HEALINGIRAQ_20041108.1942.05-E5-10
EM26	HEALINGIRAQ_20041108.1942.05-E2-11
EM31	HEALINGIRAQ_20041108.1942.05-E7-12
EM32	HEALINGIRAQ_20041108.1942.05-E8-13
EM33	HEALINGIRAQ_20041108.1942.05-E9-14
EM34	HEALINGIRAQ_20041108.1942.05-E10-15
EM35	HEALINGIRAQ_20041108.1942.05-E11-16
EM36	HEALINGIRAQ_20041108.1942.05-E9-17
EM37	HEALINGIRAQ_20041108.1942.05-E12-18
EM38	HEALINGIRAQ_20041108.1942.05-E13-19
EM39	HEALINGIRAQ_20041108.1942.05-E14-20
EM40	HEALINGIRAQ_20041108.1942.05-E14-21
EM41	HEALINGIRAQ_20041108.1942.05-E15-22
EM42	HEALINGIRAQ_20041108.1942.05-E7-23
EM43	HEALINGIRAQ_20041108.1942.05-E8-24
EM44	HEALINGIRAQ_20041108.1942.05-E16-25
EM45	HEALINGIRAQ_20041108.1942.05-E17-26
EM195	HEALINGIRAQ_20041108.1942.05-E25-27
EM47	HEALINGIRAQ_20041108.1942.05-E22-28
EM48	HEALINGIRAQ_20041108.1942.05-E18-29
EM49	HEALINGIRAQ_20041108.1942.05-E19-30
EM50	HEALINGIRAQ_20041108.1942.05-E18-31
EM51	HEALINGIRAQ_20041108.1942.05-E20-32
EM52	HEALINGIRAQ_20041108.1942.05-E21-33
EM53	HEALINGIRAQ_20041108.1942.05-E115-34
EM54	HEALINGIRAQ_20041108.1942.05-E115-35
EM55	HEALINGIRAQ_20041108.1942.05-E115-36
