CE13	MARKBACKER_20050105.1632-CE1
CE14	MARKBACKER_20050105.1632-CE2
CE15	MARKBACKER_20050105.1632-CE3
CE16	MARKBACKER_20050105.1632-CE4
CE17	MARKBACKER_20050105.1632-CE5
CE18	MARKBACKER_20050105.1632-CE6
CE19	MARKBACKER_20050105.1632-CE7
CE20	MARKBACKER_20050105.1632-CE8
CE21	MARKBACKER_20050105.1632-CE9
CE22	MARKBACKER_20050105.1632-CE10
CE23	MARKBACKER_20050105.1632-CE11
CE24	MARKBACKER_20050105.1632-CE12
CE25	MARKBACKER_20050105.1632-CE13
CE26	MARKBACKER_20050105.1632-CE14
CE27	MARKBACKER_20050105.1632-CE15
CE28	MARKBACKER_20050105.1632-CE16
CE29	MARKBACKER_20050105.1632-CE17
CE30	MARKBACKER_20050105.1632-CE18
CE32	MARKBACKER_20050105.1632-CE19
CE33	MARKBACKER_20050105.1632-CE20
CE1	MARKBACKER_20050105.1632-CE21
CE2	MARKBACKER_20050105.1632-CE22
CE3	MARKBACKER_20050105.1632-CE23
CE5	MARKBACKER_20050105.1632-CE24
CE6	MARKBACKER_20050105.1632-CE25
CE7	MARKBACKER_20050105.1632-CE26
CE8	MARKBACKER_20050105.1632-CE27
CE34	MARKBACKER_20050105.1632-CE28
CE10	MARKBACKER_20050105.1632-CE29
CE11	MARKBACKER_20050105.1632-CE30
CE12	MARKBACKER_20050105.1632-CE31
E15	MARKBACKER_20050105.1632-E1
E16	MARKBACKER_20050105.1632-E2
E18	MARKBACKER_20050105.1632-E3
E19	MARKBACKER_20050105.1632-E4
E20	MARKBACKER_20050105.1632-E5
E21	MARKBACKER_20050105.1632-E6
E22	MARKBACKER_20050105.1632-E7
E23	MARKBACKER_20050105.1632-E8
E24	MARKBACKER_20050105.1632-E9
E25	MARKBACKER_20050105.1632-E10
E26	MARKBACKER_20050105.1632-E11
E27	MARKBACKER_20050105.1632-E12
E28	MARKBACKER_20050105.1632-E13
E29	MARKBACKER_20050105.1632-E14
E30	MARKBACKER_20050105.1632-E15
E31	MARKBACKER_20050105.1632-E16
E32	MARKBACKER_20050105.1632-E17
E33	MARKBACKER_20050105.1632-E18
E35	MARKBACKER_20050105.1632-E19
E36	MARKBACKER_20050105.1632-E20
E37	MARKBACKER_20050105.1632-E21
E38	MARKBACKER_20050105.1632-E22
E1	MARKBACKER_20050105.1632-E23
E39	MARKBACKER_20050105.1632-E24
E41	MARKBACKER_20050105.1632-E25
E42	MARKBACKER_20050105.1632-E26
E2	MARKBACKER_20050105.1632-E27
E3	MARKBACKER_20050105.1632-E28
E43	MARKBACKER_20050105.1632-E29
E5	MARKBACKER_20050105.1632-E30
E6	MARKBACKER_20050105.1632-E31
E7	MARKBACKER_20050105.1632-E32
E8	MARKBACKER_20050105.1632-E33
E10	MARKBACKER_20050105.1632-E34
E11	MARKBACKER_20050105.1632-E35
E12	MARKBACKER_20050105.1632-E36
E13	MARKBACKER_20050105.1632-E37
E14	MARKBACKER_20050105.1632-E38
EM1	MARKBACKER_20050105.1632-E23-1
EM19	MARKBACKER_20050105.1632-E2-2
EM20	MARKBACKER_20050105.1632-E3-3
EM21	MARKBACKER_20050105.1632-E4-4
EM22	MARKBACKER_20050105.1632-E5-5
EM23	MARKBACKER_20050105.1632-E5-6
EM24	MARKBACKER_20050105.1632-E6-7
EM25	MARKBACKER_20050105.1632-E5-8
EM26	MARKBACKER_20050105.1632-E5-9
EM27	MARKBACKER_20050105.1632-E7-10
EM28	MARKBACKER_20050105.1632-E1-11
EM29	MARKBACKER_20050105.1632-E34-12
EM30	MARKBACKER_20050105.1632-E8-13
EM31	MARKBACKER_20050105.1632-E8-14
EM32	MARKBACKER_20050105.1632-E9-15
