CE10	MARKETVIEW_20041211.1845-CE1
CE11	MARKETVIEW_20041211.1845-CE2
CE12	MARKETVIEW_20041211.1845-CE3
CE13	MARKETVIEW_20041211.1845-CE4
CE14	MARKETVIEW_20041211.1845-CE5
CE15	MARKETVIEW_20041211.1845-CE6
CE16	MARKETVIEW_20041211.1845-CE7
CE17	MARKETVIEW_20041211.1845-CE8
CE18	MARKETVIEW_20041211.1845-CE9
CE19	MARKETVIEW_20041211.1845-CE10
CE20	MARKETVIEW_20041211.1845-CE11
CE21	MARKETVIEW_20041211.1845-CE12
CE22	MARKETVIEW_20041211.1845-CE13
CE23	MARKETVIEW_20041211.1845-CE14
CE24	MARKETVIEW_20041211.1845-CE15
CE25	MARKETVIEW_20041211.1845-CE16
CE26	MARKETVIEW_20041211.1845-CE17
CE27	MARKETVIEW_20041211.1845-CE18
CE28	MARKETVIEW_20041211.1845-CE19
CE29	MARKETVIEW_20041211.1845-CE20
CE30	MARKETVIEW_20041211.1845-CE21
CE31	MARKETVIEW_20041211.1845-CE22
CE32	MARKETVIEW_20041211.1845-CE23
CE34	MARKETVIEW_20041211.1845-CE24
CE35	MARKETVIEW_20041211.1845-CE25
CE1	MARKETVIEW_20041211.1845-CE26
CE2	MARKETVIEW_20041211.1845-CE27
CE3	MARKETVIEW_20041211.1845-CE28
CE4	MARKETVIEW_20041211.1845-CE29
CE5	MARKETVIEW_20041211.1845-CE30
CE6	MARKETVIEW_20041211.1845-CE31
CE7	MARKETVIEW_20041211.1845-CE32
CE8	MARKETVIEW_20041211.1845-CE33
CE9	MARKETVIEW_20041211.1845-CE34
E10	MARKETVIEW_20041211.1845-E1
E11	MARKETVIEW_20041211.1845-E2
E12	MARKETVIEW_20041211.1845-E3
E13	MARKETVIEW_20041211.1845-E4
E14	MARKETVIEW_20041211.1845-E5
E16	MARKETVIEW_20041211.1845-E6
E17	MARKETVIEW_20041211.1845-E7
E18	MARKETVIEW_20041211.1845-E8
E19	MARKETVIEW_20041211.1845-E9
E20	MARKETVIEW_20041211.1845-E10
E21	MARKETVIEW_20041211.1845-E11
E22	MARKETVIEW_20041211.1845-E12
E23	MARKETVIEW_20041211.1845-E13
E24	MARKETVIEW_20041211.1845-E14
E25	MARKETVIEW_20041211.1845-E15
E26	MARKETVIEW_20041211.1845-E16
E27	MARKETVIEW_20041211.1845-E17
E28	MARKETVIEW_20041211.1845-E18
E29	MARKETVIEW_20041211.1845-E19
E1	MARKETVIEW_20041211.1845-E20
E30	MARKETVIEW_20041211.1845-E21
E32	MARKETVIEW_20041211.1845-E22
E33	MARKETVIEW_20041211.1845-E23
