CE8	FLOPPINGACES_20041207.1911.039-CE1
CE9	FLOPPINGACES_20041207.1911.039-CE2
CE10	FLOPPINGACES_20041207.1911.039-CE3
CE11	FLOPPINGACES_20041207.1911.039-CE4
CE12	FLOPPINGACES_20041207.1911.039-CE5
CE13	FLOPPINGACES_20041207.1911.039-CE6
CE30	FLOPPINGACES_20041207.1911.039-CE7
CE31	FLOPPINGACES_20041207.1911.039-CE8
CE16	FLOPPINGACES_20041207.1911.039-CE9
CE17	FLOPPINGACES_20041207.1911.039-CE10
CE18	FLOPPINGACES_20041207.1911.039-CE11
CE19	FLOPPINGACES_20041207.1911.039-CE12
CE20	FLOPPINGACES_20041207.1911.039-CE13
CE32	FLOPPINGACES_20041207.1911.039-CE14
CE22	FLOPPINGACES_20041207.1911.039-CE15
CE33	FLOPPINGACES_20041207.1911.039-CE16
CE25	FLOPPINGACES_20041207.1911.039-CE17
CE26	FLOPPINGACES_20041207.1911.039-CE18
CE27	FLOPPINGACES_20041207.1911.039-CE19
CE28	FLOPPINGACES_20041207.1911.039-CE20
CE34	FLOPPINGACES_20041207.1911.039-CE21
CE44	FLOPPINGACES_20041207.1911.039-CE22
CE36	FLOPPINGACES_20041207.1911.039-CE23
CE37	FLOPPINGACES_20041207.1911.039-CE24
CE38	FLOPPINGACES_20041207.1911.039-CE25
CE1	FLOPPINGACES_20041207.1911.039-CE26
CE39	FLOPPINGACES_20041207.1911.039-CE27
CE40	FLOPPINGACES_20041207.1911.039-CE28
CE41	FLOPPINGACES_20041207.1911.039-CE29
CE42	FLOPPINGACES_20041207.1911.039-CE30
CE43	FLOPPINGACES_20041207.1911.039-CE31
CE45	FLOPPINGACES_20041207.1911.039-CE32
CE47	FLOPPINGACES_20041207.1911.039-CE33
CE48	FLOPPINGACES_20041207.1911.039-CE34
CE49	FLOPPINGACES_20041207.1911.039-CE35
CE51	FLOPPINGACES_20041207.1911.039-CE36
CE52	FLOPPINGACES_20041207.1911.039-CE37
CE53	FLOPPINGACES_20041207.1911.039-CE38
CE54	FLOPPINGACES_20041207.1911.039-CE39
CE55	FLOPPINGACES_20041207.1911.039-CE40
CE56	FLOPPINGACES_20041207.1911.039-CE41
CE57	FLOPPINGACES_20041207.1911.039-CE42
CE58	FLOPPINGACES_20041207.1911.039-CE43
CE59	FLOPPINGACES_20041207.1911.039-CE44
CE60	FLOPPINGACES_20041207.1911.039-CE45
CE61	FLOPPINGACES_20041207.1911.039-CE46
CE63	FLOPPINGACES_20041207.1911.039-CE47
CE64	FLOPPINGACES_20041207.1911.039-CE48
CE65	FLOPPINGACES_20041207.1911.039-CE49
CE66	FLOPPINGACES_20041207.1911.039-CE50
CE68	FLOPPINGACES_20041207.1911.039-CE51
CE69	FLOPPINGACES_20041207.1911.039-CE52
CE70	FLOPPINGACES_20041207.1911.039-CE53
CE71	FLOPPINGACES_20041207.1911.039-CE54
CE72	FLOPPINGACES_20041207.1911.039-CE55
CE73	FLOPPINGACES_20041207.1911.039-CE56
CE74	FLOPPINGACES_20041207.1911.039-CE57
CE78	FLOPPINGACES_20041207.1911.039-CE58
CE79	FLOPPINGACES_20041207.1911.039-CE59
CE80	FLOPPINGACES_20041207.1911.039-CE60
CE81	FLOPPINGACES_20041207.1911.039-CE61
CE82	FLOPPINGACES_20041207.1911.039-CE62
CE83	FLOPPINGACES_20041207.1911.039-CE63
CE84	FLOPPINGACES_20041207.1911.039-CE64
CE85	FLOPPINGACES_20041207.1911.039-CE65
CE86	FLOPPINGACES_20041207.1911.039-CE66
CE87	FLOPPINGACES_20041207.1911.039-CE67
CE88	FLOPPINGACES_20041207.1911.039-CE68
CE89	FLOPPINGACES_20041207.1911.039-CE69
CE90	FLOPPINGACES_20041207.1911.039-CE70
CE91	FLOPPINGACES_20041207.1911.039-CE71
CE92	FLOPPINGACES_20041207.1911.039-CE72
CE93	FLOPPINGACES_20041207.1911.039-CE73
CE94	FLOPPINGACES_20041207.1911.039-CE74
CE2	FLOPPINGACES_20041207.1911.039-CE75
CE95	FLOPPINGACES_20041207.1911.039-CE76
CE96	FLOPPINGACES_20041207.1911.039-CE77
CE97	FLOPPINGACES_20041207.1911.039-CE78
CE98	FLOPPINGACES_20041207.1911.039-CE79
CE99	FLOPPINGACES_20041207.1911.039-CE80
CE100	FLOPPINGACES_20041207.1911.039-CE81
CE101	FLOPPINGACES_20041207.1911.039-CE82
CE102	FLOPPINGACES_20041207.1911.039-CE83
CE103	FLOPPINGACES_20041207.1911.039-CE84
CE104	FLOPPINGACES_20041207.1911.039-CE85
CE105	FLOPPINGACES_20041207.1911.039-CE86
CE106	FLOPPINGACES_20041207.1911.039-CE87
