CE8	MARKETVIEW_20050127.0716-CE1
CE9	MARKETVIEW_20050127.0716-CE2
CE12	MARKETVIEW_20050127.0716-CE3
CE13	MARKETVIEW_20050127.0716-CE4
CE17	MARKETVIEW_20050127.0716-CE5
CE14	MARKETVIEW_20050127.0716-CE6
CE3	MARKETVIEW_20050127.0716-CE7
CE16	MARKETVIEW_20050127.0716-CE8
CE2	MARKETVIEW_20050127.0716-CE9
CE15	MARKETVIEW_20050127.0716-CE10
CE1	MARKETVIEW_20050127.0716-CE11
CE4	MARKETVIEW_20050127.0716-CE12
CE10	MARKETVIEW_20050127.0716-CE13
CE5	MARKETVIEW_20050127.0716-CE14
CE6	MARKETVIEW_20050127.0716-CE15
CE7	MARKETVIEW_20050127.0716-CE16
CE11	MARKETVIEW_20050127.0716-CE17
E11	MARKETVIEW_20050127.0716-E1
E12	MARKETVIEW_20050127.0716-E2
E15	MARKETVIEW_20050127.0716-E3
E16	MARKETVIEW_20050127.0716-E4
E32	MARKETVIEW_20050127.0716-E5
E18	MARKETVIEW_20050127.0716-E6
E20	MARKETVIEW_20050127.0716-E7
E21	MARKETVIEW_20050127.0716-E8
E33	MARKETVIEW_20050127.0716-E9
E25	MARKETVIEW_20050127.0716-E10
E26	MARKETVIEW_20050127.0716-E11
E27	MARKETVIEW_20050127.0716-E12
E34	MARKETVIEW_20050127.0716-E13
E36	MARKETVIEW_20050127.0716-E14
E37	MARKETVIEW_20050127.0716-E15
E1	MARKETVIEW_20050127.0716-E16
E28	MARKETVIEW_20050127.0716-E17
E3	MARKETVIEW_20050127.0716-E18
E4	MARKETVIEW_20050127.0716-E19
E5	MARKETVIEW_20050127.0716-E20
E29	MARKETVIEW_20050127.0716-E21
EM9	MARKETVIEW_20050127.0716-E1-1
EM10	MARKETVIEW_20050127.0716-E2-2
EM11	MARKETVIEW_20050127.0716-E18-3
EM14	MARKETVIEW_20050127.0716-E18-4
EM16	MARKETVIEW_20050127.0716-E18-5
EM18	MARKETVIEW_20050127.0716-E18-6
EM19	MARKETVIEW_20050127.0716-E18-7
EM20	MARKETVIEW_20050127.0716-E18-8
EM21	MARKETVIEW_20050127.0716-E3-9
EM22	MARKETVIEW_20050127.0716-E4-10
EM36	MARKETVIEW_20050127.0716-E5-11
EM24	MARKETVIEW_20050127.0716-E18-12
EM25	MARKETVIEW_20050127.0716-E6-13
EM26	MARKETVIEW_20050127.0716-E16-14
EM23	MARKETVIEW_20050127.0716-E16-15
EM27	MARKETVIEW_20050127.0716-E18-16
EM32	MARKETVIEW_20050127.0716-E7-17
EM33	MARKETVIEW_20050127.0716-E8-18
EM8	MARKETVIEW_20050127.0716-E9-19
EM35	MARKETVIEW_20050127.0716-E10-20
EM37	MARKETVIEW_20050127.0716-E16-21
EM30	MARKETVIEW_20050127.0716-E11-22
EM31	MARKETVIEW_20050127.0716-E12-23
EM28	MARKETVIEW_20050127.0716-E11-24
EM29	MARKETVIEW_20050127.0716-E11-25
EM3	MARKETVIEW_20050127.0716-E18-26
EM13	MARKETVIEW_20050127.0716-E17-27
EM12	MARKETVIEW_20050127.0716-E13-28
EM34	MARKETVIEW_20050127.0716-E14-29
EM17	MARKETVIEW_20050127.0716-E15-30
EM1	MARKETVIEW_20050127.0716-E16-31
EM38	MARKETVIEW_20050127.0716-E16-32
EM15	MARKETVIEW_20050127.0716-E21-33
EM2	MARKETVIEW_20050127.0716-E18-34
EM4	MARKETVIEW_20050127.0716-E18-35
EM5	MARKETVIEW_20050127.0716-E18-36
EM6	MARKETVIEW_20050127.0716-E19-37
EM7	MARKETVIEW_20050127.0716-E20-38
EM39	MARKETVIEW_20050127.0716-E6-39
R1	MARKETVIEW_20050127.0716-R1
R2	MARKETVIEW_20050127.0716-R2
R3	MARKETVIEW_20050127.0716-R3
RM1	MARKETVIEW_20050127.0716-R1-1
RM2	MARKETVIEW_20050127.0716-R2-1
RM3	MARKETVIEW_20050127.0716-R3-1
Q1	MARKETVIEW_20050127.0716-T1
Q2	MARKETVIEW_20050127.0716-T2
Q3	MARKETVIEW_20050127.0716-T3
Q4	MARKETVIEW_20050127.0716-T4
Q5	MARKETVIEW_20050127.0716-T5
Q6	MARKETVIEW_20050127.0716-T6
Q7	MARKETVIEW_20050127.0716-T7
Q8	MARKETVIEW_20050127.0716-T8
Q9	MARKETVIEW_20050127.0716-V1
Q10	MARKETVIEW_20050127.0716-T9
Q11	MARKETVIEW_20050127.0716-T10
Q12	MARKETVIEW_20050127.0716-V2
Q13	MARKETVIEW_20050127.0716-T11
Q14	MARKETVIEW_20050127.0716-V3
QM9	MARKETVIEW_20050127.0716-V1-1
QM12	MARKETVIEW_20050127.0716-V2-1
QM14	MARKETVIEW_20050127.0716-V3-1
