CE6	MARKBACKER_20041103.1300-CE1
CE7	MARKBACKER_20041103.1300-CE2
CE8	MARKBACKER_20041103.1300-CE3
CE9	MARKBACKER_20041103.1300-CE4
CE10	MARKBACKER_20041103.1300-CE5
CE11	MARKBACKER_20041103.1300-CE6
CE12	MARKBACKER_20041103.1300-CE7
CE13	MARKBACKER_20041103.1300-CE8
CE14	MARKBACKER_20041103.1300-CE9
CE15	MARKBACKER_20041103.1300-CE10
CE16	MARKBACKER_20041103.1300-CE11
CE17	MARKBACKER_20041103.1300-CE12
CE18	MARKBACKER_20041103.1300-CE13
CE19	MARKBACKER_20041103.1300-CE14
CE20	MARKBACKER_20041103.1300-CE15
CE21	MARKBACKER_20041103.1300-CE16
CE22	MARKBACKER_20041103.1300-CE17
CE23	MARKBACKER_20041103.1300-CE18
CE24	MARKBACKER_20041103.1300-CE19
CE25	MARKBACKER_20041103.1300-CE20
CE26	MARKBACKER_20041103.1300-CE21
CE27	MARKBACKER_20041103.1300-CE22
CE1	MARKBACKER_20041103.1300-CE23
CE28	MARKBACKER_20041103.1300-CE24
CE29	MARKBACKER_20041103.1300-CE25
CE30	MARKBACKER_20041103.1300-CE26
CE31	MARKBACKER_20041103.1300-CE27
CE32	MARKBACKER_20041103.1300-CE28
CE33	MARKBACKER_20041103.1300-CE29
CE34	MARKBACKER_20041103.1300-CE30
CE2	MARKBACKER_20041103.1300-CE31
CE3	MARKBACKER_20041103.1300-CE32
CE4	MARKBACKER_20041103.1300-CE33
CE5	MARKBACKER_20041103.1300-CE34
E6	MARKBACKER_20041103.1300-E1
E7	MARKBACKER_20041103.1300-E2
E8	MARKBACKER_20041103.1300-E3
E9	MARKBACKER_20041103.1300-E4
E10	MARKBACKER_20041103.1300-E5
E11	MARKBACKER_20041103.1300-E6
E12	MARKBACKER_20041103.1300-E7
E13	MARKBACKER_20041103.1300-E8
E14	MARKBACKER_20041103.1300-E9
E15	MARKBACKER_20041103.1300-E10
E16	MARKBACKER_20041103.1300-E11
E17	MARKBACKER_20041103.1300-E12
E18	MARKBACKER_20041103.1300-E13
E19	MARKBACKER_20041103.1300-E14
E20	MARKBACKER_20041103.1300-E15
E21	MARKBACKER_20041103.1300-E16
E22	MARKBACKER_20041103.1300-E17
E23	MARKBACKER_20041103.1300-E18
E24	MARKBACKER_20041103.1300-E19
E25	MARKBACKER_20041103.1300-E20
E26	MARKBACKER_20041103.1300-E21
E27	MARKBACKER_20041103.1300-E22
E28	MARKBACKER_20041103.1300-E23
E1	MARKBACKER_20041103.1300-E24
E29	MARKBACKER_20041103.1300-E25
E30	MARKBACKER_20041103.1300-E26
E31	MARKBACKER_20041103.1300-E27
E32	MARKBACKER_20041103.1300-E28
E33	MARKBACKER_20041103.1300-E29
E34	MARKBACKER_20041103.1300-E30
E35	MARKBACKER_20041103.1300-E31
E36	MARKBACKER_20041103.1300-E32
E37	MARKBACKER_20041103.1300-E33
