CE10	AGGRESSIVEVOICEDAILY_20050208.1142-CE1
CE7	AGGRESSIVEVOICEDAILY_20050208.1142-CE2
CE1	AGGRESSIVEVOICEDAILY_20050208.1142-CE3
CE2	AGGRESSIVEVOICEDAILY_20050208.1142-CE4
CE3	AGGRESSIVEVOICEDAILY_20050208.1142-CE5
CE6	AGGRESSIVEVOICEDAILY_20050208.1142-CE6
CE4	AGGRESSIVEVOICEDAILY_20050208.1142-CE7
CE5	AGGRESSIVEVOICEDAILY_20050208.1142-CE8
CE8	AGGRESSIVEVOICEDAILY_20050208.1142-CE9
CE9	AGGRESSIVEVOICEDAILY_20050208.1142-CE10
E13	AGGRESSIVEVOICEDAILY_20050208.1142-E1
E14	AGGRESSIVEVOICEDAILY_20050208.1142-E2
E15	AGGRESSIVEVOICEDAILY_20050208.1142-E3
E19	AGGRESSIVEVOICEDAILY_20050208.1142-E4
E1	AGGRESSIVEVOICEDAILY_20050208.1142-E5
E2	AGGRESSIVEVOICEDAILY_20050208.1142-E6
E3	AGGRESSIVEVOICEDAILY_20050208.1142-E7
E4	AGGRESSIVEVOICEDAILY_20050208.1142-E8
E16	AGGRESSIVEVOICEDAILY_20050208.1142-E9
E6	AGGRESSIVEVOICEDAILY_20050208.1142-E10
E7	AGGRESSIVEVOICEDAILY_20050208.1142-E11
E8	AGGRESSIVEVOICEDAILY_20050208.1142-E12
E10	AGGRESSIVEVOICEDAILY_20050208.1142-E13
E12	AGGRESSIVEVOICEDAILY_20050208.1142-E14
EM1	AGGRESSIVEVOICEDAILY_20050208.1142-E5-1
EM20	AGGRESSIVEVOICEDAILY_20050208.1142-E1-2
EM21	AGGRESSIVEVOICEDAILY_20050208.1142-E2-3
EM22	AGGRESSIVEVOICEDAILY_20050208.1142-E3-4
EM23	AGGRESSIVEVOICEDAILY_20050208.1142-E8-5
EM24	AGGRESSIVEVOICEDAILY_20050208.1142-E8-6
EM26	AGGRESSIVEVOICEDAILY_20050208.1142-E11-7
EM25	AGGRESSIVEVOICEDAILY_20050208.1142-E5-8
EM11	AGGRESSIVEVOICEDAILY_20050208.1142-E4-9
EM27	AGGRESSIVEVOICEDAILY_20050208.1142-E8-10
EM2	AGGRESSIVEVOICEDAILY_20050208.1142-E6-11
EM3	AGGRESSIVEVOICEDAILY_20050208.1142-E6-12
EM4	AGGRESSIVEVOICEDAILY_20050208.1142-E7-13
EM5	AGGRESSIVEVOICEDAILY_20050208.1142-E8-14
EM9	AGGRESSIVEVOICEDAILY_20050208.1142-E9-15
EM6	AGGRESSIVEVOICEDAILY_20050208.1142-E10-16
EM7	AGGRESSIVEVOICEDAILY_20050208.1142-E11-17
EM8	AGGRESSIVEVOICEDAILY_20050208.1142-E11-18
EM10	AGGRESSIVEVOICEDAILY_20050208.1142-E11-19
EM12	AGGRESSIVEVOICEDAILY_20050208.1142-E6-20
EM13	AGGRESSIVEVOICEDAILY_20050208.1142-E12-21
EM14	AGGRESSIVEVOICEDAILY_20050208.1142-E2-22
EM28	AGGRESSIVEVOICEDAILY_20050208.1142-E8-23
EM15	AGGRESSIVEVOICEDAILY_20050208.1142-E13-24
EM16	AGGRESSIVEVOICEDAILY_20050208.1142-E14-25
EM17	AGGRESSIVEVOICEDAILY_20050208.1142-E10-26
EM18	AGGRESSIVEVOICEDAILY_20050208.1142-E2-27
EM19	AGGRESSIVEVOICEDAILY_20050208.1142-E14-28
R1	AGGRESSIVEVOICEDAILY_20050208.1142-R1
RM1	AGGRESSIVEVOICEDAILY_20050208.1142-R1-1
V2	AGGRESSIVEVOICEDAILY_20050208.1142-EV1
V1	AGGRESSIVEVOICEDAILY_20050208.1142-EV2
VM2	AGGRESSIVEVOICEDAILY_20050208.1142-EV1-1
VM1	AGGRESSIVEVOICEDAILY_20050208.1142-EV2-1
Q1	AGGRESSIVEVOICEDAILY_20050208.1142-T1
Q2	AGGRESSIVEVOICEDAILY_20050208.1142-T2
Q4	AGGRESSIVEVOICEDAILY_20050208.1142-T3
Q3	AGGRESSIVEVOICEDAILY_20050208.1142-T4
