CE12	OIADVANTAGE_20050108.1323-CE1
CE13	OIADVANTAGE_20050108.1323-CE2
CE14	OIADVANTAGE_20050108.1323-CE3
CE15	OIADVANTAGE_20050108.1323-CE4
CE16	OIADVANTAGE_20050108.1323-CE5
CE17	OIADVANTAGE_20050108.1323-CE6
CE18	OIADVANTAGE_20050108.1323-CE7
CE19	OIADVANTAGE_20050108.1323-CE8
CE20	OIADVANTAGE_20050108.1323-CE9
CE21	OIADVANTAGE_20050108.1323-CE10
CE1	OIADVANTAGE_20050108.1323-CE11
CE2	OIADVANTAGE_20050108.1323-CE12
CE3	OIADVANTAGE_20050108.1323-CE13
CE4	OIADVANTAGE_20050108.1323-CE14
CE5	OIADVANTAGE_20050108.1323-CE15
CE6	OIADVANTAGE_20050108.1323-CE16
CE7	OIADVANTAGE_20050108.1323-CE17
CE8	OIADVANTAGE_20050108.1323-CE18
CE9	OIADVANTAGE_20050108.1323-CE19
CE10	OIADVANTAGE_20050108.1323-CE20
CE11	OIADVANTAGE_20050108.1323-CE21
E16	OIADVANTAGE_20050108.1323-E1
E18	OIADVANTAGE_20050108.1323-E2
E19	OIADVANTAGE_20050108.1323-E3
E20	OIADVANTAGE_20050108.1323-E4
E21	OIADVANTAGE_20050108.1323-E5
E22	OIADVANTAGE_20050108.1323-E6
E23	OIADVANTAGE_20050108.1323-E7
E27	OIADVANTAGE_20050108.1323-E8
E28	OIADVANTAGE_20050108.1323-E9
E29	OIADVANTAGE_20050108.1323-E10
E30	OIADVANTAGE_20050108.1323-E11
E32	OIADVANTAGE_20050108.1323-E12
E1	OIADVANTAGE_20050108.1323-E13
E3	OIADVANTAGE_20050108.1323-E14
E4	OIADVANTAGE_20050108.1323-E15
E5	OIADVANTAGE_20050108.1323-E16
E6	OIADVANTAGE_20050108.1323-E17
E7	OIADVANTAGE_20050108.1323-E18
E33	OIADVANTAGE_20050108.1323-E19
E9	OIADVANTAGE_20050108.1323-E20
E10	OIADVANTAGE_20050108.1323-E21
E14	OIADVANTAGE_20050108.1323-E22
E15	OIADVANTAGE_20050108.1323-E23
EM1	OIADVANTAGE_20050108.1323-E13-1
EM13	OIADVANTAGE_20050108.1323-E1-2
EM14	OIADVANTAGE_20050108.1323-E14-3
EM15	OIADVANTAGE_20050108.1323-E2-4
EM16	OIADVANTAGE_20050108.1323-E3-5
EM17	OIADVANTAGE_20050108.1323-E20-6
EM18	OIADVANTAGE_20050108.1323-E4-7
EM20	OIADVANTAGE_20050108.1323-E5-8
EM21	OIADVANTAGE_20050108.1323-E5-9
EM22	OIADVANTAGE_20050108.1323-E5-10
EM23	OIADVANTAGE_20050108.1323-E6-11
EM24	OIADVANTAGE_20050108.1323-E7-12
EM25	OIADVANTAGE_20050108.1323-E6-13
EM27	OIADVANTAGE_20050108.1323-E16-14
EM28	OIADVANTAGE_20050108.1323-E8-15
EM29	OIADVANTAGE_20050108.1323-E9-16
EM30	OIADVANTAGE_20050108.1323-E10-17
EM31	OIADVANTAGE_20050108.1323-E11-18
EM26	OIADVANTAGE_20050108.1323-E12-19
EM19	OIADVANTAGE_20050108.1323-E19-20
EM2	OIADVANTAGE_20050108.1323-E13-21
EM3	OIADVANTAGE_20050108.1323-E14-22
EM4	OIADVANTAGE_20050108.1323-E15-23
EM5	OIADVANTAGE_20050108.1323-E16-24
EM6	OIADVANTAGE_20050108.1323-E17-25
EM7	OIADVANTAGE_20050108.1323-E18-26
EM8	OIADVANTAGE_20050108.1323-E20-27
EM9	OIADVANTAGE_20050108.1323-E21-28
EM32	OIADVANTAGE_20050108.1323-E18-29
EM10	OIADVANTAGE_20050108.1323-E22-30
EM11	OIADVANTAGE_20050108.1323-E23-31
EM12	OIADVANTAGE_20050108.1323-E14-32
R1	OIADVANTAGE_20050108.1323-R1
RM1	OIADVANTAGE_20050108.1323-R1-1
V2	OIADVANTAGE_20050108.1323-EV1
V1	OIADVANTAGE_20050108.1323-EV2
VM2	OIADVANTAGE_20050108.1323-EV1-1
VM1	OIADVANTAGE_20050108.1323-EV2-1
Q1	OIADVANTAGE_20050108.1323-T1
Q2	OIADVANTAGE_20050108.1323-T2
Q3	OIADVANTAGE_20050108.1323-T3
Q4	OIADVANTAGE_20050108.1323-T4
Q6	OIADVANTAGE_20050108.1323-T5
Q7	OIADVANTAGE_20050108.1323-T6
Q8	OIADVANTAGE_20050108.1323-T7
Q9	OIADVANTAGE_20050108.1323-T8
Q5	OIADVANTAGE_20050108.1323-T9
