CE16	OIADVANTAGE_20050203.2102-CE1
CE20	OIADVANTAGE_20050203.2102-CE2
CE21	OIADVANTAGE_20050203.2102-CE3
CE11	OIADVANTAGE_20050203.2102-CE4
CE9	OIADVANTAGE_20050203.2102-CE5
CE10	OIADVANTAGE_20050203.2102-CE6
CE3	OIADVANTAGE_20050203.2102-CE7
CE15	OIADVANTAGE_20050203.2102-CE8
CE17	OIADVANTAGE_20050203.2102-CE9
CE14	OIADVANTAGE_20050203.2102-CE10
CE2	OIADVANTAGE_20050203.2102-CE11
CE1	OIADVANTAGE_20050203.2102-CE12
CE18	OIADVANTAGE_20050203.2102-CE13
CE5	OIADVANTAGE_20050203.2102-CE14
CE4	OIADVANTAGE_20050203.2102-CE15
CE22	OIADVANTAGE_20050203.2102-CE16
CE23	OIADVANTAGE_20050203.2102-CE17
CE8	OIADVANTAGE_20050203.2102-CE18
CE12	OIADVANTAGE_20050203.2102-CE19
CE13	OIADVANTAGE_20050203.2102-CE20
CE19	OIADVANTAGE_20050203.2102-CE21
E10	OIADVANTAGE_20050203.2102-E1
E11	OIADVANTAGE_20050203.2102-E2
E12	OIADVANTAGE_20050203.2102-E3
E17	OIADVANTAGE_20050203.2102-E4
E13	OIADVANTAGE_20050203.2102-E5
E14	OIADVANTAGE_20050203.2102-E6
E15	OIADVANTAGE_20050203.2102-E7
E18	OIADVANTAGE_20050203.2102-E8
E22	OIADVANTAGE_20050203.2102-E9
E23	OIADVANTAGE_20050203.2102-E10
E24	OIADVANTAGE_20050203.2102-E11
E25	OIADVANTAGE_20050203.2102-E12
E26	OIADVANTAGE_20050203.2102-E13
E28	OIADVANTAGE_20050203.2102-E14
E30	OIADVANTAGE_20050203.2102-E15
E31	OIADVANTAGE_20050203.2102-E16
E1	OIADVANTAGE_20050203.2102-E17
E2	OIADVANTAGE_20050203.2102-E18
E33	OIADVANTAGE_20050203.2102-E19
E35	OIADVANTAGE_20050203.2102-E20
E5	OIADVANTAGE_20050203.2102-E21
E6	OIADVANTAGE_20050203.2102-E22
E7	OIADVANTAGE_20050203.2102-E23
E8	OIADVANTAGE_20050203.2102-E24
EM8	OIADVANTAGE_20050203.2102-E19-1
EM27	OIADVANTAGE_20050203.2102-E1-2
EM32	OIADVANTAGE_20050203.2102-E24-3
EM34	OIADVANTAGE_20050203.2102-E18-4
EM35	OIADVANTAGE_20050203.2102-E23-5
EM37	OIADVANTAGE_20050203.2102-E18-6
EM40	OIADVANTAGE_20050203.2102-E2-7
EM41	OIADVANTAGE_20050203.2102-E3-8
EM42	OIADVANTAGE_20050203.2102-E5-9
EM16	OIADVANTAGE_20050203.2102-E6-10
EM23	OIADVANTAGE_20050203.2102-E7-11
EM13	OIADVANTAGE_20050203.2102-E8-12
EM3	OIADVANTAGE_20050203.2102-E17-13
EM1	OIADVANTAGE_20050203.2102-E9-14
EM39	OIADVANTAGE_20050203.2102-E9-15
EM7	OIADVANTAGE_20050203.2102-E9-16
EM33	OIADVANTAGE_20050203.2102-E24-17
EM25	OIADVANTAGE_20050203.2102-E10-18
EM24	OIADVANTAGE_20050203.2102-E10-19
EM36	OIADVANTAGE_20050203.2102-E11-20
EM31	OIADVANTAGE_20050203.2102-E12-21
EM28	OIADVANTAGE_20050203.2102-E12-22
EM26	OIADVANTAGE_20050203.2102-E10-23
EM22	OIADVANTAGE_20050203.2102-E13-24
EM29	OIADVANTAGE_20050203.2102-E14-25
EM38	OIADVANTAGE_20050203.2102-E15-26
EM30	OIADVANTAGE_20050203.2102-E16-27
EM2	OIADVANTAGE_20050203.2102-E18-28
EM4	OIADVANTAGE_20050203.2102-E17-29
EM5	OIADVANTAGE_20050203.2102-E17-30
EM6	OIADVANTAGE_20050203.2102-E17-31
EM9	OIADVANTAGE_20050203.2102-E20-32
EM43	OIADVANTAGE_20050203.2102-E9-33
EM10	OIADVANTAGE_20050203.2102-E21-34
EM11	OIADVANTAGE_20050203.2102-E18-35
EM14	OIADVANTAGE_20050203.2102-E18-36
EM15	OIADVANTAGE_20050203.2102-E18-37
EM17	OIADVANTAGE_20050203.2102-E22-38
EM18	OIADVANTAGE_20050203.2102-E23-39
EM19	OIADVANTAGE_20050203.2102-E22-40
EM20	OIADVANTAGE_20050203.2102-E18-41
EM21	OIADVANTAGE_20050203.2102-E18-42
EM12	OIADVANTAGE_20050203.2102-E4-43
R1	OIADVANTAGE_20050203.2102-R1
R2	OIADVANTAGE_20050203.2102-R2
RM1	OIADVANTAGE_20050203.2102-R1-1
RM2	OIADVANTAGE_20050203.2102-R2-1
Q1	OIADVANTAGE_20050203.2102-T1
Q2	OIADVANTAGE_20050203.2102-T2
