CE10	MARKETVIEW_20050209.1923-CE1
CE11	MARKETVIEW_20050209.1923-CE2
CE12	MARKETVIEW_20050209.1923-CE3
CE6	MARKETVIEW_20050209.1923-CE4
CE13	MARKETVIEW_20050209.1923-CE5
CE2	MARKETVIEW_20050209.1923-CE6
CE3	MARKETVIEW_20050209.1923-CE7
CE4	MARKETVIEW_20050209.1923-CE8
CE5	MARKETVIEW_20050209.1923-CE9
CE7	MARKETVIEW_20050209.1923-CE10
CE8	MARKETVIEW_20050209.1923-CE11
CE1	MARKETVIEW_20050209.1923-CE12
CE9	MARKETVIEW_20050209.1923-CE13
E13	MARKETVIEW_20050209.1923-E1
E15	MARKETVIEW_20050209.1923-E2
E16	MARKETVIEW_20050209.1923-E3
E17	MARKETVIEW_20050209.1923-E4
E18	MARKETVIEW_20050209.1923-E5
E19	MARKETVIEW_20050209.1923-E6
E20	MARKETVIEW_20050209.1923-E7
E22	MARKETVIEW_20050209.1923-E8
E23	MARKETVIEW_20050209.1923-E9
E1	MARKETVIEW_20050209.1923-E10
E2	MARKETVIEW_20050209.1923-E11
E3	MARKETVIEW_20050209.1923-E12
E4	MARKETVIEW_20050209.1923-E13
E5	MARKETVIEW_20050209.1923-E14
E6	MARKETVIEW_20050209.1923-E15
E7	MARKETVIEW_20050209.1923-E16
E8	MARKETVIEW_20050209.1923-E17
E10	MARKETVIEW_20050209.1923-E18
E11	MARKETVIEW_20050209.1923-E19
E12	MARKETVIEW_20050209.1923-E20
EM1	MARKETVIEW_20050209.1923-E10-1
EM27	MARKETVIEW_20050209.1923-E13-2
EM26	MARKETVIEW_20050209.1923-E1-3
EM38	MARKETVIEW_20050209.1923-E2-4
EM39	MARKETVIEW_20050209.1923-E17-5
EM29	MARKETVIEW_20050209.1923-E13-6
EM30	MARKETVIEW_20050209.1923-E13-7
EM31	MARKETVIEW_20050209.1923-E2-8
EM32	MARKETVIEW_20050209.1923-E3-9
EM40	MARKETVIEW_20050209.1923-E17-10
EM33	MARKETVIEW_20050209.1923-E17-11
EM36	MARKETVIEW_20050209.1923-E2-12
EM35	MARKETVIEW_20050209.1923-E4-13
EM6	MARKETVIEW_20050209.1923-E5-14
EM11	MARKETVIEW_20050209.1923-E10-15
EM28	MARKETVIEW_20050209.1923-E19-16
EM34	MARKETVIEW_20050209.1923-E8-17
EM12	MARKETVIEW_20050209.1923-E10-18
EM13	MARKETVIEW_20050209.1923-E6-19
EM16	MARKETVIEW_20050209.1923-E7-20
EM17	MARKETVIEW_20050209.1923-E11-21
EM41	MARKETVIEW_20050209.1923-E9-22
EM2	MARKETVIEW_20050209.1923-E12-23
EM37	MARKETVIEW_20050209.1923-E2-24
EM3	MARKETVIEW_20050209.1923-E10-25
EM4	MARKETVIEW_20050209.1923-E13-26
EM5	MARKETVIEW_20050209.1923-E15-27
EM7	MARKETVIEW_20050209.1923-E14-28
EM8	MARKETVIEW_20050209.1923-E16-29
EM9	MARKETVIEW_20050209.1923-E17-30
EM10	MARKETVIEW_20050209.1923-E10-31
EM14	MARKETVIEW_20050209.1923-E10-32
EM15	MARKETVIEW_20050209.1923-E10-33
EM18	MARKETVIEW_20050209.1923-E13-34
EM19	MARKETVIEW_20050209.1923-E13-35
EM20	MARKETVIEW_20050209.1923-E17-36
EM21	MARKETVIEW_20050209.1923-E18-37
EM22	MARKETVIEW_20050209.1923-E13-38
EM23	MARKETVIEW_20050209.1923-E19-39
EM24	MARKETVIEW_20050209.1923-E13-40
EM25	MARKETVIEW_20050209.1923-E20-41
R1	MARKETVIEW_20050209.1923-R1
RM1	MARKETVIEW_20050209.1923-R1-1
Q1	MARKETVIEW_20050209.1923-T1
Q2	MARKETVIEW_20050209.1923-T2
Q3	MARKETVIEW_20050209.1923-T3
Q4	MARKETVIEW_20050209.1923-T4
Q8	MARKETVIEW_20050209.1923-T5
Q7	MARKETVIEW_20050209.1923-T6
Q6	MARKETVIEW_20050209.1923-T7
Q5	MARKETVIEW_20050209.1923-T8
